assignment_id	source_event_id	record_id	bundle_id	physical_page	register	active_model	surface	working_recipe	strict_template_id	strict_occurrence_count	role_shape_id	role_occurrence_count	event_support_tier	event_support_detail	source_event_reading_de	current_event_reading_de	reading_refined_by_gdt483	provenance_assigned	source_meaning_preserved
G484-E001	P1003-E0079	G475-R001	G474-B001	f17r	HERBAL	CATALOGUE	oteeeon	OT	G481-ET001	5	G481-ES001	5	RECURRENT_STRICT_EVENT	G481-ET001 ×5	Pflanzenname »eeeon« — Folgevermerk. Reihenfolge konkret: OT — danach Pflanze »eeeon«.	Pflanzenname »eeeon« — Folgevermerk. Reihenfolge konkret: OT — danach Pflanze »eeeon«.	NO	YES	YES
G484-E002	P1003-E0080	G475-R001	G474-B001	f17r	HERBAL	CATALOGUE	oiil	NONE	G481-ET002	1	G481-ES002	1	LOCAL_EVENT_CARRIED_BY_STRONGER_RECORD_SUPPORT	Record-level template or mixed fragment support	Pflanzenname »oiil«.	Pflanzenname »oiil«.	NO	YES	YES
G484-E003	P1003-E0595	G475-R002	G474-B002	f71v	CELESTIAL	CATALOGUE	char	AR	G481-ET003	3	G481-ES003	3	RECURRENT_STRICT_EVENT	G481-ET003 ×3	Eintrag »char« — Ausgangszuordnung.	Eintrag »char« — Ausgangszuordnung.	NO	YES	YES
G484-E004	P1003-E0596	G475-R002	G474-B002	f71v	CELESTIAL	CATALOGUE	arom	AR	G481-ET004	2	G481-ES004	3	RECURRENT_STRICT_EVENT	G481-ET004 ×2	Sternstelle »om« — Ausgangszuordnung.	Sternstelle »om« — Ausgangszuordnung.	NO	YES	YES
G484-E005	P1003-E0597	G475-R003	G474-B003	f71v	CELESTIAL	CATALOGUE	chfaly	AL+Y	G481-ET005	3	G481-ES005	5	RECURRENT_STRICT_EVENT	G481-ET005 ×3	Sternstelle »chf« — Zielzuordnung, Postenangabe.	Sternstelle »chf« — Zielzuordnung, Postenangabe.	NO	YES	YES
G484-E006	P1003-E0598	G475-R004	G474-B004	f71v	CELESTIAL	INSTRUCTION	okolar	OK+OL+AR	G481-ET006	1	G481-ES006	1	LOCAL_COMPONENT_RECURRENT	[SETZEN · FORTSETZEN ×2] + [AUSGANG ×44]	Weiter setze den Eintrag von der Ausgangsposition. Reihenfolge konkret: OL — Setzen in Ausgang weiterführen.	Weiter setze den Eintrag von der Ausgangsposition. Reihenfolge konkret: OL — Setzen in Ausgang weiterführen.	NO	YES	YES
G484-E007	P1003-E0599	G475-R005	G474-B005	f71v	CELESTIAL	CATALOGUE	otchody	OT	G481-ET001	5	G481-ES001	5	RECURRENT_STRICT_EVENT	G481-ET001 ×5	Sternstelle »chody« — Folgevermerk. Reihenfolge konkret: OT — danach Sternstelle »chody«.	Sternstelle »chody« — Folgevermerk. Reihenfolge konkret: OT — danach Sternstelle »chody«.	NO	YES	YES
G484-E008	P1003-E0600	G475-R006	G474-B006	f71v	CELESTIAL	INSTRUCTION	alcphy	AL+CH+P+Y	G481-ET007	1	G481-ES007	1	LOCAL_COMPONENT_RECURRENT	[ZIELORT ×47] + [NEHMEN ×9] + [EINSETZEN ×1] + [POSTEN ×39]	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.	NO	YES	YES
G484-E009	P1003-E0601	G475-R007	G474-B007	f71v	CELESTIAL	COORDINATE	otaiin	OT+AIIN	G481-ET008	2	G481-ES008	3	RECURRENT_STRICT_EVENT	G481-ET008 ×2	Adressspur: danach → Positionswert. Reihenfolge konkret: OT — danach Wert.	Adressspur: danach → Positionswert. Reihenfolge konkret: OT — danach Wert.	NO	YES	YES
G484-E010	P1003-E0602	G475-R008	G474-B008	f71v	CELESTIAL	INSTRUCTION	okaraiin	OK+AR+AIIN	G481-ET009	1	G481-ES009	3	RECURRENT_ROLE_EVENT	G481-ES009 ×3	Setze den Positionswert von der Ausgangsposition.	Setze den Positionswert von der Ausgangsposition.	NO	YES	YES
