page	panel_id	record_id	locus	position	word	mention	model	identity	patient	patient_slot	patient_trigger	destination	destination_trigger	issues	implicit_agent	reading
f83r	F83_UPPER_SPRAY	F83_P1	f83r.2	10	chedy	f83r.2:10	L0	REUSE	F83_P1:B	B	f83r.2:3	F83_P1:B	f83r.2:3	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Gefäß F83_P1:B].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.4	2	chedy	f83r.4:2	L0	REUSE	F83_P1:B	B	f83r.3:8	F83_P1:B	f83r.3:8	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Gefäß F83_P1:B].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.4	9	chedy	f83r.4:9	L0	REUSE	F83_P1:A	A	f83r.4:7	F83_P1:B	f83r.3:8	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Flüssigkeit F83_P1:A].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.6	6	chedy	f83r.6:6	L0	REUSE	F83_P1:B	B	f83r.6:5	F83_P1:B	f83r.6:5	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Gefäß F83_P1:B].
f83r	F83_UPPER_SPRAY	F83_P1	f83r.6	7	qokeedy	f83r.6:7	L0	REUSE	F83_P1:B	B	f83r.6:5	F83_P1:B	f83r.6:5	CONTAINER_AS_FILL_MATERIAL|SELF_FILL	ADDRESSEE:F83_P1	Fülle [Gefäß F83_P1:B] in [Gefäß F83_P1:B] ein.
f83r	F83_UPPER_SPRAY	F83_P1	f83r.8	5	chedy	f83r.8:5	L0	REUSE	F83_P1:C	C	f83r.6:8	F83_P1:B	f83r.6:5	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P1	Erwärme [Zusatzstoff F83_P1:C].
f83r	F83_MIDDLE_LOOP	F83_P2	f83r.14	2	qokeedy	f83r.14:2	L0	REUSE	F83_P2:A	A	f83r.13:3	F83_P2:B	f83r.11:3	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P2	Fülle [Flüssigkeit F83_P2:A] in [Gefäß F83_P2:B] ein.
f83r	F83_MIDDLE_LOOP	F83_P2	f83r.16	5	chedy	f83r.16:5	L0	REUSE	F83_P2:C	C	f83r.15:9	F83_P2:B	f83r.14:7	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P2	Erwärme [Zusatzstoff F83_P2:C].
f83r	F83_LOWER_DRIP	F83_P3	f83r.21	5	chedy	f83r.21:5	L0	REUSE	F83_P3:C	C	f83r.19:11	MISSING	MISSING	NONE_UNDER_HYPOTHESES	ADDRESSEE:F83_P3	Erwärme [Zusatzstoff F83_P3:C].
f83r	F83_LOWER_DRIP	F83_P3	f83r.22	3	qokeedy	f83r.22:3	L0	REUSE	F83_P3:C	C	f83r.19:11	MISSING	MISSING	MISSING_DESTINATION	ADDRESSEE:F83_P3	Fülle [Zusatzstoff F83_P3:C] in [[Teilnehmer fehlt]] ein.
