identity	locus	word	L0	L1	T0	L1_trigger	T0_trigger	L1_T0_differ	any_differ
REUSE	f83r.2:10	chedy	F83_P1:B	F83_P1:A	F83_P1:A	f83r.1:6	f83r.1:6	False	True
REUSE	f83r.4:2	chedy	F83_P1:B	F83_P1:C	F83_P1:A	f83r.3:7	f83r.1:6	True	True
REUSE	f83r.4:9	chedy	F83_P1:A	F83_P1:A	F83_P1:A	f83r.4:7	f83r.1:6	False	False
REUSE	f83r.6:6	chedy	F83_P1:B	F83_P1:A	F83_P1:A	f83r.5:6	f83r.1:6	False	True
REUSE	f83r.6:7	qokeedy	F83_P1:B	F83_P1:A	F83_P1:A	f83r.5:6	f83r.1:6	False	True
REUSE	f83r.8:5	chedy	F83_P1:C	F83_P1:C	F83_P1:A	f83r.6:8	f83r.1:6	True	True
REUSE	f83r.14:2	qokeedy	F83_P2:A	F83_P2:A	F83_P2:A	f83r.13:3	f83r.11:2	False	False
REUSE	f83r.16:5	chedy	F83_P2:C	F83_P2:C	F83_P2:A	f83r.15:9	f83r.11:2	True	True
REUSE	f83r.21:5	chedy	F83_P3:C	F83_P3:C	F83_P3:A	f83r.19:11	f83r.18:4	True	True
REUSE	f83r.22:3	qokeedy	F83_P3:C	F83_P3:C	F83_P3:A	f83r.19:11	f83r.18:4	True	True
REUSE	f83r.22:5	chedy	F83_P3:C	F83_P3:C	F83_P3:A	f83r.19:11	f83r.18:4	True	True
REUSE	f83r.23:9	chedy	F83_P3:A	F83_P3:A	F83_P3:A	f83r.23:4	f83r.18:4	False	False
REUSE	f83r.25:1	qokeedy	MISSING	MISSING	MISSING	MISSING	MISSING	False	False
REUSE	f83r.25:5	chedy	MISSING	MISSING	MISSING	MISSING	MISSING	False	False
REUSE	f83r.27:2	chedy	F83_P4:A	F83_P4:A	F83_P4:A	f83r.26:5	f83r.26:5	False	False
REUSE	f83r.27:3	qokeedy	F83_P4:A	F83_P4:A	F83_P4:A	f83r.26:5	f83r.26:5	False	False
REUSE	f83r.30:3	qokeedy	F83_P4:A	F83_P4:A	F83_P4:A	f83r.28:5	f83r.26:5	False	False
REUSE	f83r.42:5	chedy	F83_P5:C	F83_P5:C	F83_P5:C	f83r.41:2	f83r.32:3	False	False
REUSE	f83r.43:3	chedy	F83_P5:C	F83_P5:C	F83_P5:C	f83r.41:2	f83r.32:3	False	False
REUSE	f83r.49:3	chedy	MISSING	MISSING	MISSING	MISSING	MISSING	False	False
FRESH	f83r.2:10	chedy	F83_P1:B@f83r.2:3	F83_P1:A@f83r.1:6	F83_P1:A@f83r.1:6	f83r.1:6	f83r.1:6	False	True
FRESH	f83r.4:2	chedy	F83_P1:B@f83r.3:8	F83_P1:C@f83r.3:7	F83_P1:A@f83r.1:6	f83r.3:7	f83r.1:6	True	True
FRESH	f83r.4:9	chedy	F83_P1:A@f83r.4:7	F83_P1:A@f83r.4:7	F83_P1:A@f83r.1:6	f83r.4:7	f83r.1:6	True	True
FRESH	f83r.6:6	chedy	F83_P1:B@f83r.6:5	F83_P1:A@f83r.5:6	F83_P1:A@f83r.1:6	f83r.5:6	f83r.1:6	True	True
FRESH	f83r.6:7	qokeedy	F83_P1:B@f83r.6:5	F83_P1:A@f83r.5:6	F83_P1:A@f83r.1:6	f83r.5:6	f83r.1:6	True	True
FRESH	f83r.8:5	chedy	F83_P1:C@f83r.6:8	F83_P1:C@f83r.6:8	F83_P1:A@f83r.1:6	f83r.6:8	f83r.1:6	True	True
FRESH	f83r.14:2	qokeedy	F83_P2:A@f83r.13:3	F83_P2:A@f83r.13:3	F83_P2:A@f83r.11:2	f83r.13:3	f83r.11:2	True	True
FRESH	f83r.16:5	chedy	F83_P2:C@f83r.15:9	F83_P2:C@f83r.15:9	F83_P2:A@f83r.11:2	f83r.15:9	f83r.11:2	True	True
FRESH	f83r.21:5	chedy	F83_P3:C@f83r.19:11	F83_P3:C@f83r.19:11	F83_P3:A@f83r.18:4	f83r.19:11	f83r.18:4	True	True
FRESH	f83r.22:3	qokeedy	F83_P3:C@f83r.19:11	F83_P3:C@f83r.19:11	F83_P3:A@f83r.18:4	f83r.19:11	f83r.18:4	True	True
FRESH	f83r.22:5	chedy	F83_P3:C@f83r.19:11	F83_P3:C@f83r.19:11	F83_P3:A@f83r.18:4	f83r.19:11	f83r.18:4	True	True
FRESH	f83r.23:9	chedy	F83_P3:A@f83r.23:4	F83_P3:A@f83r.23:4	F83_P3:A@f83r.18:4	f83r.23:4	f83r.18:4	True	True
FRESH	f83r.25:1	qokeedy	MISSING	MISSING	MISSING	MISSING	MISSING	False	False
FRESH	f83r.25:5	chedy	MISSING	MISSING	MISSING	MISSING	MISSING	False	False
FRESH	f83r.27:2	chedy	F83_P4:A@f83r.26:5	F83_P4:A@f83r.26:5	F83_P4:A@f83r.26:5	f83r.26:5	f83r.26:5	False	False
FRESH	f83r.27:3	qokeedy	F83_P4:A@f83r.26:5	F83_P4:A@f83r.26:5	F83_P4:A@f83r.26:5	f83r.26:5	f83r.26:5	False	False
FRESH	f83r.30:3	qokeedy	F83_P4:A@f83r.28:5	F83_P4:A@f83r.28:5	F83_P4:A@f83r.26:5	f83r.28:5	f83r.26:5	True	True
FRESH	f83r.42:5	chedy	F83_P5:C@f83r.41:2	F83_P5:C@f83r.41:2	F83_P5:C@f83r.32:3	f83r.41:2	f83r.32:3	True	True
FRESH	f83r.43:3	chedy	F83_P5:C@f83r.41:2	F83_P5:C@f83r.41:2	F83_P5:C@f83r.32:3	f83r.41:2	f83r.32:3	True	True
FRESH	f83r.49:3	chedy	MISSING	MISSING	MISSING	MISSING	MISSING	False	False
