record	start	end	source	unit_type
F83_P1	f83r.1:1	f83r.2:9	tchedy lpchedy opedy chepol pchedar shedy qopchedy sol cheey qokaiin shol lchs shey qoteedy rches ar	OPEN_PREFIX
F83_P1	f83r.2:10	f83r.4:1	chedy dor olkeedy qotal chkeedy chey daiin chey lchedy qokaiin qotal dar qokshedy	ACTION_START
F83_P1	f83r.4:2	f83r.4:8	chedy qokedy chkedy daiin shetar shedy qekaiin	ACTION_START
F83_P1	f83r.4:9	f83r.6:5	chedy deey qotaiin checkhy qoty cheg shedy qokeey rchedy qoteedy lo schedy chedchy qokal olchedy qokaiin	ACTION_START
F83_P1	f83r.6:6	f83r.6:6	chedy	ACTION_START
F83_P1	f83r.6:7	f83r.8:4	qokeedy lchedy qoky solshed lsheedy qeeedy qoky o qol rsheedy qokedy qoteedy qoteedy pchedal otedy shecthedchy qoky	ACTION_START
F83_P1	f83r.8:5	f83r.8:6	chedy chary	ACTION_START
F83_P2	f83r.9:1	f83r.14:1	pchor checphedy qokedy lsheedy qokchdy r shedkedy qopshdy qopy olkeey rchs cheeb ols aiin skal dain cthal s aiin chky lal sam sor shedy qokaiin chkain shcthey qokedy okair sheedy lchedy lo qockhol sheckhy otal qokeal sheckhdy al okedy qokedy qokal salcheol tar shedy s altedy sair qokedy qedy lchcphedy ldar qokchedy	OPEN_PREFIX
F83_P2	f83r.14:2	f83r.16:4	qokeedy shedy qokshedy dal lchedy qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy qotchedy lchedy tchedy qokchdy cheedar chldaiin	ACTION_START
F83_P2	f83r.16:5	f83r.17:6	chedy qokain checthy chealror dcheokedy lkeed shckhey ytaiin shechy schety	ACTION_START
F83_P3	f83r.18:1	f83r.21:4	pdalshdy shocphedy otor shedy opshedy otshdy qokedol shdy soldy sar shedaiin ockhey sain ched shedy qetal dal shedy shey lchedy solkeedy qoteedy qokeey qokedy sol cheeety qokedy qoky saiin solkeedy qokedy otedy sol	OPEN_PREFIX
F83_P3	f83r.21:5	f83r.22:2	chedy lkedy qokchedy qokedy chckhdy sar schedair otchedy	ACTION_START
F83_P3	f83r.22:3	f83r.22:4	qokeedy chedain	ACTION_START
F83_P3	f83r.22:5	f83r.23:8	chedy qotedaiin otaiin otedy ldy tchedy qotedy qokal shedy qokedy shecthedy shecthy otor	ACTION_START
F83_P3	f83r.23:9	f83r.24:6	chedy soiiin checthy chety otaiin olsaly shedy	ACTION_START
F83_P4	f83r.25:1	f83r.25:4	qokeedy qolchey qokeey qokedy	ACTION_START
F83_P4	f83r.25:5	f83r.27:1	chedy otal otchey qokeey qoky tol shedy qokylddy dain	ACTION_START
F83_P4	f83r.27:2	f83r.27:2	chedy	ACTION_START
F83_P4	f83r.27:3	f83r.30:2	qokeedy shckhedy shckhedy saiin cheeky sheey qokedy shedy oldy salchedy cheey qody kesd oldy s okeedy	ACTION_START
F83_P4	f83r.30:3	f83r.30:5	qokeedy qoky saii	ACTION_START
F83_P5	f83r.31:1	f83r.42:4	techedy qotchedy okeedy ldy cheol qokchedy lchedy qokey sy s aiin sheekchy qokey sain shky lchedy dolshed qokchy saiin cheky okeeol okain chdy sor aiin shy shey lshedy qoky sol lkedy lchedy qokol shedy or chey qockhey dairydy qokain shey kain chckhal solchedy olchedy chedaiin solkey lchedy qolkain dal sol ol chcthdy l	OPEN_PREFIX
F83_P5	f83r.42:5	f83r.43:2	chedy lchdy daiin sheol	ACTION_START
F83_P5	f83r.43:3	f83r.44:2	chedy qotal sar skar shedy	ACTION_START
F83_Q1	f83r.47:1	f83r.49:2	otchdy qokchdy shedal dal cheol lol chdal aiin sol daiiin	OPEN_PREFIX
F83_Q1	f83r.49:3	f83r.49:3	chedy	ACTION_START
F83_Q2	f83r.52:1	f83r.55:3	solkeey qekey raly ol solchkal cheol qotar ol daiin ol dain chey ldalor sol rtain cthal	OPEN_PREFIX
