page	panel_id	record_id	locus	position	word	mention	model	identity	entity	type	meaning	destination_after
f83r	F83_UPPER_SPRAY	F83_P1	f83r.1	6	shedy	f83r.1:6	L0	REUSE	F83_P1:A	MATERIAL	Flüssigkeit	[Teilnehmer fehlt]
f83r	F83_UPPER_SPRAY	F83_P1	f83r.2	3	qokaiin	f83r.2:3	L0	REUSE	F83_P1:B	CONTAINER	Gefäß	Gefäß F83_P1:B
f83r	F83_UPPER_SPRAY	F83_P1	f83r.3	7	lchedy	f83r.3:7	L0	REUSE	F83_P1:C	MATERIAL	Zusatzstoff	Gefäß F83_P1:B
f83r	F83_UPPER_SPRAY	F83_P1	f83r.3	8	qokaiin	f83r.3:8	L0	REUSE	F83_P1:B	CONTAINER	Gefäß	Gefäß F83_P1:B
f83r	F83_UPPER_SPRAY	F83_P1	f83r.4	7	shedy	f83r.4:7	L0	REUSE	F83_P1:A	MATERIAL	Flüssigkeit	Gefäß F83_P1:B
f83r	F83_UPPER_SPRAY	F83_P1	f83r.5	6	shedy	f83r.5:6	L0	REUSE	F83_P1:A	MATERIAL	Flüssigkeit	Gefäß F83_P1:B
f83r	F83_UPPER_SPRAY	F83_P1	f83r.6	5	qokaiin	f83r.6:5	L0	REUSE	F83_P1:B	CONTAINER	Gefäß	Gefäß F83_P1:B
f83r	F83_UPPER_SPRAY	F83_P1	f83r.6	8	lchedy	f83r.6:8	L0	REUSE	F83_P1:C	MATERIAL	Zusatzstoff	Gefäß F83_P1:B
f83r	F83_MIDDLE_LOOP	F83_P2	f83r.11	2	shedy	f83r.11:2	L0	REUSE	F83_P2:A	MATERIAL	Flüssigkeit	[Teilnehmer fehlt]
f83r	F83_MIDDLE_LOOP	F83_P2	f83r.11	3	qokaiin	f83r.11:3	L0	REUSE	F83_P2:B	CONTAINER	Gefäß	Gefäß F83_P2:B
f83r	F83_MIDDLE_LOOP	F83_P2	f83r.11	9	lchedy	f83r.11:9	L0	REUSE	F83_P2:C	MATERIAL	Zusatzstoff	Gefäß F83_P2:B
f83r	F83_MIDDLE_LOOP	F83_P2	f83r.13	3	shedy	f83r.13:3	L0	REUSE	F83_P2:A	MATERIAL	Flüssigkeit	Gefäß F83_P2:B
f83r	F83_MIDDLE_LOOP	F83_P2	f83r.14	3	shedy	f83r.14:3	L0	REUSE	F83_P2:A	MATERIAL	Flüssigkeit	Gefäß F83_P2:B
f83r	F83_MIDDLE_LOOP	F83_P2	f83r.14	6	lchedy	f83r.14:6	L0	REUSE	F83_P2:C	MATERIAL	Zusatzstoff	Gefäß F83_P2:B
f83r	F83_MIDDLE_LOOP	F83_P2	f83r.14	7	qokaiin	f83r.14:7	L0	REUSE	F83_P2:B	CONTAINER	Gefäß	Gefäß F83_P2:B
f83r	F83_MIDDLE_LOOP	F83_P2	f83r.15	9	lchedy	f83r.15:9	L0	REUSE	F83_P2:C	MATERIAL	Zusatzstoff	Gefäß F83_P2:B
f83r	F83_LOWER_DRIP	F83_P3	f83r.18	4	shedy	f83r.18:4	L0	REUSE	F83_P3:A	MATERIAL	Flüssigkeit	[Teilnehmer fehlt]
f83r	F83_LOWER_DRIP	F83_P3	f83r.19	6	shedy	f83r.19:6	L0	REUSE	F83_P3:A	MATERIAL	Flüssigkeit	[Teilnehmer fehlt]
f83r	F83_LOWER_DRIP	F83_P3	f83r.19	9	shedy	f83r.19:9	L0	REUSE	F83_P3:A	MATERIAL	Flüssigkeit	[Teilnehmer fehlt]
f83r	F83_LOWER_DRIP	F83_P3	f83r.19	11	lchedy	f83r.19:11	L0	REUSE	F83_P3:C	MATERIAL	Zusatzstoff	[Teilnehmer fehlt]
f83r	F83_LOWER_DRIP	F83_P3	f83r.23	4	shedy	f83r.23:4	L0	REUSE	F83_P3:A	MATERIAL	Flüssigkeit	[Teilnehmer fehlt]
f83r	F83_LOWER_DRIP	F83_P3	f83r.24	6	shedy	f83r.24:6	L0	REUSE	F83_P3:A	MATERIAL	Flüssigkeit	[Teilnehmer fehlt]
f83r	F83_LOWER_COUPLED	F83_P4	f83r.26	5	shedy	f83r.26:5	L0	REUSE	F83_P4:A	MATERIAL	Flüssigkeit	[Teilnehmer fehlt]
f83r	F83_LOWER_COUPLED	F83_P4	f83r.28	5	shedy	f83r.28:5	L0	REUSE	F83_P4:A	MATERIAL	Flüssigkeit	[Teilnehmer fehlt]
f83r	F83_LOWER_COUPLED	F83_P5	f83r.32	3	lchedy	f83r.32:3	L0	REUSE	F83_P5:C	MATERIAL	Zusatzstoff	[Teilnehmer fehlt]
f83r	F83_LOWER_COUPLED	F83_P5	f83r.34	2	lchedy	f83r.34:2	L0	REUSE	F83_P5:C	MATERIAL	Zusatzstoff	[Teilnehmer fehlt]
f83r	F83_LOWER_COUPLED	F83_P5	f83r.37	3	lchedy	f83r.37:3	L0	REUSE	F83_P5:C	MATERIAL	Zusatzstoff	[Teilnehmer fehlt]
f83r	F83_LOWER_COUPLED	F83_P5	f83r.37	5	shedy	f83r.37:5	L0	REUSE	F83_P5:A	MATERIAL	Flüssigkeit	[Teilnehmer fehlt]
f83r	F83_LOWER_COUPLED	F83_P5	f83r.41	2	lchedy	f83r.41:2	L0	REUSE	F83_P5:C	MATERIAL	Zusatzstoff	[Teilnehmer fehlt]
f83r	F83_LOWER_COUPLED	F83_P5	f83r.44	2	shedy	f83r.44:2	L0	REUSE	F83_P5:A	MATERIAL	Flüssigkeit	[Teilnehmer fehlt]
f83r	F83_UPPER_SPRAY	F83_P1	f83r.1	6	shedy	f83r.1:6	L1	REUSE	F83_P1:A	MATERIAL	Flüssigkeit	[Teilnehmer fehlt]
f83r	F83_UPPER_SPRAY	F83_P1	f83r.2	3	qokaiin	f83r.2:3	L1	REUSE	F83_P1:B	CONTAINER	Gefäß	Gefäß F83_P1:B
f83r	F83_UPPER_SPRAY	F83_P1	f83r.3	7	lchedy	f83r.3:7	L1	REUSE	F83_P1:C	MATERIAL	Zusatzstoff	Gefäß F83_P1:B
