held_out_page	registers	event_count	clean_slot_event_count	green_clean_event_count	amber_clean_event_count	red_clean_event_count	green_or_amber_clean_share	complex_event_count	long_chain_event_count	no_action_event_count
f10r	HERBAL	92	42	39	2	1	0.976190	4	5	41
f11r	HERBAL	59	25	25	0	0	1.000000	6	1	27
f13r	HERBAL	77	37	36	0	1	0.972973	10	0	30
f17r	HERBAL	78	47	42	3	2	0.957447	4	3	24
f18r	HERBAL	84	49	48	0	1	0.979592	1	1	33
f1r	SOURCE_SECTION_T	214	123	117	4	2	0.983740	8	12	71
f24v	HERBAL	86	50	47	2	1	0.980000	2	4	30
f55v	HERBAL	106	47	45	1	1	0.978723	9	2	48
f56r	HERBAL	105	62	54	2	6	0.903226	4	4	35
f67r2	CELESTIAL	126	52	48	3	1	0.980769	11	2	61
f68r1	CELESTIAL	31	21	20	0	1	0.952381	4	5	1
f71v	CELESTIAL	78	40	36	3	1	0.975000	1	5	32
f72r	CELESTIAL	288	130	128	1	1	0.992308	9	7	142
f75r	BIOLOGICAL	408	258	247	4	7	0.972868	4	10	136
f76r	BIOLOGICAL	560	343	338	3	2	0.994169	5	25	187
f77r	BIOLOGICAL	321	200	195	3	2	0.990000	3	9	109
f81r	BIOLOGICAL	210	108	107	0	1	0.990741	4	9	89
f81v	BIOLOGICAL	253	157	156	1	0	1.000000	9	9	78
f82r	BIOLOGICAL	278	192	184	3	5	0.973958	3	10	73
f83r	BIOLOGICAL	341	226	217	5	4	0.982301	4	24	87
f88r	PHARMA	134	82	77	1	4	0.951220	7	3	42
f88v	PHARMA	131	76	71	3	2	0.973684	9	5	41
f89r	PHARMA	338	183	177	3	3	0.983607	3	7	145
f95v	HERBAL	178	112	99	3	10	0.910714	6	6	54
