held_out_page	slot_skeleton	head_or_pair	grade_slot	argument_slot	endpoint_slot	leave_page_replay_status	red_causes	event_count	surfaces	component_recipes
f10r	CH+R|E|Y|OPEN	CH+R	E	Y	OPEN	RED_PAGE_PRIVATE_HEAD_OR_SLOT	ARGUMENT_SLOT_PAGE_PRIVATE	1	ycheor	Y+CH+E+O+R
f13r	S|EEE|NONE|OPEN	S	EEE	NONE	OPEN	RED_PAGE_PRIVATE_HEAD_OR_SLOT	GRADE_SLOT_PAGE_PRIVATE	1	oeees	O+EEE+S
f17r	CH+SH|NONE|Y|OPEN	CH+SH	NONE	Y	OPEN	RED_PAGE_PRIVATE_HEAD_OR_SLOT	ARGUMENT_SLOT_PAGE_PRIVATE	1	choldshy	CH+OL+D_ADDR+SH+Y
f17r	P+CH|NONE|OR|CLOSE	P+CH	NONE	OR	CLOSE	RED_PAGE_PRIVATE_HEAD_OR_SLOT	CLOSE_SLOT_PAGE_PRIVATE	1	opchordy	O+P+CH+OR+DY
f18r	P+R|NONE|NONE|CLOSE	P+R	NONE	NONE	CLOSE	RED_PAGE_PRIVATE_HEAD_OR_SLOT	HEAD_OR_ORDERED_PAIR_PAGE_PRIVATE|CLOSE_SLOT_PAGE_PRIVATE	1	pdrairdy	P+D_ADDR+R+AIR+DY
f1r	K+OK|NONE|AIIN|OPEN	K+OK	NONE	AIIN	OPEN	RED_PAGE_PRIVATE_HEAD_OR_SLOT	HEAD_OR_ORDERED_PAIR_PAGE_PRIVATE|ARGUMENT_SLOT_PAGE_PRIVATE	1	kokaiin	K+OK+AIIN
f1r	S+R|NONE|Y|OPEN	S+R	NONE	Y	OPEN	RED_PAGE_PRIVATE_HEAD_OR_SLOT	ARGUMENT_SLOT_PAGE_PRIVATE	1	syaiir	S+Y+IIN+R
f24v	CH+S|EE|NONE|OPEN	CH+S	EE	NONE	OPEN	RED_PAGE_PRIVATE_HEAD_OR_SLOT	GRADE_SLOT_PAGE_PRIVATE	1	odchees	O+D_ADDR+CH+EE+S
f55v	K+S|EE|Y|OPEN	K+S	EE	Y	OPEN	RED_PAGE_PRIVATE_HEAD_OR_SLOT	GRADE_SLOT_PAGE_PRIVATE|ARGUMENT_SLOT_PAGE_PRIVATE	1	ykeesan	Y+K+EE+S+AN
f56r	K+CH|E|Y|OPEN	K+CH	E	Y	OPEN	RED_PAGE_PRIVATE_HEAD_OR_SLOT	GRADE_SLOT_PAGE_PRIVATE	1	kchey	K+CH+E+Y
