branch	edition	paragraph	grammar	groups	row_status
C_A	IT2a	f111r|f111r.6-f111r.35	B	359	recorded
C_A	IT2a	f111r|f111r.6-f111r.35	J	359	recorded
C_A	IT2a	f111r|f111r.6-f111r.35	M	359	recorded
C_A	ZL3b	f111r|f111r.6-f111r.35	B	365	recorded
C_A	ZL3b	f111r|f111r.6-f111r.35	J	365	recorded
C_A	ZL3b	f111r|f111r.6-f111r.35	M	365	recorded
C_Q	IT2a	f111r|f111r.6-f111r.35	B	359	recorded
C_Q	IT2a	f111r|f111r.6-f111r.35	J	359	recorded
C_Q	IT2a	f111r|f111r.6-f111r.35	M	359	recorded
C_Q	ZL3b	f111r|f111r.6-f111r.35	B	365	recorded
C_Q	ZL3b	f111r|f111r.6-f111r.35	J	365	recorded
C_Q	ZL3b	f111r|f111r.6-f111r.35	M	365	recorded
