surface	default_de	rival_1_de	rival_2_de	rival_2_mechanism_de	display_hypothesis_not_exportable	confidence_0_100_not_probability	confidence_label	display_scope	lineage_decision	basis_de	counterevidence_de
alkeedy	Material I, heiß bis Endstufe	Material I, vollständig ausgekocht	Drogenportion I, lagerfertig	formgebundene Kompositionshypothese; kein Komponentenexport	MATERIAL|HOT|END_STAGE	44	C0_FORM_SPECIFIC_COMPOSITE	READER_EXACT_COMPLETE_WHOLE_ONLY	FORM_SPECIFIC_COMPOSITE_LEAD	2/2 reader-exakt; exakte getrennte Brücke al keedy; al ist als vollständige Material-I-Karte belegt.	Nur zwei Ganzwortvorkommen; die Brücke beweist weder freie Bestandteile noch dieselbe Bedeutung in beiden Schreibungen.
arolkeedy	erhitzter Materialanteil, Endstufe	eingedickter Ansatzanteil	abgemessene Fertigdosis	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	MATERIAL|HOT|END_STAGE	18	C0_RAW_READER_WARNING	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Ein rohes Ganzwortvorkommen; ein anderer Leser trennt arol keedy und macht eine formgebundene Wärme-/Endstufenlesung prüfbar.	Kein reader-exaktes Ganzwortvorkommen; Stoff- und Anteilsrolle bleiben unbestätigt; keine Renderer-Lizenz.
chalkeedy	heiße Trockendroge, Endstufe	geröstete Pflanzendroge	eingedickter Extraktrückstand	gelernte Ganzwortkarte mit Schwesteranalogie	DRY|MATERIAL|HOT|END_STAGE	36	C0_EXPLORATORY_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	LEARNED_WHOLE_WITH_SISTER_LEAD	1/1 reader-exakt; chal ist eine vollständige Trockenmaterialkarte und chalkeey ist als formale Schwester vorhanden.	Singleton; keine exakte getrennte chal keedy-Brücke; Trägeridentität bleibt offen.
chekeedy	erhitzte Trockenzubereitung	ausgekochte Pflanzendroge	getrocknete Fertigarznei	gelernte Ganzwortkarte mit Schwesteranalogie	DRY|PREPARATION|HOT|END_STAGE	40	C0_EXPLORATORY_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	LEARNED_WHOLE_WITH_SISTER_LEAD	4 rohe und 3 reader-exakte Vorkommen; chekeey bildet eine gleich häufige formale Schwester; die Stellen liegen überwiegend spät in der Zeile.	Keine aktive Ganzwortkarte nach der späteren Bereinigung und keine getrennte che keedy-Brücke.
cheolkeedy	trockenes Material, heiß bis Endstufe	geröstetes Pflanzenmaterial	eingedickter Zubereitungsrückstand	formgebundene Kompositionshypothese; kein Komponentenexport	DRY|MATERIAL|HOT|END_STAGE	45	C0_FORM_SPECIFIC_COMPOSITE	READER_EXACT_COMPLETE_WHOLE_ONLY	FORM_SPECIFIC_COMPOSITE_LEAD	2 rohe und 1 reader-exaktes Vorkommen; exakte getrennte Brücke cheol keedy; cheol ist eine vollständige Trockenmaterialkarte.	Singleton im reader-exakten Ganzwortbestand; kein freier cheol- oder keedy-Export.
chkeedy	heiß-trockener Endzustand	geröstete Droge	getrockneter Extrakt, gebrauchsfertig	gekürzte Ganzwortkarte statt Handlungszerlegung	DRY|HOT|END_STAGE	38	C0_SHORTENED_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	SHORTEN_OLD_SEQUENTIAL_ACTION	1/1 reader-exakt; chkeey ist die formale Schwester; der alte GDT665-Kern verbindet Trockenheit mit Wärme und Endstufe.	Die alte Handlungsfolge war aus Formteilen komponiert; Singleton und keine exakte ch keedy-Brücke.
chokeedy	heiß-trockener Endansatz	eingekochter Trockenextrakt	geröstete Arzneimischung	übernommene Ganzwortkarte ohne CLOSED-Komponente	DRY|PREPARATION|HOT|END_STAGE	50	C0_PLUS_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	KEEP_SHORTENED_REMOVE_CLOSE	2/2 reader-exakt auf zwei Seiten; chokeey ist eine starke vollständige Schwester und der alte Ganzwortkern trägt DRY|PREPARATION|HOT|END_STAGE.	Keine getrennte cho keedy-Brücke; CLOSED hatte keine spätere unabhängige Stütze.
cholkeedy	getrocknetes Gut, heiß bis Endstufe	geröstete Trockendroge	verdampfter Extraktrückstand	formgebundene Kompositionshypothese; kein Komponentenexport	DRY|MATERIAL|HOT|END_STAGE	52	C0_FORM_SPECIFIC_COMPOSITE	READER_EXACT_COMPLETE_WHOLE_ONLY	FORM_SPECIFIC_COMPOSITE_LEAD	3 rohe und 1 reader-exaktes Vorkommen; exakte chol keedy-Brücke, zusätzliche Lesertrennung und cholkeey-Schwester; chol ist eine starke vollständige Trockenkarte.	Nur ein reader-exaktes fusioniertes Ziel; die Grenzen lizenzieren keinen freien Bestandteil und erhöhen die Bedeutung nicht auf C1.
dchekeedy	erhitzte Trockenzubereitung, Endstufe	getrocknete Fertigarznei	Zubereitung der höchsten Gütestufe	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	DRY|PREPARATION|HOT|END_STAGE	18	C0_RAW_READER_WARNING	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Ein rohes Ganzwortvorkommen; chekeedy und d-nahe Qualitätsformen geben einen konkreten formgebundenen Rivalen vor.	Kein reader-exaktes Ganzwortvorkommen; sichtbares d erhält keine eigene Abschlussbedeutung; keine Renderer-Lizenz.
dolkeedy	erhitzte Materialdosis, Endstufe	abgemessene Abkochungsdosis	getrocknete Arzneiportion	formgebundene Kompositionshypothese; kein Komponentenexport	AMOUNT|MATERIAL|HOT|END_STAGE	32	C0_EXPLORATORY_WHOLE	READER_EXACT_COMPLETE_WHOLE_ONLY	FORM_SPECIFIC_COMPOSITE_LEAD	1/1 reader-exakt; dol ist als vollständige Materialmaß-Karte überliefert; der ausdrücklich nicht exportierbare C0-Familienprior liefert nur den Wärme-/Endstufenrivalen.	Singleton; keine dol keedy-Brücke und keine unabhängig identifizierte Maßeinheit.
