event_serial	statement_id	record_unit_id	page	workflow_phase	visible_surface	master_card_id	atomic_card_value_de	event_position_in_clause	teaching_layer	terminal_status	complete_clause_translation_de
39	H3-S001	H3	f11r	I_EXTRACT_PREPARATION	tshol	MC098	Kochgut	1/7	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Nimm von der blau bekrönten Bildpflanze das Kochgut. Setze daraus einen Sud an, wringe ihn aus, lasse ihn die vorgeschriebene Zeit stehen, seihe nochmals und behalte den klaren Auszug; gib zuletzt den Endzusatz bei.
40	H3-S001	H3	f11r	I_EXTRACT_PREPARATION	schoal	MC049	Sudansatz	2/7	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Nimm von der blau bekrönten Bildpflanze das Kochgut. Setze daraus einen Sud an, wringe ihn aus, lasse ihn die vorgeschriebene Zeit stehen, seihe nochmals und behalte den klaren Auszug; gib zuletzt den Endzusatz bei.
41	H3-S001	H3	f11r	I_EXTRACT_PREPARATION	cfhy	MC129	Auswringen	3/7	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Nimm von der blau bekrönten Bildpflanze das Kochgut. Setze daraus einen Sud an, wringe ihn aus, lasse ihn die vorgeschriebene Zeit stehen, seihe nochmals und behalte den klaren Auszug; gib zuletzt den Endzusatz bei.
42	H3-S001	H3	f11r	I_EXTRACT_PREPARATION	shfydaiin	MC111	Stehzeit	4/7	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Nimm von der blau bekrönten Bildpflanze das Kochgut. Setze daraus einen Sud an, wringe ihn aus, lasse ihn die vorgeschriebene Zeit stehen, seihe nochmals und behalte den klaren Auszug; gib zuletzt den Endzusatz bei.
43	H3-S001	H3	f11r	I_EXTRACT_PREPARATION	cphy	MC156	Nachseihen	5/7	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Nimm von der blau bekrönten Bildpflanze das Kochgut. Setze daraus einen Sud an, wringe ihn aus, lasse ihn die vorgeschriebene Zeit stehen, seihe nochmals und behalte den klaren Auszug; gib zuletzt den Endzusatz bei.
44	H3-S001	H3	f11r	I_EXTRACT_PREPARATION	shey	MC119	Klarauszug	6/7	SHARED_DECK	NONCLOSE	Nimm von der blau bekrönten Bildpflanze das Kochgut. Setze daraus einen Sud an, wringe ihn aus, lasse ihn die vorgeschriebene Zeit stehen, seihe nochmals und behalte den klaren Auszug; gib zuletzt den Endzusatz bei.
45	H3-S001	H3	f11r	I_EXTRACT_PREPARATION	tchody	MC037	Endzugabe; Schluss	7/7	ATOMIC_LOCAL_NOMENCLATOR	TERMINAL	Nimm von der blau bekrönten Bildpflanze das Kochgut. Setze daraus einen Sud an, wringe ihn aus, lasse ihn die vorgeschriebene Zeit stehen, seihe nochmals und behalte den klaren Auszug; gib zuletzt den Endzusatz bei.
46	H3-S002	H3	f11r	II_SECOND_PORTION	shoyty	MC062	Zugabeteil	1/1	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE	Lege den weiteren Zugabeteil bereit.
47	H3-S003	H3	f11r	II_SECOND_PORTION	dchol	MC142	vom vorigen	1/5	SHARED_DECK	NONCLOSE	Nimm diesen Teil aus dem vorigen Ansatz, bearbeite ihn und bringe ihn auf das vorgeschriebene Maß.
48	H3-S003	H3	f11r	II_SECOND_PORTION	chy	MC123	dies	2/5	SHARED_DECK	NONCLOSE	Nimm diesen Teil aus dem vorigen Ansatz, bearbeite ihn und bringe ihn auf das vorgeschriebene Maß.
