burst_id	source_pair_id	statement_id	physical_page	owner_de	first_event_id	second_event_id	third_event_id	first_source_recipe	second_source_recipe	first_neighbor_id	second_neighbor_id	first_mutation_family	second_mutation_family	first_neutral_selection_class	second_neutral_selection_class	first_target_recipe	second_target_recipe	first_decision	first_blocked_factor_rules	first_stop_preserves_state	scope_action_before_first	scope_action_before_second	second_incoming_action	second_incoming_argument	second_decision	second_blocked_factor_rules	second_stop_preserves_state	burst_decision_class	third_source_recipe	third_incoming_action	third_incoming_argument	scope_action_before_third	third_next_recipe	third_recovery_decision	third_recovery_blocked_factor_rules	third_recovery_status	post_recovery_boundary_event_id	post_recovery_boundary_recipe	post_recovery_boundary_decision	post_recovery_boundary_blocked_factor_rules	post_recovery_boundary_status	identity_can_override	advisory_can_override	meaning_revision	surface_prediction	occurrence_prediction
G454-B0000002	G454-P0001	G404-S001	f1r	F1R_TEXT_BLOCK_A	G407-E0001	G407-E0002	G407-E0003	LOCAL_CHAR_F+A_ADDR+CH+Y+S	Y+K+AL	G447-N12845	G447-N28811	ADJACENT_SWAP	ATOM_DELETION	NEUTRAL_READABLE	NEUTRAL_READABLE	A_ADDR+LOCAL_CHAR_F+CH+Y+S	K+AL	READ	NONE	YES	NONE	S	S	Y	READ	NONE	YES	FIRST_READABLE__SECOND_READABLE	AR	K	Y	K	A_ADDR+T+AIIN	READ	NONE	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G454-B0000010	G454-P0002	G404-S001	f1r	F1R_TEXT_BLOCK_A	G407-E0002	G407-E0003	G407-E0004	Y+K+AL	AR	G447-N28809	G447-N00694	ADJACENT_SWAP	ATOM_DELETION	NEUTRAL_READABLE	NEUTRAL_STOP	K+Y+AL	EMPTY_RECIPE	READ	NONE	YES	S	K	K	Y	STOP	UNSEEN:EMPTY_RECIPE	YES	FIRST_READABLE__SECOND_STOP	A_ADDR+T+AIIN	K	Y	K	SH+OL	READ	NONE	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G454-B0000018	G454-P0003	G404-S001	f1r	F1R_TEXT_BLOCK_A	G407-E0003	G407-E0004	G407-E0005	AR	A_ADDR+T+AIIN	G447-N00694	G447-N01014	ATOM_DELETION	SAME_CLASS_SUBSTITUTION	NEUTRAL_STOP	NEUTRAL_READABLE	EMPTY_RECIPE	A_ADDR+CH+AIIN	STOP	UNSEEN:EMPTY_RECIPE	YES	K	K	K	Y	READ	NONE	YES	FIRST_STOP__SECOND_READABLE	SH+OL	CH	AIIN	CH	SH+OR+Y	READ	NONE	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G454-B0000026	G454-P0004	G404-S001	f1r	F1R_TEXT_BLOCK_A	G407-E0004	G407-E0005	G407-E0006	A_ADDR+T+AIIN	SH+OL	G447-N01011	G447-N26813	ATOM_DELETION	ATOM_DELETION	NEUTRAL_READABLE	NEUTRAL_READABLE	A_ADDR+AIIN	OL	READ	NONE	YES	K	K	K	AIIN	READ	NONE	YES	FIRST_READABLE__SECOND_READABLE	SH+OR+Y	K	AIIN	K	CH+T+R+E+S	READ	NONE	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G454-B0000034	G454-P0005	G404-S001	f1r	F1R_TEXT_BLOCK_A	G407-E0005	G407-E0006	G407-E0007	SH+OL	SH+OR+Y	G447-N26813	G447-N26925	ATOM_DELETION	ADJACENT_SWAP	NEUTRAL_READABLE	NEUTRAL_READABLE	OL	OR+SH+Y	READ	NONE	YES	T	T	T	AIIN	READ	NONE	YES	FIRST_READABLE__SECOND_READABLE	CH+T+R+E+S	SH	Y	SH	Y	READ	NONE	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G454-B0000042	G454-P0006	G404-S001	f1r	F1R_TEXT_BLOCK_A	G407-E0006	G407-E0007	G407-E0008	SH+OR+Y	CH+T+R+E+S	G447-N26925	G447-N07314	ADJACENT_SWAP	ATOM_DELETION	NEUTRAL_READABLE	NEUTRAL_READABLE	OR+SH+Y	CH+R+E+S	READ	NONE	YES	SH	SH	SH	Y	READ	NONE	YES	FIRST_READABLE__SECOND_READABLE	Y	S	Y	S	K+OR	READ	NONE	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G454-B0000050	G454-P0006	G404-S001	f1r	F1R_TEXT_BLOCK_A	G407-E0006	G407-E0007	G407-E0008	SH+OR+Y	CH+T+R+E+S	G447-N26927	G447-N07319	ATOM_DELETION	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	NEUTRAL_READABLE	OR+Y	CH+CH+R+E+S	READ	NONE	YES	SH	SH	SH	Y	READ	NONE	YES	FIRST_READABLE__SECOND_READABLE	Y	S	Y	S	K+OR	READ	NONE	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G454-B0000058	G454-P0007	G404-S001	f1r	F1R_TEXT_BLOCK_A	G407-E0007	G407-E0008	G407-E0009	CH+T+R+E+S	Y	G447-N07310	G447-N28192	ADJACENT_SWAP	ATOM_DELETION	NEUTRAL_READABLE	NEUTRAL_STOP	CH+R+T+E+S	EMPTY_RECIPE	READ_AMBER	NONE	YES	SH	S	S	Y	STOP	UNSEEN:EMPTY_RECIPE	YES	FIRST_READABLE__SECOND_STOP	K+OR	S	Y	S	SH+OL+D_ADDR+Y	READ	NONE	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G454-B0000066	G454-P0007	G404-S001	f1r	F1R_TEXT_BLOCK_A	G407-E0007	G407-E0008	G407-E0009	CH+T+R+E+S	Y	G447-N07319	G447-N28192	SAME_CLASS_SUBSTITUTION	ATOM_DELETION	NEUTRAL_READABLE	NEUTRAL_STOP	CH+CH+R+E+S	EMPTY_RECIPE	READ	NONE	YES	SH	S	S	Y	STOP	UNSEEN:EMPTY_RECIPE	YES	FIRST_READABLE__SECOND_STOP	K+OR	S	Y	S	SH+OL+D_ADDR+Y	READ	NONE	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G454-B0000074	G454-P0008	G404-S001	f1r	F1R_TEXT_BLOCK_A	G407-E0008	G407-E0009	G407-E0010	Y	K+OR	G447-N28193	G447-N10981	SAME_CLASS_SUBSTITUTION	ATOM_DELETION	NEUTRAL_READABLE	NEUTRAL_READABLE	AIIN	K	READ	NONE	YES	S	S	S	AIIN	READ	NONE	YES	FIRST_READABLE__SECOND_READABLE	SH+OL+D_ADDR+Y	K	AIIN	K	S+OR+Y	READ	NONE	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
