burst_id	source_pair_id	statement_id	physical_page	owner_de	first_event_id	second_event_id	third_event_id	first_source_recipe	second_source_recipe	first_neighbor_id	second_neighbor_id	first_mutation_family	second_mutation_family	first_neutral_selection_class	second_neutral_selection_class	first_target_recipe	second_target_recipe	first_decision	first_blocked_factor_rules	first_stop_preserves_state	scope_action_before_first	scope_action_before_second	second_incoming_action	second_incoming_argument	second_decision	second_blocked_factor_rules	second_stop_preserves_state	burst_decision_class	third_source_recipe	third_incoming_action	third_incoming_argument	scope_action_before_third	third_next_recipe	third_recovery_decision	third_recovery_blocked_factor_rules	third_recovery_status	post_recovery_boundary_event_id	post_recovery_boundary_recipe	post_recovery_boundary_decision	post_recovery_boundary_blocked_factor_rules	post_recovery_boundary_status	identity_can_override	advisory_can_override	meaning_revision	surface_prediction	occurrence_prediction
G454-B0000008	G454-P0001	G404-S001	f1r	F1R_TEXT_BLOCK_A	G407-E0001	G407-E0002	G407-E0003	LOCAL_CHAR_F+A_ADDR+CH+Y+S	Y+K+AL	G447-N12854	G447-N28811	SAME_CLASS_SUBSTITUTION	ATOM_DELETION	NEUTRAL_READABLE	NEUTRAL_READABLE	LOCAL_CHAR_F+A_ADDR+CH+AIIN+S	K+AL	READ	NONE	YES	NONE	S	S	AIIN	READ	NONE	YES	FIRST_READABLE__SECOND_READABLE	AR	K	AIIN	K	A_ADDR+T+AIIN	READ	NONE	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G454-B0000016	G454-P0003	G404-S001	f1r	F1R_TEXT_BLOCK_A	G407-E0003	G407-E0004	G407-E0005	AR	A_ADDR+T+AIIN	G447-N00694	G447-N01009	ATOM_DELETION	ADJACENT_SWAP	NEUTRAL_STOP	NEUTRAL_READABLE	EMPTY_RECIPE	A_ADDR+AIIN+T	STOP	UNSEEN:EMPTY_RECIPE	YES	K	K	K	Y	READ	NONE	YES	FIRST_STOP__SECOND_READABLE	SH+OL	T	AIIN	T	SH+OR+Y	READ	NONE	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G454-B0000024	G454-P0004	G404-S001	f1r	F1R_TEXT_BLOCK_A	G407-E0004	G407-E0005	G407-E0006	A_ADDR+T+AIIN	SH+OL	G447-N01009	G447-N26815	ADJACENT_SWAP	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	NEUTRAL_READABLE	A_ADDR+AIIN+T	CH+OL	READ	NONE	YES	K	T	T	AIIN	READ	NONE	YES	FIRST_READABLE__SECOND_READABLE	SH+OR+Y	CH	AIIN	CH	CH+T+R+E+S	READ	NONE	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G454-B0000032	G454-P0005	G404-S001	f1r	F1R_TEXT_BLOCK_A	G407-E0005	G407-E0006	G407-E0007	SH+OL	SH+OR+Y	G447-N26812	G447-N26927	ADJACENT_SWAP	ATOM_DELETION	NEUTRAL_READABLE	NEUTRAL_READABLE	OL+SH	OR+Y	READ	NONE	YES	T	SH	SH	AIIN	READ	NONE	YES	FIRST_READABLE__SECOND_READABLE	CH+T+R+E+S	SH	Y	SH	Y	READ	NONE	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G454-B0000040	G454-P0006	G404-S001	f1r	F1R_TEXT_BLOCK_A	G407-E0006	G407-E0007	G407-E0008	SH+OR+Y	CH+T+R+E+S	G447-N26925	G447-N07310	ADJACENT_SWAP	ADJACENT_SWAP	NEUTRAL_READABLE	NEUTRAL_READABLE	OR+SH+Y	CH+R+T+E+S	READ	NONE	YES	SH	SH	SH	Y	READ_AMBER	NONE	YES	FIRST_READABLE__SECOND_READABLE	Y	S	Y	S	K+OR	READ	NONE	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G454-B0000048	G454-P0006	G404-S001	f1r	F1R_TEXT_BLOCK_A	G407-E0006	G407-E0007	G407-E0008	SH+OR+Y	CH+T+R+E+S	G447-N26927	G447-N07314	ATOM_DELETION	ATOM_DELETION	NEUTRAL_READABLE	NEUTRAL_READABLE	OR+Y	CH+R+E+S	READ	NONE	YES	SH	SH	SH	Y	READ	NONE	YES	FIRST_READABLE__SECOND_READABLE	Y	S	Y	S	K+OR	READ	NONE	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G454-B0000056	G454-P0006	G404-S001	f1r	F1R_TEXT_BLOCK_A	G407-E0006	G407-E0007	G407-E0008	SH+OR+Y	CH+T+R+E+S	G447-N26930	G447-N07319	SAME_CLASS_SUBSTITUTION	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	NEUTRAL_READABLE	CH+OR+Y	CH+CH+R+E+S	READ	NONE	YES	SH	CH	CH	Y	READ	NONE	YES	FIRST_READABLE__SECOND_READABLE	Y	S	Y	S	K+OR	READ	NONE	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G454-B0000064	G454-P0007	G404-S001	f1r	F1R_TEXT_BLOCK_A	G407-E0007	G407-E0008	G407-E0009	CH+T+R+E+S	Y	G447-N07317	G447-N28192	ATOM_DELETION	ATOM_DELETION	NEUTRAL_STOP	NEUTRAL_STOP	CH+T+R+S	EMPTY_RECIPE	STOP	PAIR:R>S	YES	SH	SH	SH	Y	STOP	UNSEEN:EMPTY_RECIPE	YES	FIRST_STOP__SECOND_STOP	K+OR	SH	Y	SH	SH+OL+D_ADDR+Y	READ	NONE	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G454-B0000072	G454-P0008	G404-S001	f1r	F1R_TEXT_BLOCK_A	G407-E0008	G407-E0009	G407-E0010	Y	K+OR	G447-N28192	G447-N10983	ATOM_DELETION	SAME_CLASS_SUBSTITUTION	NEUTRAL_STOP	NEUTRAL_READABLE	EMPTY_RECIPE	CH+OR	STOP	UNSEEN:EMPTY_RECIPE	YES	S	S	S	Y	READ	NONE	YES	FIRST_STOP__SECOND_READABLE	SH+OL+D_ADDR+Y	CH	OR	CH	S+OR+Y	READ	NONE	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
G454-B0000080	G454-P0009	G404-S001	f1r	F1R_TEXT_BLOCK_A	G407-E0009	G407-E0010	G407-E0011	K+OR	SH+OL+D_ADDR+Y	G447-N10981	G447-N26827	ATOM_DELETION	ATOM_DELETION	NEUTRAL_READABLE	NEUTRAL_READABLE	K	OL+D_ADDR+Y	READ	NONE	YES	S	K	K	Y	READ	NONE	YES	FIRST_READABLE__SECOND_READABLE	S+OR+Y	K	Y	K	CH+K+AR	READ	NONE	RECOVERED_GREEN	NONE	NONE	NOT_APPLICABLE	NONE	NOT_APPLICABLE	NO	NO	NO	NO	NO
