selection_id	source_recipe	mutation_family	neutral_selection_class	neighbor_id	target_recipe	target_is_exact_catalog_key	neutral_execution_decision	neutral_blocked_factor_rules	selection_rule
G454-V00001	AIIN	ATOM_DELETION	NEUTRAL_STOP	G447-N00001	EMPTY_RECIPE	NO	STOP	EMPTY_RECIPE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00002	AIIN	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00002	AIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00003	AIIN+AIIN	ATOM_DELETION	NEUTRAL_READABLE	G447-N00005	AIIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00004	AIIN+AIIN	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00006	AIIN+AIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00005	AIIN+AIN	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00012	AIN+AIIN	NO	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00006	AIIN+AIN	ATOM_DELETION	NEUTRAL_READABLE	G447-N00013	AIIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00007	AIIN+AIN	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00015	AIIN+AIIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00008	AIIN+AL	ADJACENT_SWAP	NEUTRAL_READABLE	G447-N00021	AL+AIIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00009	AIIN+AL	ATOM_DELETION	NEUTRAL_READABLE	G447-N00022	AIIN	YES	READ	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
G454-V00010	AIIN+AL	SAME_CLASS_SUBSTITUTION	NEUTRAL_READABLE	G447-N00024	AIIN+AIR	NO	READ_AMBER	NONE	LEXICOGRAPHIC_FIRST_WITHIN_SOURCE_MUTATION_FAMILY_AND_NEUTRAL_CLASS
