burst_decision_class	third_recovery_status	burst_count	source_pair_count	page_count	first_target_count	second_target_count
FIRST_READABLE__SECOND_READABLE	NO_THIRD_CARD	4872	506	24	555	406
FIRST_READABLE__SECOND_READABLE	RECOVERED_AMBER	42	6	6	16	15
FIRST_READABLE__SECOND_READABLE	RECOVERED_GREEN	20837	3221	24	2195	2112
FIRST_READABLE__SECOND_READABLE	RECOVERY_STOP	3	1	1	3	1
FIRST_READABLE__SECOND_STOP	NO_THIRD_CARD	256	66	18	115	50
FIRST_READABLE__SECOND_STOP	RECOVERED_AMBER	4	2	1	4	2
FIRST_READABLE__SECOND_STOP	RECOVERED_GREEN	3459	1263	24	1131	295
FIRST_STOP__SECOND_READABLE	NO_THIRD_CARD	783	177	21	74	214
FIRST_STOP__SECOND_READABLE	RECOVERED_AMBER	3	1	1	1	3
FIRST_STOP__SECOND_READABLE	RECOVERED_GREEN	3309	1223	24	294	1078
FIRST_STOP__SECOND_STOP	NO_THIRD_CARD	51	28	14	15	28
FIRST_STOP__SECOND_STOP	RECOVERED_AMBER	1	1	1	1	1
FIRST_STOP__SECOND_STOP	RECOVERED_GREEN	585	507	24	129	127
