position	master_event_id	docket_id	owner	line_no	line_column	expected_recipe	expected_card	baseline_surface	supplied_surface	decoded_card	decoded_recipe	same_exact_card	intended_case	corrector_verdict	corrected_surface	corrected_card	corrected_exact_match
1	MP001	FD01	PLANT	1	1	OK+Y	PROC011	okchy	okchy	PROC011	OK+Y	YES	UNCHANGED	UNCHANGED_OK	okchy	PROC011	YES
2	MP002	FD01	PLANT	1	2	AIIN	PROC009	aiin	aiin	PROC009	AIIN	YES	UNCHANGED	UNCHANGED_OK	aiin	PROC009	YES
3	MP003	FD02	PLANT	1	3	HO	PROC052	cho	cho	PROC052	HO	YES	UNCHANGED	UNCHANGED_OK	cho	PROC052	YES
4	MP004	FD02	PLANT	1	4	OK+Y	PROC011	okchy	okchy	PROC011	OK+Y	YES	UNCHANGED	UNCHANGED_OK	okchy	PROC011	YES
5	MP005	FD02	PLANT	2	1	K+HO+AR	PROC063	kchoar	kchoar	PROC063	K+HO+AR	YES	UNCHANGED	UNCHANGED_OK	kchoar	PROC063	YES
6	MP006	FD05	PLANT	2	2	AIIN	PROC009	aiin	aiin	PROC009	AIIN	YES	UNCHANGED	UNCHANGED_OK	aiin	PROC009	YES
7	MP007	FD05	PLANT	2	3	CHD+Y	PROC042	chdy	chdy	PROC042	CHD+Y	YES	UNCHANGED	UNCHANGED_OK	chdy	PROC042	YES
8	MP008	FD05	PLANT	2	4	TALAM	PROC043	talam	talam	PROC043	TALAM	YES	UNCHANGED	UNCHANGED_OK	talam	PROC043	YES
9	MP009	FD08	PLANT	2	5	AIIN	PROC009	aiin	aiin	PROC009	AIIN	YES	UNCHANGED	UNCHANGED_OK	aiin	PROC009	YES
10	MP010	FD08	PLANT	2	6	CHD+DY	PROC094	dchdy	dchdy	PROC094	CHD+DY	YES	UNCHANGED	UNCHANGED_OK	dchdy	PROC094	YES
11	MP011	FD08	PLANT	3	1	OR	PROC016	or	or	PROC016	OR	YES	UNCHANGED	UNCHANGED_OK	or	PROC016	YES
12	MP012	FD03	BASIN	3	2	AIIN	PROC009	aiin	chaiin	PROC009	AIIN	YES	HARMLESS_ALLOGRAPH	KEEP_AS_LICENSED_ALLOGRAPH	chaiin	PROC009	YES
13	MP013	FD03	BASIN	3	3	OK+Y	PROC008	oky	oky	PROC008	OK+Y	YES	UNCHANGED	UNCHANGED_OK	oky	PROC008	YES
14	MP014	FD03	BASIN	3	4	AL	PROC055	cheal	cheal	PROC055	AL	YES	UNCHANGED	UNCHANGED_OK	cheal	PROC055	YES
15	MP015	FD04	BASIN	3	5	CHD+DY	PROC076	dchedy	dchedy	PROC076	CHD+DY	YES	UNCHANGED	UNCHANGED_OK	dchedy	PROC076	YES
16	MP016	FD04	BASIN	4	1	CHD+Y	PROC133	chedchy	chedchy	PROC133	CHD+Y	YES	UNCHANGED	UNCHANGED_OK	chedchy	PROC133	YES
17	MP017	FD04	BASIN	4	2	OK+AL	PROC048	qokal	qokar	PROC113	OK+AR	NO	DANGEROUS_OTHER_CARD	REJECT_AND_RESTORE_EXPECTED_CARD	qokal	PROC048	YES
18	MP018	FD06	BASIN	4	3	CHD+DY	PROC076	dchedy	dchedy	PROC076	CHD+DY	YES	UNCHANGED	UNCHANGED_OK	dchedy	PROC076	YES
19	MP019	FD09	BASIN	4	4	T+E+Y	PROC090	ytey	ytey	PROC090	T+E+Y	YES	UNCHANGED	UNCHANGED_OK	ytey	PROC090	YES
20	MP020	FD09	BASIN	4	5	OK+CHD+DY	PROC091	qokchedy	okchedy	PROC091	OK+CHD+DY	YES	HARMLESS_ALLOGRAPH	KEEP_AS_LICENSED_ALLOGRAPH	okchedy	PROC091	YES
21	MP021	FD10	BASIN	4	6	OK+CHD+DY	PROC082	qokchdy	qokchdy	PROC082	OK+CHD+DY	YES	UNCHANGED	UNCHANGED_OK	qokchdy	PROC082	YES
22	MP022	FD12	BASIN	4	7	CHD+DY	PROC076	dchedy	dchedy	PROC076	CHD+DY	YES	UNCHANGED	UNCHANGED_OK	dchedy	PROC076	YES
23	MP023	FD12	BASIN	5	1	CHD+Y	PROC042	chedy	cheedy	PROC078	SHED+DY	NO	DANGEROUS_OTHER_CARD	REJECT_AND_RESTORE_EXPECTED_CARD	chedy	PROC042	YES
24	MP024	FD12	BASIN	5	2	AIIN	PROC009	chaiin	chaiin	PROC009	AIIN	YES	UNCHANGED	UNCHANGED_OK	chaiin	PROC009	YES
25	MP025	FD07	APPARATUS	5	3	CKH+Y	PROC075	chckhy	chckhy	PROC075	CKH+Y	YES	UNCHANGED	UNCHANGED_OK	chckhy	PROC075	YES
26	MP026	FD07	APPARATUS	5	4	CHD+DY	PROC076	dchedy	dchedy	PROC076	CHD+DY	YES	UNCHANGED	UNCHANGED_OK	dchedy	PROC076	YES
27	MP027	FD11	APPARATUS	5	5	OK+CHD+DY	PROC082	qokchdy	qokchdy	PROC082	OK+CHD+DY	YES	UNCHANGED	UNCHANGED_OK	qokchdy	PROC082	YES
