joint_tuple_id	surfaces	events	event_ids	latest_source_deck	fixed_value_de
0275fbf14e07935b0a45	qokeey	1	E293	B2	länger ansetzen
04a3877f0fc81b7597c9	ldy	1	E308	B2	abführen; Schluss
07913ef9b1fb773cd325	qokchedy	1	E264	B1	Ansatz umsetzen; Schluss
1645e612504fcef59ced	qokain	1	E288	B2	eine Portion zugeben
259b2b3b0bf859882e2c	schedy|tchedy	2	E239|E283	B2	überführen; Schluss
276a7c2d74d1143446f4	qoky	3	E247|E251|E298	B2	verwende dies
28ffbc88b97772a75f1e	olchedy	1	E242	B2	weiterführen; Schluss
2c82523794dcb7d2b343	soiiin	1	E309	B1	Sollstand
2f1c5e56e8f0ff459065	daiin|saiin	3	E233|E274|E299	B2	Mass
308e8ea2d5d190c498e8	qokal	1	E241	B2	an die Stelle setzen
3b70942557b3a40e8030	olkeedy|solkeedy	2	E229|E291	B1	länger auffangen; Schluss
4d4559019a961b834aa1	dar	1	E238	B2	dasselbe
54d0e228ca346110af05	otaiin	2	E306|E312	B2	nächstes Maß
6b89d6dd70635bc60fe0	shcthey	1	E258	B2	dies kurz bereithalten
6f7ff8287eddf4da9fdb	chedy	4	E244|E252|E287|E304	B1	dies umsetzen
7d25241b0e56c836372a	qokeedy	3	E245|E265|E302	B2	länger ansetzen; Schluss
7db18b2f0fb7ed0fcfd3	qokedy	3	E259|E294|E297	B1	kurz ansetzen; Schluss
87411f84689b4f93a303	qokchdy	1	E284	B1	Ansatz umsetzen; Schluss
9da1b6ac2c929daea697	chkain	1	E257	B1	eine Portion
b5fcea1eaed06b2f2291	qokaiin	4	E236|E243|E256|E270	B2	bemessen
b921a237be883a820352	chey|sy	4	E232|E234|E273|E277	B2	dies
bc4f1f5c006c74a4d26d	shedy	3	E255|E266|E314	B2	kurz absetzen; Schluss
dcda95c81a5460feb191	sol	1	E295	B1	fortsetzen
dd0ecaf5e27d81befffc	dal|tal	3	E268|E272|E278	B2	Stelle
de7321bface5628e35d6	lchedy	5	E235|E246|E262|E269|E282	B2	hinausführen; Schluss
ff178343c18e287ce3b7	qoteedy	1	E292	B2	nächsten Schritt länger halten; Schluss
