rank	surface	full_panel_positions	newly_exposed_lines	first_locus	status
1	otair	22	1	f58v.37	NEXT_V46_ONE_HOLE_FRONTIER
2	ytey	10	1	f10v.3	NEXT_V46_ONE_HOLE_FRONTIER
3	cphy	9	1	f47r.11	NEXT_V46_ONE_HOLE_FRONTIER
4	chekain	7	1	f76r.8	NEXT_V46_ONE_HOLE_FRONTIER
5	chedol	5	1	f82r.6	NEXT_V46_ONE_HOLE_FRONTIER
6	shkaiin	5	1	f3v.13	NEXT_V46_ONE_HOLE_FRONTIER
7	kchaiin	4	1	f29r.3	NEXT_V46_ONE_HOLE_FRONTIER
8	qoiiin	4	1	f111v.50	NEXT_V46_ONE_HOLE_FRONTIER
9	otodar	3	1	f86v3.26	NEXT_V46_ONE_HOLE_FRONTIER
10	ka	2	1	f32v.3	NEXT_V46_ONE_HOLE_FRONTIER
11	otarain	2	1	f76r.46	NEXT_V46_ONE_HOLE_FRONTIER
12	shkain	2	1	f80v.43	NEXT_V46_ONE_HOLE_FRONTIER
13	alsy	1	1	f88r.28	NEXT_V46_ONE_HOLE_FRONTIER
14	chearory	1	1	f89v1.7	NEXT_V46_ONE_HOLE_FRONTIER
15	choeky	1	1	f42r.12	NEXT_V46_ONE_HOLE_FRONTIER
16	dcheodaiin	1	1	f51r.2	NEXT_V46_ONE_HOLE_FRONTIER
17	lsheedain	1	1	f108v.41	NEXT_V46_ONE_HOLE_FRONTIER
18	ockhoees	1	1	f24r.15	NEXT_V46_ONE_HOLE_FRONTIER
19	oeor	1	1	f24v.5	NEXT_V46_ONE_HOLE_FRONTIER
20	ofalsheky	1	1	f81v.1	NEXT_V46_ONE_HOLE_FRONTIER
21	olaiiny	1	1	f77r.21	NEXT_V46_ONE_HOLE_FRONTIER
22	oschotshl	1	1	f28r.8	NEXT_V46_ONE_HOLE_FRONTIER
23	qetal	1	1	f83r.19	NEXT_V46_ONE_HOLE_FRONTIER
24	qokokchy	1	1	f56r.12	NEXT_V46_ONE_HOLE_FRONTIER
25	rtain	1	1	f83r.55	NEXT_V46_ONE_HOLE_FRONTIER
26	secheeol	1	1	f96r.8	NEXT_V46_ONE_HOLE_FRONTIER
27	tshaiin	1	1	f21r.9	NEXT_V46_ONE_HOLE_FRONTIER
28	ycthar	1	1	f24r.3	NEXT_V46_ONE_HOLE_FRONTIER
