rank	locus	zl3b_line	manual_workshop_translation_de	notes	automatic_v46_translation_de	v46_unknown_tokens	comparison_scope
1	f105v.13	saiin opchedy qokchdy otar al kair okees lkchdal	Saatgutcharge III; vollständig getrocknetes Pulverpräparat; heiß angetrocknet und abgeschlossen; kalte Drogenfraktion I im Ansatz; Rohdroge I; heiße Drogenfraktion II; Charge vollständig erhitzten Ansatzes. Erhitze die Holzdroge vollständig und miss Rohdroge I ab.	lkchdal ist die finale gelernte Ganzkarte; Erhitzen und Abmessen bleiben beide sichtbar.	Samen/Saatgut, Typ/Charge III; vollständig getrocknetes Pulverpräparat; heiß und angetrocknet; kalte Drogenfraktion I im Ansatz; Rohstoff I; heiße Drogenfraktion II; Charge vollständig erhitzten Ansatzes; Holzdroge vollständig erhitzen und Rohdroge I abmessen	0	manual workshop prose versus deterministic V46 renderer; neither is confirmed plaintext
2	f51r.7	ychos ar eeckhy kcho qokchy qotal	Trockne hiervon eine Ansatzcharge; Drogenfraktion I; Arzneikompositum trocken in Grundform; Zubereitung heiß und trocken; heiß und angetrocknet; Rohdroge I kalt am Gradanfang.	eeckhy bleibt nominal; qokchy ist ein Zustand und kein zusätzlich erfundener Befehl.	trockne hiervon eine Ansatzcharge; Drogenfraktion I; Arzneikompositum trocken in Grundform; Zubereitung: heiß und trocken; heiß und angetrocknet; Rohstoff I, kalt am Gradanfang	0	manual workshop prose versus deterministic V46 renderer; neither is confirmed plaintext
3	f16v.11	okytaiin chkchy saiin	Bringe den erhitzten Ansatz in Grundform auf Kältestufe III; trockne, erhitze, trockne erneut und schließe ab; Saatgutcharge III.	Der vollständige OKY-Block bewahrt Erhitzen, Grundform und anschließende Kühlung.	erhitzten Ansatz in Grundform auf Kältestufe III bringen; trocknen, erhitzen, erneut trocknen und abschließen; Samen/Saatgut, Typ/Charge III	0	manual workshop prose versus deterministic V46 renderer; neither is confirmed plaintext
4	f17v.10	oytor okeor okar okol daiir ar	Kühle eine Portion Ansatz in Grundform ab; erhitze eine Portion Ansatz bis zur Mittelstufe; heiße Drogenfraktion I im Ansatz; heißer Ansatzstoff; abgemessene Fraktion III; Drogenfraktion I.	OY ist der erste Kühlbefehl; keine zusätzliche Entnahme oder Zugabe.	eine Portion Ansatz in Grundform abkühlen; eine Portion Ansatz bis zur Mittelstufe erhitzen; heiße Drogenfraktion I im Ansatz; heißer Ansatzstoff; abgemessene Fraktion III; Drogenfraktion I	0	manual workshop prose versus deterministic V46 renderer; neither is confirmed plaintext
5	f50r.6	ykain shear ol kchedy okal qotor cheeor olkeedy daiin qoky	Erhitze hiervon auf Stufe II; weiche die erste Fraktion bis zur Mittelstufe ein. Grundansatz; heiß und bis zur mittleren Trockenstufe gebracht; Rohdroge I leicht erhitzt im Ansatz; kalte Drogenportion; eine Portion vollständig getrockneter Droge; Holzdrogenansatz vollständig erhitzt und abgeschlossen; drei Maße; leicht erhitzter Ansatz.	shear ist ein gerichteter Einweichprozess an Fraktion I, nicht Feuchtgut als Stoffname.	erhitze hiervon auf Stufe II; erste Fraktion bis zur Mittelstufe einweichen; Grundansatz; heiß und bis zur mittleren Trockenstufe gebracht; Rohstoff I, leicht erhitzt im Ansatz; kalte Drogenportion; eine Portion vollständig getrocknete Droge; Holzdrogenansatz vollständig erhitzt und abgeschlossen; drei Maße; leicht erhitzt	0	manual workshop prose versus deterministic V46 renderer; neither is confirmed plaintext
6	f77r.41	daiin sh qolchey qotedy qotal r ain chl s arol	Weiche die drei Maße ein. Gib den bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab; bis zur mittleren Kühlstufe gebracht; Rohdroge I kalt am Gradanfang; Wurzel; zwei Teile. Trockne Folgendes: Saatgutposten; Grundauszug, Fraktion I.	Das nackte sh übernimmt das Objekt aus den unmittelbar vorstehenden drei Maßen; kein Trägerstoff ergänzt.	drei Maße; einweichen; gib bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab; bis zur mittleren Kühlstufe gebracht; Rohstoff I, kalt am Gradanfang; Wurzel; zwei Teile; trockne Folgendes: Samen-/Saatgutposten; Grundauszug, Fraktion I	0	manual workshop prose versus deterministic V46 renderer; neither is confirmed plaintext
7	f82r.32	taiin shedaiin chckhey lchey lcheckhy sheey lr chey rain	Kalt auf Stufe III; drei Dosen bis zur Mittelstufe eingeweichter Droge; Arzneikompositum trocken auf Mittelstufe; Drogenholz trocken gebunden in Form I. Trockne die Holzdroge bis zur Mittelstufe, bereite sie als Kompositum und schließe ab; vollständig eingeweicht; Wurzelholz; bis zur mittleren Trockenstufe gebracht; Wurzeldroge in Charge II.	shedaiin bleibt eine gemessene Drogenangabe mit Einweichzustand; keine weitere Flüssigkeit.	kalt, Grad III; drei Dosen bis zur Mittelstufe eingeweichter Droge; Arzneikompositum: trocken, Gradmitte; Drogenholz, trocken gebunden, Form I; Holzdroge bis zur Mittelstufe trocknen, als Kompositum bereiten und abschließen; vollständig eingeweicht; Wurzelholz; bis zur mittleren Trockenstufe; Wurzeldroge in Charge II	0	manual workshop prose versus deterministic V46 renderer; neither is confirmed plaintext
8	f116r.34	qokain ar raiin shek okain y r shey qolchey okaiin shckhy qokam	Heiß auf Stufe II; Drogenfraktion I; Wurzelcharge III. Weiche bis zur Mittelstufe ein und erhitze; heißer Ansatz auf Stufe II; hierzu Wurzel; bis zur mittleren Einweichstufe. Gib den bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab; Ansatz auf Heizstufe III; Arzneikompositum feucht am Gradanfang. Nimm ein Maß und erhitze es.	shek erhält die sichtbare Reihenfolge Einweichen vor Erhitzen.	heiß, Grad II; Drogenfraktion I; Wurzel, Typ/Charge III; bis zur Mittelstufe einweichen und erhitzen; heiß im Zubereitungsrahmen, Grad II; Wurzel; bis zur mittleren Einweichstufe; gib bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab; Ansatz auf Heizstufe III; Arzneikompositum: feucht, Gradanfang; nimm ein Maß und erhitze es	0	manual workshop prose versus deterministic V46 renderer; neither is confirmed plaintext
9	f112v.35	pched shedain qokaiin okees chedy checkhy	Trockne das Pulver bis zur Mittelstufe und schließe ab; zwei Dosen bis zur Mittelstufe eingeweichter Droge; heiß auf Stufe III; Charge vollständig erhitzten Ansatzes; bis zur mittleren Trockenstufe gebracht und abgeschlossen; trockenes Arzneikompositum am Gradanfang.	pched ist die ausführbare Anfangsanweisung; kein Pulvermaß erfunden.	Pulver bis zur Mittelstufe trocknen und abschließen; zwei Dosen bis zur Mittelstufe eingeweichter Droge; heiß, Grad III; Charge vollständig erhitzten Ansatzes; bis zur mittleren Trockenstufe gebracht; trockenes Arzneikompositum am Gradanfang	0	manual workshop prose versus deterministic V46 renderer; neither is confirmed plaintext
10	f113r.36	dcheey sheody shedain	Trockne eine Dosis vollständig und schließe ab; angefeuchteter Ansatz, abgeschlossen; zwei Dosen bis zur Mittelstufe eingeweichter Droge.	Alle drei Karten bleiben getrennt; dcheey enthält genau eine Dosis.	eine Dosis vollständig trocknen und abschließen; angefeuchteter Ansatz, abgeschlossen; zwei Dosen bis zur Mittelstufe eingeweichter Droge	0	manual workshop prose versus deterministic V46 renderer; neither is confirmed plaintext
