rank	page	locus	surface	working_default_de	practical_render_de	card_type	composition	strongest_rival_de	strength	reader_merge_surface	zl3b_line	v45_translation_de	v46_translation_de	status
1	f105v	f105v.13	lkchdal	Holzdroge vollständig erhitzen und Rohdroge I abmessen	Holzdroge vollständig erhitzen und Rohdroge I abmessen	LEARNED_WHOLE	LEARNED_LKCHDAL_WHOLE	Holzdroge erhitzen, trocknen und Rohdroge I abmessen	LOW_EXPLORATORY	NONE	saiin opchedy qokchdy otar al kair okees lkchdal	Samen/Saatgut, Typ/Charge III; vollständig getrocknetes Pulverpräparat; heiß und angetrocknet; kalte Drogenfraktion I im Ansatz; Rohstoff I; heiße Drogenfraktion II; Charge vollständig erhitzten Ansatzes; [lkchdal:?]	Samen/Saatgut, Typ/Charge III; vollständig getrocknetes Pulverpräparat; heiß und angetrocknet; kalte Drogenfraktion I im Ansatz; Rohstoff I; heiße Drogenfraktion II; Charge vollständig erhitzten Ansatzes; Holzdroge vollständig erhitzen und Rohdroge I abmessen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
2	f108v	f108v.47	okeedal	Ansatz vollständig erhitzen und Rohdroge I abmessen	Ansatz vollständig erhitzen und Rohdroge I abmessen	PRODUCTIVE_COMPOUND	O_PREP+K_HOT+EE_END+D_MEASURE+AL_RAW_I	abgemessener Rohstoff-I-Ansatz der Heizendstufe	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	ycheey qokeeey shedain qokeedy qokeey okeedal okeol lkeey lchedy lchedy	trockne hiervon bis zur Endstufe; erhitze bis Endstufe III; zwei Dosen bis zur Mittelstufe eingeweichter Droge; bis zur Heizendstufe gebracht; bis zur Heizendstufe; [okeedal:?]; Grundansatz bis zur mittleren Heizstufe erwärmt; Drogenholz, heiß am Gradende; getrocknetes Drogenholz; getrocknetes Drogenholz	trockne hiervon bis zur Endstufe; erhitze bis Endstufe III; zwei Dosen bis zur Mittelstufe eingeweichter Droge; bis zur Heizendstufe gebracht; bis zur Heizendstufe; Ansatz vollständig erhitzen und Rohdroge I abmessen; Grundansatz bis zur mittleren Heizstufe erwärmt; Drogenholz, heiß am Gradende; getrocknetes Drogenholz; getrocknetes Drogenholz	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
3	f112v	f112v.35	pched	Pulver bis zur Mittelstufe trocknen und abschließen	Pulver bis zur Mittelstufe trocknen und abschließen	PRODUCTIVE_COMPOUND	P_POWDER+CH_DRY+E_MIDDLE+D_TERM_CLOSE	mäßig getrocknetes Pulver abziehen	LOW_EXPLORATORY	NONE	pched shedain qokaiin okees chedy checkhy	[pched:?]; zwei Dosen bis zur Mittelstufe eingeweichter Droge; heiß, Grad III; Charge vollständig erhitzten Ansatzes; bis zur mittleren Trockenstufe gebracht; trockenes Arzneikompositum am Gradanfang	Pulver bis zur Mittelstufe trocknen und abschließen; zwei Dosen bis zur Mittelstufe eingeweichter Droge; heiß, Grad III; Charge vollständig erhitzten Ansatzes; bis zur mittleren Trockenstufe gebracht; trockenes Arzneikompositum am Gradanfang	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
4	f113r	f113r.36	dcheey	eine Dosis vollständig trocknen und abschließen	eine Dosis vollständig trocknen und abschließen	PRODUCTIVE_COMPOUND	D_MEASURE+CH_DRY+EE_END+Y_START_OR_CLOSE	vollständig getrocknete Dosis	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	dcheey sheody shedain	[dcheey:?]; angefeuchteter Ansatz, abgeschlossen; zwei Dosen bis zur Mittelstufe eingeweichter Droge	eine Dosis vollständig trocknen und abschließen; angefeuchteter Ansatz, abgeschlossen; zwei Dosen bis zur Mittelstufe eingeweichter Droge	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
5	f115r	f115r.5	ro	Wurzelansatz	Wurzelansatz	CONTEXT_SCOPED_SHORT_FORM	R_ROOT+O_PREP	Wurzeldroge ansetzen	CONTEXT_READER_MERGE__FREE_DEFAULT_EXPLORATORY	NONE	ycheedy chedar olkees sheed qodain qoteedy qokedy qokeed lchedar qotchedy ro	trockne hiervon vollständig und stelle es fertig; abgemessene Trockenfraktion I, Mittelstufe; Charge vollständig erhitzten Drogenstoffs; Einweichung vollständig abgeschlossen; Stufe II; bis zur Kühlendstufe gebracht; bis zur mittleren Heizstufe gebracht; erhitze bis zur Endstufe und schließe ab; getrocknete Holzfraktion I; kalt und bis zur mittleren Trockenstufe gebracht; [ro:?]	trockne hiervon vollständig und stelle es fertig; abgemessene Trockenfraktion I, Mittelstufe; Charge vollständig erhitzten Drogenstoffs; Einweichung vollständig abgeschlossen; Stufe II; bis zur Kühlendstufe gebracht; bis zur mittleren Heizstufe gebracht; erhitze bis zur Endstufe und schließe ab; getrocknete Holzfraktion I; kalt und bis zur mittleren Trockenstufe gebracht; Wurzelansatz	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
6	f116r	f116r.34	shek	bis zur Mittelstufe einweichen und erhitzen	bis zur Mittelstufe einweichen und erhitzen	PRODUCTIVE_COMPOUND	SH_MOIST+E_MIDDLE+K_HOT	mäßig eingeweichte heiße Droge	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	qokain ar raiin shek okain y r shey qolchey okaiin shckhy qokam	heiß, Grad II; Drogenfraktion I; Wurzel, Typ/Charge III; [shek:?]; heiß im Zubereitungsrahmen, Grad II; Wurzel; bis zur mittleren Einweichstufe; gib bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab; Ansatz auf Heizstufe III; Arzneikompositum: feucht, Gradanfang; nimm ein Maß und erhitze es	heiß, Grad II; Drogenfraktion I; Wurzel, Typ/Charge III; bis zur Mittelstufe einweichen und erhitzen; heiß im Zubereitungsrahmen, Grad II; Wurzel; bis zur mittleren Einweichstufe; gib bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab; Ansatz auf Heizstufe III; Arzneikompositum: feucht, Gradanfang; nimm ein Maß und erhitze es	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
7	f11r	f11r.6	odl	Holzdroge im Ansatz abmessen	Holzdroge im Ansatz abmessen	CONTEXT_SCOPED_SHORT_FORM	O_PREP+D_MEASURE+L_WOOD	abgemessener Holzdrogenansatz	CONTEXT_READER_MERGE__FREE_DEFAULT_EXPLORATORY	NONE	odl d s y otol chaiin ykchor dair chody cthy s daiin	[odl:?]; Dosis; Samen-/Saatgutposten; kaltes Zubereitungsgut; trocken, Grad III; erhitze hiervon den Pflanzenteil; abgemessene Fraktion II; Trockenansatz, abgeschlossen; Krautdroge; Samen-/Saatgutposten; drei Maße	Holzdroge im Ansatz abmessen; Dosis; Samen-/Saatgutposten; kaltes Zubereitungsgut; trocken, Grad III; erhitze hiervon den Pflanzenteil; abgemessene Fraktion II; Trockenansatz, abgeschlossen; Krautdroge; Samen-/Saatgutposten; drei Maße	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
8	f16v	f16v.11	okytaiin	erhitzten Ansatz in Grundform auf Kältestufe III bringen	erhitzten Ansatz in Grundform auf Kältestufe III bringen	PRODUCTIVE_COMPOUND	OKY_HOT_PREP_BASE+T_COLD+AIIN_III	drei Teile erhitzten Ansatzes abkühlen	LOW_EXPLORATORY	NONE	okytaiin chkchy saiin	[okytaiin:?]; trocknen, erhitzen, erneut trocknen und abschließen; Samen/Saatgut, Typ/Charge III	erhitzten Ansatz in Grundform auf Kältestufe III bringen; trocknen, erhitzen, erneut trocknen und abschließen; Samen/Saatgut, Typ/Charge III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
9	f17v	f17v.10	oytor	eine Portion Ansatz in Grundform abkühlen	eine Portion Ansatz in Grundform abkühlen	PRODUCTIVE_COMPOUND	OY_PREP_BASE+T_COLD+OR_PORTION	kalte Portion eines Ansatzes in Grundform	LOW_EXPLORATORY	NONE	oytor okeor okar okol daiir ar	[oytor:?]; eine Portion Ansatz bis zur Mittelstufe erhitzen; heiße Drogenfraktion I im Ansatz; heißer Ansatzstoff; abgemessene Fraktion III; Drogenfraktion I	eine Portion Ansatz in Grundform abkühlen; eine Portion Ansatz bis zur Mittelstufe erhitzen; heiße Drogenfraktion I im Ansatz; heißer Ansatzstoff; abgemessene Fraktion III; Drogenfraktion I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
10	f17v	f17v.13	ykeor	erhitze hiervon eine Portion bis zur Mittelstufe	erhitze hiervon eine Portion bis zur Mittelstufe	PRODUCTIVE_COMPOUND	Y_REFERENCE+K_HOT+E_MIDDLE+OR_PORTION	erhitzte Portion dieser Droge	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	ykeor chol chol cthol chkor sheol	[ykeor:?]; Trockengut; Trockengut; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge; eine Portion heiß getrocknete Droge; feuchtes Material	erhitze hiervon eine Portion bis zur Mittelstufe; Trockengut; Trockengut; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge; eine Portion heiß getrocknete Droge; feuchtes Material	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
