decision_id	surface	family	card_type	working_default_de	composition	strongest_rival_de	occurrences	lines	pages	reader_exact_occurrences	split_normalized_occurrences	rendering_classes	strength	status
G669-D001	lkchdal	WOOD	LEARNED_WHOLE	Holzdroge vollständig erhitzen und Rohdroge I abmessen	LEARNED_LKCHDAL_WHOLE	Holzdroge erhitzen, trocknen und Rohdroge I abmessen	1	1	1	0	0	EXACT_WHOLE	LOW_EXPLORATORY	ACCEPT_V46_REPLACEABLE
G669-D002	okeedal	MEASURE	PRODUCTIVE_COMPOUND	Ansatz vollständig erhitzen und Rohdroge I abmessen	O_PREP+K_HOT+EE_END+D_MEASURE+AL_RAW_I	abgemessener Rohstoff-I-Ansatz der Heizendstufe	4	4	4	2	2	EXACT_WHOLE	STRONG_PRACTICAL_OR_COMPOSITIONAL	ACCEPT_V46_REPLACEABLE
G669-D003	pched	POWDER	PRODUCTIVE_COMPOUND	Pulver bis zur Mittelstufe trocknen und abschließen	P_POWDER+CH_DRY+E_MIDDLE+D_TERM_CLOSE	mäßig getrocknetes Pulver abziehen	1	1	1	1	1	EXACT_WHOLE	LOW_EXPLORATORY	ACCEPT_V46_REPLACEABLE
G669-D004	dcheey	MEASURE	PRODUCTIVE_COMPOUND	eine Dosis vollständig trocknen und abschließen	D_MEASURE+CH_DRY+EE_END+Y_START_OR_CLOSE	vollständig getrocknete Dosis	9	9	9	9	9	EXACT_WHOLE	STRONG_PRACTICAL_OR_COMPOSITIONAL	ACCEPT_V46_REPLACEABLE
G669-D005	ro	ROOT	CONTEXT_SCOPED_SHORT_FORM	Wurzelansatz	R_ROOT+O_PREP	Wurzeldroge ansetzen	7	7	6	6	6	EXACT_WHOLE	CONTEXT_READER_MERGE__FREE_DEFAULT_EXPLORATORY	ACCEPT_V46_REPLACEABLE
G669-D006	shek	ACTION	PRODUCTIVE_COMPOUND	bis zur Mittelstufe einweichen und erhitzen	SH_MOIST+E_MIDDLE+K_HOT	mäßig eingeweichte heiße Droge	10	10	7	9	9	SHEK_ACTION	STRONG_PRACTICAL_OR_COMPOSITIONAL	ACCEPT_V46_REPLACEABLE
G669-D007	odl	MEASURE	CONTEXT_SCOPED_SHORT_FORM	Holzdroge im Ansatz abmessen	O_PREP+D_MEASURE+L_WOOD	abgemessener Holzdrogenansatz	3	3	3	2	2	EXACT_WHOLE	CONTEXT_READER_MERGE__FREE_DEFAULT_EXPLORATORY	ACCEPT_V46_REPLACEABLE
G669-D008	okytaiin	COLD	PRODUCTIVE_COMPOUND	erhitzten Ansatz in Grundform auf Kältestufe III bringen	OKY_HOT_PREP_BASE+T_COLD+AIIN_III	drei Teile erhitzten Ansatzes abkühlen	1	1	1	1	1	EXACT_WHOLE	LOW_EXPLORATORY	ACCEPT_V46_REPLACEABLE
G669-D009	oytor	MEASURE	PRODUCTIVE_COMPOUND	eine Portion Ansatz in Grundform abkühlen	OY_PREP_BASE+T_COLD+OR_PORTION	kalte Portion eines Ansatzes in Grundform	1	1	1	1	1	EXACT_WHOLE	LOW_EXPLORATORY	ACCEPT_V46_REPLACEABLE
G669-D010	ykeor	ACTION	PRODUCTIVE_COMPOUND	erhitze hiervon eine Portion bis zur Mittelstufe	Y_REFERENCE+K_HOT+E_MIDDLE+OR_PORTION	erhitzte Portion dieser Droge	4	4	4	4	4	YKEOR_ACTION	STRONG_PRACTICAL_OR_COMPOSITIONAL	ACCEPT_V46_REPLACEABLE
