family	surface	card_type	occurrences	lines	pages	working_default_de	composition	claim_scope
ACTION	shek	PRODUCTIVE_COMPOUND	10	10	7	bis zur Mittelstufe einweichen und erhitzen	SH_MOIST+E_MIDDLE+K_HOT	exact whole; composition predicts relatives only as a future explicit card
ACTION	ykeor	PRODUCTIVE_COMPOUND	4	4	4	erhitze hiervon eine Portion bis zur Mittelstufe	Y_REFERENCE+K_HOT+E_MIDDLE+OR_PORTION	exact whole; composition predicts relatives only as a future explicit card
ACTION	kchokchy	PRODUCTIVE_COMPOUND	1	1	1	erhitzen, trocknen, ansetzen, erneut erhitzen und trocknen, dann abschließen	K_HOT+CH_DRY+O_PREP+K_HOT+CH_DRY+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	alchdy	PRODUCTIVE_COMPOUND	2	2	2	Rohdroge I trocknen und fertigstellen	AL_RAW_I+CH_DRY+DY_FINISHED	exact whole; composition predicts relatives only as a future explicit card
ACTION	sh	CONTEXT_SCOPED_SHORT_FORM	14	14	13	einweichen	SH_MOIST	exact whole; composition predicts relatives only as a future explicit card
ACTION	shokol	PRODUCTIVE_COMPOUND	2	2	2	eingeweichten Drogenstoff im Ansatz erhitzen	SH_MOIST+O_PREP+K_HOT+OL_MATERIAL	exact whole; composition predicts relatives only as a future explicit card
ACTION	ytchas	PRODUCTIVE_COMPOUND	1	1	1	kühle und trockne hiervon einen Teil der Charge	Y_REFERENCE+T_COLD+CH_DRY+A_PART_OR_LINK+S_TERM_SPECIES	exact whole; composition predicts relatives only as a future explicit card
COLD	okytaiin	PRODUCTIVE_COMPOUND	1	1	1	erhitzten Ansatz in Grundform auf Kältestufe III bringen	OKY_HOT_PREP_BASE+T_COLD+AIIN_III	exact whole; composition predicts relatives only as a future explicit card
COLD	yteain	PRODUCTIVE_COMPOUND	1	1	1	kühle hiervon zwei Teile bis zur Mittelstufe	Y_REFERENCE+T_COLD+E_MIDDLE+AIN_II	exact whole; composition predicts relatives only as a future explicit card
COMPOSITE	eeckhy	LEARNED_WHOLE	1	1	1	Arzneikompositum trocken in Grundform	LEARNED_EECKHY_WHOLE	exact whole; composition predicts relatives only as a future explicit card
COMPOSITE	ckhody	PRODUCTIVE_COMPOUND	4	4	4	Arzneikompositum ansetzen und fertigstellen	CKH_COMPOSITE+O_PREP+DY_FINISHED	exact whole; composition predicts relatives only as a future explicit card
DRY	chodys	PRODUCTIVE_COMPOUND	1	1	1	eine Charge Trockenansatz fertigstellen	CH_DRY+O_PREP+DY_FINISHED+S_TERM_SPECIES	exact whole; composition predicts relatives only as a future explicit card
FRACTION	ytair	PRODUCTIVE_COMPOUND	4	4	4	kühle hiervon die zweite Fraktion	Y_REFERENCE+T_COLD+AIR_FRACTION_II	exact whole; composition predicts relatives only as a future explicit card
FRACTION	shear	PRODUCTIVE_COMPOUND	22	22	18	erste Fraktion bis zur Mittelstufe einweichen	SH_MOIST+E_MIDDLE+AR_FRACTION_I	exact whole; composition predicts relatives only as a future explicit card
FRACTION	tchar	PRODUCTIVE_COMPOUND	4	4	4	erste Drogenfraktion abkühlen und trocknen	T_COLD+CH_DRY+AR_FRACTION_I	exact whole; composition predicts relatives only as a future explicit card
FRACTION	olkair	PRODUCTIVE_COMPOUND	4	4	4	zweite erhitzte Holzdrogenfraktion im Ansatz	O_PREP+L_WOOD+K_HOT+AIR_FRACTION_II	exact whole; composition predicts relatives only as a future explicit card
HERB	cthal	PRODUCTIVE_COMPOUND	7	7	5	Kraut- oder Blattdroge aus Rohdroge I	CTH_HERB+AL_RAW_I	exact whole; composition predicts relatives only as a future explicit card
MEASURE	okeedal	PRODUCTIVE_COMPOUND	4	4	4	Ansatz vollständig erhitzen und Rohdroge I abmessen	O_PREP+K_HOT+EE_END+D_MEASURE+AL_RAW_I	exact whole; composition predicts relatives only as a future explicit card
MEASURE	dcheey	PRODUCTIVE_COMPOUND	9	9	9	eine Dosis vollständig trocknen und abschließen	D_MEASURE+CH_DRY+EE_END+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
MEASURE	odl	CONTEXT_SCOPED_SHORT_FORM	3	3	3	Holzdroge im Ansatz abmessen	O_PREP+D_MEASURE+L_WOOD	exact whole; composition predicts relatives only as a future explicit card
MEASURE	oytor	PRODUCTIVE_COMPOUND	1	1	1	eine Portion Ansatz in Grundform abkühlen	OY_PREP_BASE+T_COLD+OR_PORTION	exact whole; composition predicts relatives only as a future explicit card
MEASURE	orshy	PRODUCTIVE_COMPOUND	2	2	2	eine Portion leicht einweichen und abschließen	OR_PORTION+SH_MOIST+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
MEASURE	daiinol	PRODUCTIVE_COMPOUND	1	1	1	drei Dosen Drogenstoff abmessen	D_MEASURE+AIIN_III+OL_MATERIAL	exact whole; composition predicts relatives only as a future explicit card
MEASURE	tcheodal	PRODUCTIVE_COMPOUND	1	1	1	abkühlen, bis zur Mittelstufe trocknen, ansetzen und Rohdroge I abmessen	T_COLD+CH_DRY+E_MIDDLE+O_PREP+D_MEASURE+AL_RAW_I	exact whole; composition predicts relatives only as a future explicit card
MEASURE	dsho	PRODUCTIVE_COMPOUND	6	6	6	eine Dosis Feuchtansatz abmessen	D_MEASURE+SH_MOIST+O_PREP	exact whole; composition predicts relatives only as a future explicit card
MEASURE	dalar	PRODUCTIVE_COMPOUND	5	5	3	erste Fraktion Rohdroge I abmessen	D_MEASURE+AL_RAW_I+AR_FRACTION_I	exact whole; composition predicts relatives only as a future explicit card
MEASURE	shedaiin	PRODUCTIVE_COMPOUND	10	10	8	drei Dosen bis zur Mittelstufe eingeweichter Droge	SH_MOIST+E_MIDDLE+D_MEASURE+AIIN_III	exact whole; composition predicts relatives only as a future explicit card
MEASURE	dals	PRODUCTIVE_COMPOUND	8	8	7	eine Charge Rohdroge I abmessen	D_MEASURE+AL_RAW_I+S_TERM_SPECIES	exact whole; composition predicts relatives only as a future explicit card
PLANT_PART	chordy	PRODUCTIVE_COMPOUND	2	2	1	Pflanzenteil fertigstellen	CHOR_PLANT_PART+DY_FINISHED	exact whole; composition predicts relatives only as a future explicit card
POWDER	pched	PRODUCTIVE_COMPOUND	1	1	1	Pulver bis zur Mittelstufe trocknen und abschließen	P_POWDER+CH_DRY+E_MIDDLE+D_TERM_CLOSE	exact whole; composition predicts relatives only as a future explicit card
POWDER	psheedy	PRODUCTIVE_COMPOUND	1	1	1	Pulver vollständig einweichen und fertigstellen	P_POWDER+SH_MOIST+EE_END+DY_FINISHED	exact whole; composition predicts relatives only as a future explicit card
PREPARATION	oeees	PRODUCTIVE_COMPOUND	6	6	6	Ansatzcharge der letzten Stufe	O_PREP+EEE_LONG_OR_FINAL+S_TERM_SPECIES	exact whole; composition predicts relatives only as a future explicit card
