page	locus	kind	paragraph_start	paragraph_end	ivtff_raw	readings_json	origins_json
f31r	f31r.12	P	0	0	qoaiin.yches.okedy.sheey.chedaiin.dar	"{""zl3b_clean"": ""qoaiin yches okedy sheey chedaiin dar"", ""it2a_clean"": ""qoaiin yches okedy sheey chedaiin dar"", ""rf1b_clean"": ""qoaiin ches okedy sheey chedaiin dar""}"	"[""experiments/yolo/gdt818_fixed_material_container_relation/artifacts/CONTINUATION_CONTEXTS.tsv""]"
f66r	f66r.80	P	0	0	daiin.shey.qoteoly.raiin.sheedy.shcthy.lkeol.qokol.dkar	"{""zl3b_clean"": ""daiin shey qoteoly raiin sheedy shcthy lkeol qokol dkar"", ""it2a_clean"": ""daiin shey qoteoly raiin sheedy shcthy lkeol qokol dkar"", ""rf1b_clean"": ""daiin shey qoteoly raiin sheedy shcthy lkeol qokol dkar""}"	"[""experiments/yolo/gdt818_fixed_material_container_relation/artifacts/CONTINUATION_CONTEXTS.tsv""]"
f67r2	f67r2.39	P	0	0	sor.chedaiin.dy	"{""zl3b_clean"": ""sor chedaiin dy"", ""it2a_clean"": ""sor chedaiin dy"", ""rf1b_clean"": ""sor che iin dy""}"	"[""experiments/yolo/gdt818_fixed_material_container_relation/artifacts/CONTINUATION_CONTEXTS.tsv""]"
f70v2	f70v2.21	C	0	0	<!09:00>daii@197;amdy.otar.am.aral.otair,chedaiin.oteey.dair.shchey.daiin.chalaly.oteody.chotol.chedy.oteotey.oteeeor,ar.alody.daiir.oteedar.oteey.teey.dalal.cheoltey.oteedy.sheeteey.?okeeol.ykeeos.shey.ykair.arar.alos	"{""zl3b_clean"": ""daii amdy otar am aral otair chedaiin oteey dair shchey daiin chalaly oteody chotol chedy oteotey oteeeor ar alody daiir oteedar oteey teey dalal cheoltey oteedy sheeteey okeeol ykeeos shey ykair arar alos"", ""it2a_clean"": ""daimdy otar am ar al otard chedaiin otchy dair shchey daiin chalaly oteody chotol chedy oteatey otcheor ar alody daiir oteedar otchy tchy dal al cheoltey oteedy sheeteey s hs keeol ykeeos shey okear ar ar alos"", ""rf1b_clean"": ""daii amdy otar am aral otair chedaiin oteey dair shchey daiin chalaly oteody chotol che y oteotey oteeeor ar alo y aiir otee ar oteey teey dalal cheoltey oteedy sheeteey sh okeeol akeeos shey ykair arar alos""}"	"[""experiments/yolo/gdt818_fixed_material_container_relation/artifacts/CONTINUATION_CONTEXTS.tsv""]"
f72r3	f72r3.1	C	0	0	<!10:00 after wide gap>okeey.chekoy.oteo.ykeey.chedaiin.okeeol.cheeor.chocthar.ar.oteody.oteedy.okeolaiin.oteey.okarar.???.???teo.sheol.al.alaiiin.okeos.alaiin.okor.o,keodar.okee.s,ar,aiin.chekackhy.chokees.oteedy.chekar.okar,choly.ches,os.oiin.okeeey.cheey.ches.okeody.chealdy.shocthy.choteey.sheoly.{oh}eol.sheey.chorain	"{""zl3b_clean"": ""okeey chekoy oteo ykeey chedaiin okeeol cheeor chocthar ar oteody oteedy okeolaiin oteey okarar teo sheol al alaiiin okeos alaiin okor o keodar okee s ar aiin chekackhy chokees oteedy chekar okar choly ches os oiin okeeey cheey ches okeody chealdy shocthy choteey sheoly eol sheey chorain"", ""it2a_clean"": ""okeey cheky oteo ykeey chedaiin okeeol cheeor chocthar ar oteody oteedy okeolaiin oteey okarar dy sheol al alaiiin okeos olaiin okos okeoar otes sar aiin chekaithhy chokees oteedy chekar okar ch ches os oiin okeeey cheey ches oteody cheal dy shocthy choteey ereoly oheol sheey chorain"", ""rf1b_clean"": ""okeey chekoy oteo keey chedaiin okeeol cheeor chocthar ar oteody otee y okeolaiin oteey okarar a teo sheol al alaiiin okeos olaiin okor o keodar okee sar aiin chekackhy chokees oteedy che ar okar chaly ches os oiin okeeey cheey ches oteody cheal y shocthy chotay sheoly cheol sheey chorain""}"	"[""experiments/yolo/gdt818_fixed_material_container_relation/artifacts/CONTINUATION_CONTEXTS.tsv""]"
f72r3	f72r3.14	C	0	0	<!09:00>otochedy.otey.o,koey.sheedy.oteodar.ykeolol.y,air.oteos.cheo,l,aiin.ykeeoly.otaiin.shear.oiiin.oral.o,tealy.cheokeor.oteody.o{ck}es.otees,chteos,doteey.sosor.oteol.shol.cheeg.okeody.{ch'}eol.shey.sheysy.shoteey.cheor.yoeteey.okeeol.chy.okeeo.ykoly	"{""zl3b_clean"": ""otochedy otey o koey sheedy oteodar ykeolol y air oteos cheo l aiin ykeeoly otaiin shear oiiin oral o tealy cheokeor oteody oes otees chteos doteey sosor oteol shol cheeg okeody eol shey sheysy shoteey cheor yoeteey okeeol chy okeeo ykoly"", ""it2a_clean"": ""otochedy otal okoey sheedy oteodar ykeolal ya r oteos cheolaiin ykeeoly otaiin shear oiin or o oa sheokeor oteody oekes otees oeteos dotsey seor oteol shol cheem okeody sheol shey sheysy sho teey cheor yoeteey okeeoy chy okeeo ykoly"", ""rf1b_clean"": ""otochedy otey o eey shee y oteodar ykeolal yair oteos cheolaiin ykee ly otaiin shear oiiin oral y kealy cheokeor oteody oes otees chteos doteey sosor oteol shol cheeg okeo y eol shey sheysy shoteey cheor yoeteey okeeol chy okeeo ykoly""}"	"[""experiments/yolo/gdt818_fixed_material_container_relation/artifacts/CONTINUATION_CONTEXTS.tsv""]"
f72r3	f72r3.26	C	0	0	<!09:00>oteey.[a:?]rary.eee[r:s],che@212;shees.opcholalaiin.oteeor.am.sheal.o[k:t]aipchy.oteees,ar.am.olaiin.otedar.olol.choty.oteol.sheshdy.chedy.chedy.dy.shes.eedy.sheol.shy,ckhol	"{""zl3b_clean"": ""oteey arary eeer che shees opcholalaiin oteeor am sheal okaipchy oteees ar am olaiin otedar olol choty oteol sheshdy chedy chedy dy shes eedy sheol shy ckhol"", ""it2a_clean"": ""oteey arary eeer chem shses opcholalaiin oteeor am sheal otaipchy oteees ar am olaiin otedas olol choty oteol sheshdy chedy chedy dy shes eedy sheol chy ckhol"", ""rf1b_clean"": ""oteey arary eeeschekshees opcholalaiin oteeor am sheal otaipchy oteeesar am olaiin otedar olol choty oteol shesh y che y che y dy shes eedy sheol shyckhol""}"	"[""experiments/yolo/gdt818_fixed_material_container_relation/artifacts/CONTEXTS.tsv""]"
f75r	f75r.1	P	1	0	<%>kchedykary<->okeey.qokar.shyk,chedy.qotar.shedy	"{""zl3b_clean"": ""kchedykary okeey qokar shyk chedy qotar shedy"", ""it2a_clean"": ""kchedy kary okeey qokar shy kchedy qotar shedy"", ""rf1b_clean"": ""kchedykary okeey qokar shykche y qotar she y""}"	"[""experiments/yolo/gdt818_fixed_material_container_relation/artifacts/CONTEXTS.tsv""]"
f75r	f75r.2	P	0	0	dain.shey.ly<->ssheol.qol{chh}dy.chedykar.chekeedy.ror	"{""zl3b_clean"": ""dain shey ly ssheol qoldy chedykar chekeedy ror"", ""it2a_clean"": ""dain shey ly ssheol qolchedy chedykar chekeedy ror"", ""rf1b_clean"": ""dain shey ly seol qoldy chedykar chekeedy ror""}"	"[""experiments/yolo/gdt818_fixed_material_container_relation/artifacts/CONTEXTS.tsv""]"
f75r	f75r.3	P	0	0	qokain.chal<->orchey.qey.kain.sheeky.ltain.olkar.or	"{""zl3b_clean"": ""qokain chal orchey qey kain sheeky ltain olkar or"", ""it2a_clean"": ""qokain chal orchey qey kain sheeky ltain olkar or"", ""rf1b_clean"": ""qokain chal orchey qey kain sheeky ltain olkar or""}"	"[""experiments/yolo/gdt818_fixed_material_container_relation/artifacts/CONTEXTS.tsv""]"
