locus	edition	source_group_count	raw_grouped_line	flat_matches_current	exact_raiin_count
f66r.12	ZL3b	1	saiin	1	0
f66r.12	IT2a	1	raiin	1	1
f66r.12	RF1b	1	saiin	1	0
f66r.70	ZL3b	11	todeeey.keody.chdy.keody.shedy.shekeefy.chdy.sheol.shol.kedy.daly	1	0
f66r.70	IT2a	11	todeeey.keody.chdy.keody.shedy.shekeefy.chdy.sheol.shol.kedy.daly	1	0
f66r.70	RF1b	11	todeeey.keody.chd@222;.keody.shedy.shekeefy.chdy.sheol.shol.ke@152;y.@152;aly	1	0
f66r.71	ZL3b	10	saiir.cheol.kal.sheody.chcthedy.dal.shol.qokeody.chody.kechody	1	0
f66r.71	IT2a	10	saiir.cheol.kal.sheody.chcthedy.dal.shol.qokeody.chody.kechody	1	0
f66r.71	RF1b	10	raiir.cheol.kal.sheod@222;.chcthe@152;y.@152;al.shol.qokeody.chody.kecho@152;y	1	0
f66r.72	ZL3b	10	sshedy.oteedy.ykeeody.sheocthy.ol,ld,lshedy.chokeey.chekey.chey	1	0
f66r.72	IT2a	10	sshedy.oteedy.ykeeody.sheocthy.ol.ld.lshedy.chokeey.chekey.chey	1	0
f66r.72	RF1b	9	sshedy.oteedy.ykeeody.sheocthy.olld.lshe@152;y.chokeey.chekey.chey	1	0
f66r.73	ZL3b	10	ysheeod.qoteeod.qotol,qoky.chckhedy.shey.dcheol.cheky.cheo,dor	1	0
f66r.73	IT2a	10	ysheeod.qoteeod.qotol.qoky.chckhedy.shey.dcheol.cheky.cheo.dor	1	0
f66r.73	RF1b	9	ysheeod.qoteeod.qotol.qoky.chckhe@152;y.shey.dcheol.cheky.cheodor	1	0
f66r.74	ZL3b	9	ydaiin.shedy.otchedy.oteochey.tolchedy.lsheody.qoky,daiin.otam	1	0
f66r.74	IT2a	9	ydaiin.shody.otchedy.oteochey.tolchedy.lsheody.qoky.daiin.otam	1	0
f66r.74	RF1b	8	ydaiin.she@152;y.otchedy.oteochey.tolchedy.lsheody.qokydaiin.otag	1	0
f66r.75	ZL3b	12	tcheo.sheor.oteody.lpchees,ol,ar.alkey.otey.ltsholy.shecthy.r,ol	1	0
f66r.75	IT2a	12	tcheo.sheor.oteody.lpchees.ol.ar.alkey.otey.ltsholy.shecthy.r.ol	1	0
f66r.75	RF1b	11	tcheo.sheor.oteody.lpchees.ol.ar.alkey.otey.ltsholy.shecthy.rol	1	0
f66r.76	ZL3b	9	daiin.sheol.qocthedy.qokedy.lchey.qokaly.shcthy.qotal.otchdy	1	0
f66r.76	IT2a	9	daiin.sheol.qocthedy.qokedy.lchey.qokaly.shcthy.qotal.otchdy	1	0
f66r.76	RF1b	9	daiin.sheol.qocthedy.qoke@152;y.lchey.qokaly.shcthy.qotal.otch@152;y	1	0
f66r.77	ZL3b	10	qokey.ar.olkeol.qokal.cheoky.ykchdy.chody.sheody.qoky.ldy	1	0
f66r.77	IT2a	10	qokey.ar.olkeol.qokal.cheoky.ykchdy.chody.sheody.qoky.ldy	1	0
f66r.77	RF1b	10	qokey.ar.olkeol.qokal.cheoky.ykchdy.chody.sheody.qoky.ldy	1	0
f66r.78	ZL3b	9	dor.aiin.sheeol.lshedy.lchedy.cheedy.shekol.dalol.lodaiin	1	0
