case_id	phase	statement_id	page	record	owner_or_station	event_count	surface_sequence	pre_617_controlled_backread_de	sharp_controlled_backread_de	original_readable_workshop_de	noun_address_components	noun_address_revision
C1	PREPARE_PRODUCT	H1-S001	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	10	dchey cthoor char chty os chair otytchol oky daiin etyd	Bei abgebildete breit gezähnte radialblütige Pflanze: ABNEHMEN · KURZ · DIES | BEREIT · ARBEITSGANG · ANSATZ | QUELLE | EINTRAGEN · DIES | FACH | ABNEHMEN · LAUF | DANACH [DIES EINTRAGEN · ABNEHMEN] FORTSETZEN | ANSETZEN · DIES | MASS | KURZ · EINTRAGEN · DIES.	Bei abgebildete breit gezähnte radialblütige Pflanze: ABNEHMEN · KURZ · ARBEITSPOSTEN | BEREIT · ARBEITSGANG · ANSATZ | VORRAT | EINTRAGEN · ARBEITSPOSTEN | ARBEITSFACH | ABNEHMEN · FLUESSIGKEITSLAUF | DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN | ANSETZEN · ARBEITSPOSTEN | SOLLMASS | KURZ · EINTRAGEN · ARBEITSPOSTEN.	Frischen Pflanzenteil kurz in den Wasseransatz geben, den ersten Auszug in das Auffangfach laufen lassen und nach Mass zurueck in die Charge eintragen.	AIIN|AIR|AR|OS|Y	YES
C1	PREPARE_PRODUCT	H1-S002	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	4	qokchy qotchol chol cthy	Bei abgebildete breit gezähnte radialblütige Pflanze: ANSETZEN · DIES | DANACH · ABNEHMEN · FORTSETZEN | FORTSETZEN | BEREIT · DIES.	Bei abgebildete breit gezähnte radialblütige Pflanze: ANSETZEN · ARBEITSPOSTEN | DANACH · ABNEHMEN · FORTSETZEN | FORTSETZEN | BEREIT · ARBEITSPOSTEN.	Eine weitere Pflanzenportion in denselben Ansatz geben, kurz abziehen und bis zum bereiten Grundauszug weiterarbeiten.	Y	YES
C1	OPERATE_OR_APPLY	B1-S001	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	1	qokedy	Bei gemeinsame zweireihige Figuren-/Beckenstation: ANSETZEN · KURZ; SCHLUSS.	Bei gemeinsame zweireihige Figuren-/Beckenstation: ANSETZEN · KURZ; SCHLUSS.	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einwirken lassen.	NONE	NO
C1	OPERATE_OR_APPLY	B1-S002	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	Bei gemeinsame zweireihige Figuren-/Beckenstation: ANSETZEN · MASS | ZUDOSIEREN · LAUF | ANSETZEN · ZIEL | QUELLE | FORTSETZEN | ZUDOSIEREN · PORTION | FORTSETZEN · ZUDOSIEREN · PORTION | ZIEL | FORTSETZEN | KUEHLEN · FORTSETZEN | WEITERLEITEN | FORTSETZEN · ANSATZ | FORTSETZEN | HALTEN · KURZ · DURCHLASS · ZIEL | MASS | ANSETZEN · LANG · ZIEL | MASS | DURCHLASS · DIES | UMSETZEN; SCHLUSS.	Bei gemeinsame zweireihige Figuren-/Beckenstation: ANSETZEN · SOLLMASS | ZUDOSIEREN · FLUESSIGKEITSLAUF | ANSETZEN · ZIELSTELLE | VORRAT | FORTSETZEN | ZUDOSIEREN · PORTION | FORTSETZEN · ZUDOSIEREN · PORTION | ZIELSTELLE | FORTSETZEN | KUEHLEN · FORTSETZEN | WEITERLEITEN | FORTSETZEN · ANSATZ | FORTSETZEN | HALTEN · KURZ · DURCHLASSKANAL · ZIELSTELLE | SOLLMASS | ANSETZEN · LANG · ZIELSTELLE | SOLLMASS | DURCHLASSKANAL · ARBEITSPOSTEN | UMSETZEN; SCHLUSS.	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: setze nach Maß an → einspeisen → anlegen → dosiert zugeben → dosiert zugeben → abkühlen lassen → führen → zurückhalten → anlegen → durchleiten. Angaben: davon | fort | Ziel | fort | fort · Ansatz | fort | Maß | Maß | Durchlass · dies.	AIIN|AIR|AL|AR|CKH|Y	YES
C1	OPERATE_OR_APPLY	B1-S003	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	2	qol sshkchdy	Bei gemeinsame zweireihige Figuren-/Beckenstation: FORTSETZEN | HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS.	Bei gemeinsame zweireihige Figuren-/Beckenstation: FORTSETZEN | HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS.	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: halten + zugeben + überführen. Angaben: fort.	NONE	NO
C1	OPERATE_OR_APPLY	B1-S004	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	3	chedy ol shedy	Bei gemeinsame zweireihige Figuren-/Beckenstation: UMSETZEN · DIES | FORTSETZEN | ABSETZEN; SCHLUSS.	Bei gemeinsame zweireihige Figuren-/Beckenstation: UMSETZEN · ARBEITSPOSTEN | FORTSETZEN | ABSETZEN; SCHLUSS.	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: umschöpfen → absetzen lassen. Angaben: fort.	Y	YES
C1	OPERATE_OR_APPLY	B1-S005	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	1	qolchedy	Bei gemeinsame zweireihige Figuren-/Beckenstation: FORTSETZEN · UMSETZEN; SCHLUSS.	Bei gemeinsame zweireihige Figuren-/Beckenstation: FORTSETZEN · UMSETZEN; SCHLUSS.	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: führe zur nächsten Station.	NONE	NO
C1	OPERATE_OR_APPLY	B1-S006	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	4	qokain shckhy dl ral	Bei gemeinsame zweireihige Figuren-/Beckenstation: ANSETZEN · PORTION | DURCHLASS · DIES | WEITERLEITEN | KUEHLEN · ZIEL.	Bei gemeinsame zweireihige Figuren-/Beckenstation: ANSETZEN · PORTION | DURCHLASSKANAL · ARBEITSPOSTEN | WEITERLEITEN | KUEHLEN · ZIELSTELLE.	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: gib einen Teil hinein → durchleiten → abkühlen lassen. Angaben: Durchlass · dies.	AL|CKH|Y	YES
C1	OPERATE_OR_APPLY	B1-S007	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	1	qokchdy	Bei gemeinsame zweireihige Figuren-/Beckenstation: ANSETZEN · UMSETZEN; SCHLUSS.	Bei gemeinsame zweireihige Figuren-/Beckenstation: ANSETZEN · UMSETZEN; SCHLUSS.	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einsetzen + überführen.	NONE	NO
C1	OPERATE_OR_APPLY	B1-S008	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	5	chey ol cheky ol shedy	Bei gemeinsame zweireihige Figuren-/Beckenstation: DIES | FORTSETZEN | WAERMEN · KURZ · DIES | FORTSETZEN | ABSETZEN; SCHLUSS.	Bei gemeinsame zweireihige Figuren-/Beckenstation: ARBEITSPOSTEN | FORTSETZEN | WAERMEN · KURZ · ARBEITSPOSTEN | FORTSETZEN | ABSETZEN; SCHLUSS.	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: warm halten → absetzen lassen. Angaben: dies | fort | fort.	Y	YES
