card_no	surfaces	semantic_component_parse	command_id	standard_command_de	command_class	occurrences	records	duplicate_semantic_command	old_command_id	old_standard_command_de	resolution	revised_components	backread_revision	pre_617_standard_command_de	noun_address_components	noun_address_revision
PROC001	dchey	CH+E+Y	CMD015	ABNEHMEN · KURZ · ARBEITSPOSTEN	ACTION_COMMAND	1	H1	NO	CMD015	ABZIEHEN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND	CH	YES	ABNEHMEN · KURZ · DIES	Y	YES
PROC002	cthoor	CTH+O+OR	CMD029	BEREIT · ARBEITSGANG · ANSATZ	STATE_OR_GRADE_FORMULA	1	H1	NO	CMD029	BEREIT · GANG · ANSATZ	UNCHANGED_UNIQUE_COMMAND	O	YES	BEREIT · ARBEITSGANG · ANSATZ	NONE	NO
PROC003	char|dar|sar	AR	CMD008	VORRAT	ARGUMENT_OR_OBJECT_FORMULA	5	H1|H2|B1|B2|B3	NO	CMD008	QUELLE	UNCHANGED_UNIQUE_COMMAND	NONE	NO	QUELLE	AR	YES
PROC004	chety|chty	T+Y	CMD156	EINTRAGEN · ARBEITSPOSTEN	ACTION_COMMAND	2	H1|B3	NO	CMD156	EINTRAGEN · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	EINTRAGEN · DIES	Y	YES
PROC005	os	OS	CMD108	ARBEITSFACH	ARGUMENT_OR_OBJECT_FORMULA	1	H1	NO	CMD108	FACH	UNCHANGED_UNIQUE_COMMAND	NONE	NO	FACH	OS	YES
PROC006	chair	CH+AIR	CMD011	ABNEHMEN · FLUESSIGKEITSLAUF	ACTION_COMMAND	1	H1	NO	CMD011	ABZIEHEN · LAUF	UNCHANGED_UNIQUE_COMMAND	CH	YES	ABNEHMEN · LAUF	AIR	YES
PROC007	otytchol	OT+Y+T+CH+OL	CMD122	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN	ACTION_COMMAND	1	H1	NO	CMD122	DANACH [DIES EINTRAGEN · ABZIEHEN] FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	CH	YES	DANACH [DIES EINTRAGEN · ABNEHMEN] FORTSETZEN	Y	YES
PROC008	choky|oky|qoky	OK+Y	CMD095	ANSETZEN · ARBEITSPOSTEN	ACTION_COMMAND	10	H1|H5|B1|B2|B3|B4	YES	CMD095	ANSETZEN · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	NONE	NO	ANSETZEN · DIES	Y	YES
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	CMD001	SOLLMASS	ARGUMENT_OR_OBJECT_FORMULA	20	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6	NO	CMD001	MASS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	MASS	AIIN	YES
PROC010	etyd	E+T+Y	CMD034	KURZ · EINTRAGEN · ARBEITSPOSTEN	ACTION_COMMAND	1	H1	NO	CMD034	KURZ · EINTRAGEN · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	KURZ · EINTRAGEN · DIES	Y	YES
PROC011	chokchy|okchy|qokchy	OK+Y	CMD095	ANSETZEN · ARBEITSPOSTEN	ACTION_COMMAND	3	H1|H5	YES	CMD095	ANSETZEN · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	NONE	NO	ANSETZEN · DIES	Y	YES
PROC012	qotchol	OT+CH+OL	CMD112	DANACH · ABNEHMEN · FORTSETZEN	ACTION_COMMAND	1	H1	NO	CMD112	DANACH · ABZIEHEN · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	CH	YES	DANACH · ABNEHMEN · FORTSETZEN	NONE	NO
PROC013	cheol|chol|ol|qol|sol|tol	OL	CMD097	FORTSETZEN	SEQUENCE_FORMULA	19	H1|H2|B1|B3|B4|B5|B6	YES	CMD097	FORTSETZEN	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	NONE	NO	FORTSETZEN	NONE	NO
PROC014	checthy|cthy|shcthy	CTH+Y	CMD030	BEREIT · ARBEITSPOSTEN	STATE_OR_GRADE_FORMULA	7	H1|H2|H3|B3	NO	CMD030	BEREIT · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	BEREIT · DIES	Y	YES
PROC015	ycheor	Y+CH+E+OR	CMD159	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ	ACTION_COMMAND	1	H2	NO	CMD159	DIES · ABZIEHEN · KURZ · ANSATZ	UNCHANGED_UNIQUE_COMMAND	CH	YES	DIES · ABNEHMEN · KURZ · ANSATZ	Y	YES
PROC016	chor|or|shor|sor	OR	CMD106	ANSATZ	ARGUMENT_OR_OBJECT_FORMULA	7	H2|H4|B3|B4	NO	CMD106	ANSATZ	UNCHANGED_UNIQUE_COMMAND	NONE	NO	ANSATZ	NONE	NO
PROC017	cthaiin	CTH+AIIN	CMD027	BEREIT · SOLLMASS	STATE_OR_GRADE_FORMULA	1	H2	NO	CMD027	BEREIT · MASS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	BEREIT · MASS	AIIN	YES
PROC018	qoctholy	O+CTH+OL+Y	CMD073	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	STATE_OR_GRADE_FORMULA	1	H2	NO	CMD073	GANG · BEREIT · FORTSETZEN · DIES	UNCHANGED_UNIQUE_COMMAND	O	YES	ARBEITSGANG · BEREIT · FORTSETZEN · DIES	Y	YES
PROC019	chey|chy|dy|shy|sy|y	Y	CMD158	ARBEITSPOSTEN	ARGUMENT_OR_OBJECT_FORMULA	18	H2|H3|H4|B1|B2|B3|B4|B6	NO	CMD158	DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	DIES	Y	YES
PROC020	otchor|qotchor	OT+CH+OR	CMD113	DANACH · ABNEHMEN · ANSATZ	ACTION_COMMAND	2	H2|H5	NO	CMD113	DANACH · ABZIEHEN · ANSATZ	UNCHANGED_UNIQUE_COMMAND	CH	YES	DANACH · ABNEHMEN · ANSATZ	NONE	NO
PROC021	otol	OT+OL	CMD120	DANACH · FORTSETZEN	SEQUENCE_FORMULA	1	H2	NO	CMD120	DANACH · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	NONE	NO	DANACH · FORTSETZEN	NONE	NO
PROC022	cholor|olor	OL+OR	CMD102	FORTSETZEN · ANSATZ	SEQUENCE_FORMULA	2	H2|B1	NO	CMD102	FORTSETZEN · ANSATZ	UNCHANGED_UNIQUE_COMMAND	NONE	NO	FORTSETZEN · ANSATZ	NONE	NO
PROC023	oykchor	O+Y+K+OR	CMD076	ARBEITSGANG · ARBEITSPOSTEN · ZUDOSIEREN · ANSATZ	ACTION_COMMAND	1	H2	NO	CMD076	GANG · DIES · ZUFUEHREN · ANSATZ	UNCHANGED_UNIQUE_COMMAND	K|O	YES	ARBEITSGANG · DIES · ZUDOSIEREN · ANSATZ	Y	YES
PROC024	kaiiin	K+IIN	CMD048	ZUDOSIEREN · ARBEITSSTUFE	ACTION_COMMAND	1	H2	NO	CMD048	ZUFUEHREN · STUFE	UNCHANGED_UNIQUE_COMMAND	K	YES	ZUDOSIEREN · STUFE	IIN	YES
PROC025	chodaiin	CH+O+AIIN	CMD017	ABNEHMEN · ARBEITSGANG · SOLLMASS	ACTION_COMMAND	1	H2	NO	CMD017	ABZIEHEN · GANG · MASS	UNCHANGED_UNIQUE_COMMAND	CH|O	YES	ABNEHMEN · ARBEITSGANG · MASS	AIIN	YES
PROC026	tshol	T+SH+OL	CMD155	EINTRAGEN · HALTEN · FORTSETZEN	ACTION_COMMAND	1	H3	NO	CMD155	EINTRAGEN · HALTEN · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	NONE	NO	EINTRAGEN · HALTEN · FORTSETZEN	NONE	NO
PROC027	schoal	SH+O+AL	CMD143	HALTEN · ARBEITSGANG · ZIELSTELLE	ACTION_COMMAND	1	H3	NO	CMD143	HALTEN · GANG · ZIEL	UNCHANGED_UNIQUE_COMMAND	O	YES	HALTEN · ARBEITSGANG · ZIEL	AL	YES
PROC028	cfhy	CFH+Y	CMD010	AUSWRINGEN · ARBEITSPOSTEN	ACTION_COMMAND	1	H3	NO	CMD010	AUSWRINGEN · DIES	UNCHANGED_UNIQUE_COMMAND	NONE	NO	AUSWRINGEN · DIES	Y	YES
PROC029	shfydaiin	SH+Y+AIIN	CMD145	HALTEN · ARBEITSPOSTEN · SOLLMASS	ACTION_COMMAND	1	H3	NO	CMD145	HALTEN · DIES · MASS	UNCHANGED_UNIQUE_COMMAND	NONE	NO	HALTEN · DIES · MASS	AIIN|Y	YES
PROC030	cphy	P+Y	CMD125	EINFUELLEN · ARBEITSPOSTEN	ACTION_COMMAND	1	H3	NO	CMD125	HINEIN · DIES	UNCHANGED_UNIQUE_COMMAND	P	YES	EINFUELLEN · DIES	Y	YES
PROC031	cheey|shey	SH+EE+Y	CMD141	HALTEN · LANG · ARBEITSPOSTEN	ACTION_COMMAND	4	H3|B2|B4	YES	CMD141	HALTEN · LANG · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	NONE	NO	HALTEN · LANG · DIES	Y	YES
PROC032	tchody	T+CH+O+DY	CMD153	EINTRAGEN · ABNEHMEN · ARBEITSGANG; SCHLUSS	ACTION_COMMAND	1	H3	NO	CMD153	EINTRAGEN · ABZIEHEN · GANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	CH|O	YES	EINTRAGEN · ABNEHMEN · ARBEITSGANG; SCHLUSS	NONE	NO
PROC033	shoyty	SH+O+Y+T+Y	CMD144	ARBEITSPOSTEN HALTEN · IM ARBEITSGANG EINTRAGEN · ARBEITSPOSTEN	ACTION_COMMAND	1	H3	NO	CMD144	DIES HALTEN · IM GANG EINTRAGEN · DIES	UNCHANGED_UNIQUE_COMMAND	O	YES	DIES HALTEN · IM ARBEITSGANG EINTRAGEN · DIES	Y	YES
PROC034	dchol|schol	RESUME_CARD	CMD162	WIEDERAUFNEHMEN	SEQUENCE_FORMULA	2	H3|H5	NO	CMD097	WIEDERAUFNEHMEN	SEMANTIC_SPLIT_STATEMENT_ENTRY	NONE	NO	WIEDERAUFNEHMEN	NONE	NO
PROC035	kchy	K+Y	CMD050	ZUDOSIEREN · ARBEITSPOSTEN	ACTION_COMMAND	1	H3	NO	CMD050	ZUFUEHREN · DIES	UNCHANGED_UNIQUE_COMMAND	K	YES	ZUDOSIEREN · DIES	Y	YES
