surface_id	visible_surface	lesson_id	lesson_kind	register_status	observed_groups	pages	selected_small_value_de	surface_composition	current_atom_sequence	current_spoken_value_de	owner_rule_de	historical_workshop_analogue_de	example_group	example_owner	memory_instruction_de	do_not_split_de
SF0016	cfhy	N01_CFH	LEARNED_BODY	PROSE_ONLY	1	f11r	AUSWRINGEN	CFH+Y	CFH+Y	aktuellen Posten auswringen	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	wie ein gelerntes Press- oder Auswringkürzel im Rezeptbuch	E041	H3	Lektionswert zuerst lernen; produktive Argumente erst danach anhängen	keine Bedeutung aus einzelnen Buchstaben dieses gelernten Körpers ableiten
SF0053	ches	N03_PARTITION	LEARNED_BODY	PROSE_ONLY	1	f82r	ABTEILEN	PARTITION oder PARTITION+TY	PARTITION	teilen	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	wie ein festes Teilungszeichen neben produktiven Mengenzeichen	E216	B2	Lektionswert zuerst lernen; produktive Argumente erst danach anhängen	keine Bedeutung aus einzelnen Buchstaben dieses gelernten Körpers ableiten
SF0056	chety	N03_PARTITION	LEARNED_BODY	PROSE_ONLY	1	f83r	ABTEILEN	PARTITION oder PARTITION+TY	PARTITION+TY	Teil abtrennen	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	wie ein festes Teilungszeichen neben produktiven Mengenzeichen	E311	B3	Lektionswert zuerst lernen; produktive Argumente erst danach anhängen	keine Bedeutung aus einzelnen Buchstaben dieses gelernten Körpers ableiten
SF0066	cho	N04_HO	LEARNED_BODY	PROSE_AND_ASTRO	4	f56r|f67r2|f69v	EINGANGSPOSTEN	HO; HO+L	HO	Eingangsposten oder Zutat	gemeinsamer Kern bleibt; Bild oder Diagramm konkretisiert den Gegenstand	wie ein gelernter Nomenklatorwert für den einzusetzenden Stoff oder Tabelleninput	E075	H5	Lektionswert zuerst lernen; produktive Argumente erst danach anhängen	keine Bedeutung aus einzelnen Buchstaben dieses gelernten Körpers ableiten
SF0090	chty	N03_PARTITION	LEARNED_BODY	PROSE_ONLY	1	f10r	ABTEILEN	PARTITION oder PARTITION+TY	PARTITION+TY	Teil abtrennen	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	wie ein festes Teilungszeichen neben produktiven Mengenzeichen	E004	H1	Lektionswert zuerst lernen; produktive Argumente erst danach anhängen	keine Bedeutung aus einzelnen Buchstaben dieses gelernten Körpers ableiten
SF0097	cphy	N02_CPH	LEARNED_BODY	PROSE_ONLY	1	f11r	ZWEITER_DURCHGANG	CPH+Y; Astro O+CPH+Y	CPH+Y	aktuellen Posten nachseihen	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	wie ein Kürzel für einen zweiten Arbeits- oder Lesedurchgang	E043	H3	Lektionswert zuerst lernen; produktive Argumente erst danach anhängen	keine Bedeutung aus einzelnen Buchstaben dieses gelernten Körpers ableiten
SF0106	dain	S01_DAIN	REGISTER_SPLIT	PROSE_AND_ASTRO	3	f67r2|f83r	PROSA_TUCH__ASTRO_PORTION	Prosa DAIN whole; Astro AIN	AIN	Portion	gemeinsamer Kern bleibt; Bild oder Diagramm konkretisiert den Gegenstand	wie ein gleiches Zeichen mit getrennten Fachregisterwerten	E327	B4	Lektionswert zuerst lernen; produktive Argumente erst danach anhängen	keine Bedeutung aus einzelnen Buchstaben dieses gelernten Körpers ableiten
SF0119	dchey	N05_DCHE	LEARNED_BODY	PROSE_ONLY	1	f10r	UNTERER_PFLANZENTEIL	DCHE+Y	DCHE+Y	Wurzel als aktueller Posten	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	wie ein bildregistergebundenes Kürzel für den am Bild gezeigten unteren Teil	E001	H1	Lektionswert zuerst lernen; produktive Argumente erst danach anhängen	keine Bedeutung aus einzelnen Buchstaben dieses gelernten Körpers ableiten
SF0120	dchol	N06_PREV	LEARNED_BODY	PROSE_ONLY	1	f11r	VORIGER_POSTEN	PREV+OL	PREV+OL	vorigen Posten fortsetzen	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	wie ein festes Wiederaufnahmezeichen: das Vorige weiter	E047	H3	Lektionswert zuerst lernen; produktive Argumente erst danach anhängen	keine Bedeutung aus einzelnen Buchstaben dieses gelernten Körpers ableiten
SF0123	dl	N11_DL	WHOLE_CARD	PROSE_ONLY	2	f81v	ZUSATZ	DL	LOCAL_WHOLE	Zusatz	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	wie ein Nomenklatorzeichen für einen lokal bekannten Zusatz	E112	B1	Lektionswert zuerst lernen; produktive Argumente erst danach anhängen	keine Bedeutung aus einzelnen Buchstaben dieses gelernten Körpers ableiten
SF0169	lshedy	N07_WASH	LEARNED_BODY	PROSE_ONLY	2	f81v	WASCHGANG	WASH+START oder WASH+CLOSE	WASH+CLOSE	waschen; Schluss	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	wie ein gelernter Arbeitskörper mit Anfangs- und Schlussform	E143	B1	Lektionswert zuerst lernen; produktive Argumente erst danach anhängen	keine Bedeutung aus einzelnen Buchstaben dieses gelernten Körpers ableiten
SF0170	lsho	N07_WASH	LEARNED_BODY	PROSE_ONLY	1	f81v	WASCHGANG	WASH+START oder WASH+CLOSE	WASH+START	Waschgang beginnen	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	wie ein gelernter Arbeitskörper mit Anfangs- und Schlussform	E141	B1	Lektionswert zuerst lernen; produktive Argumente erst danach anhängen	keine Bedeutung aus einzelnen Buchstaben dieses gelernten Körpers ableiten
SF0179	ocphy	N02_CPH	LEARNED_BODY	ASTRO_ONLY	1	f68r1	ZWEITER_DURCHGANG	CPH+Y; Astro O+CPH+Y	O+CPH_ASTRO+Y	aktuelle Grundauswahl	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	wie ein Kürzel für einen zweiten Arbeits- oder Lesedurchgang	A2:G055	A2_STAR_STATION_23	Lektionswert zuerst lernen; produktive Argumente erst danach anhängen	keine Bedeutung aus einzelnen Buchstaben dieses gelernten Körpers ableiten
SF0191	ody	S02_ODY	REGISTER_SPLIT	PROSE_AND_ASTRO	2	f55v|f69v	PROSA_KUEHLEN__ASTRO_MARKIEREN	Prosa ODY whole; Astro OD+Y	PROSE:ODY_WHOLE|ASTRO:OD+Y	diesen Posten eintragen	gemeinsamer Kern bleibt; Bild oder Diagramm konkretisiert den Gegenstand	wie ein Nomenklatorwert, der nur in der lokalen Tabelle produktiv zerfällt	E060	H4	Lektionswert zuerst lernen; produktive Argumente erst danach anhängen	keine Bedeutung aus einzelnen Buchstaben dieses gelernten Körpers ableiten
SF0264	os	S03_OS	REGISTER_SPLIT	PROSE_AND_ASTRO	3	f10r|f67r2	PROSA_GEFAESS__ASTRO_FELD	Prosa OS whole; Astro OS field	OS	FELD/RAHMEN	gemeinsamer Kern bleibt; Bild oder Diagramm konkretisiert den Gegenstand	wie ein homographes Fachkürzel in zwei Werkstattregistern	E005	H1	Lektionswert zuerst lernen; produktive Argumente erst danach anhängen	keine Bedeutung aus einzelnen Buchstaben dieses gelernten Körpers ableiten
SF0338	qokylddy	N08_LDDY	LEARNED_BODY	PROSE_ONLY	1	f83r	FESTMACHEN_UND_SCHLIESSEN	OK+Y+LDDY	OK+Y+LDDY	aktuellen Posten befestigen; Schluss	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	wie ein unteilbarer Werkstattbefehl für Befestigung samt Abschluss	E326	B4	Lektionswert zuerst lernen; produktive Argumente erst danach anhängen	keine Bedeutung aus einzelnen Buchstaben dieses gelernten Körpers ableiten
