teaching_order	lesson_id	lesson_kind	learned_value_de	registered_surfaces	surface_count	visible_group_count	pages	composition_rule	workshop_analogue_de	apprentice_recitation_de
1	N01_CFH	LEARNED_BODY	AUSWRINGEN	cfhy	1	1	f11r	CFH+Y	wie ein gelerntes Press- oder Auswringkürzel im Rezeptbuch	N01_CFH: AUSWRINGEN; Formen cfhy.
2	N02_CPH	LEARNED_BODY	ZWEITER_DURCHGANG	cphy|ocphy	2	2	f11r|f68r1	CPH+Y; Astro O+CPH+Y	wie ein Kürzel für einen zweiten Arbeits- oder Lesedurchgang	N02_CPH: ZWEITER_DURCHGANG; Formen cphy, ocphy.
3	N03_PARTITION	LEARNED_BODY	ABTEILEN	ches|chety|chty	3	3	f10r|f82r|f83r	PARTITION oder PARTITION+TY	wie ein festes Teilungszeichen neben produktiven Mengenzeichen	N03_PARTITION: ABTEILEN; Formen ches, chety, chty.
4	N04_HO	LEARNED_BODY	EINGANGSPOSTEN	cho|sho|tshol	3	7	f11r|f56r|f67r2|f69v	HO; HO+L	wie ein gelernter Nomenklatorwert für den einzusetzenden Stoff oder Tabelleninput	N04_HO: EINGANGSPOSTEN; Formen cho, sho, tshol.
5	N05_DCHE	LEARNED_BODY	UNTERER_PFLANZENTEIL	dchey	1	1	f10r	DCHE+Y	wie ein bildregistergebundenes Kürzel für den am Bild gezeigten unteren Teil	N05_DCHE: UNTERER_PFLANZENTEIL; Formen dchey.
6	N06_PREV	LEARNED_BODY	VORIGER_POSTEN	dchol|schol	2	2	f11r|f56r	PREV+OL	wie ein festes Wiederaufnahmezeichen: das Vorige weiter	N06_PREV: VORIGER_POSTEN; Formen dchol, schol.
7	N07_WASH	LEARNED_BODY	WASCHGANG	lshedy|lsho|rshedy	3	4	f81v|f82r	WASH+START oder WASH+CLOSE	wie ein gelernter Arbeitskörper mit Anfangs- und Schlussform	N07_WASH: WASCHGANG; Formen lshedy, lsho, rshedy.
8	N08_LDDY	LEARNED_BODY	FESTMACHEN_UND_SCHLIESSEN	qokylddy	1	1	f83r	OK+Y+LDDY	wie ein unteilbarer Werkstattbefehl für Befestigung samt Abschluss	N08_LDDY: FESTMACHEN_UND_SCHLIESSEN; Formen qokylddy.
9	N09_SK	LEARNED_BODY	AUSGIESSEN	skar	1	1	f83r	SK+AR	wie ein kurzes Ausgusszeichen mit sichtbarer Quellenadresse	N09_SK: AUSGIESSEN; Formen skar.
10	N10_DAN	LEARNED_BODY	ANWENDEN	sotodan	1	1	f56r	OT+DAN	wie ein gelerntes Applikationskürzel nach einem Reihenfolgenmarker	N10_DAN: ANWENDEN; Formen sotodan.
11	N11_DL	WHOLE_CARD	ZUSATZ	dl	1	2	f81v	DL	wie ein Nomenklatorzeichen für einen lokal bekannten Zusatz	N11_DL: ZUSATZ; Formen dl.
12	N12_TALAM	WHOLE_CARD	AM_ZIEL_VERWAHREN	talam	1	1	f55v	TALAM	wie eine ausgeschriebene feste Werkstattformel im Kürzelregister	N12_TALAM: AM_ZIEL_VERWAHREN; Formen talam.
13	S01_DAIN	REGISTER_SPLIT	PROSA_TUCH__ASTRO_PORTION	dain	1	3	f67r2|f83r	Prosa DAIN whole; Astro AIN	wie ein gleiches Zeichen mit getrennten Fachregisterwerten	S01_DAIN: PROSA_TUCH__ASTRO_PORTION; Formen dain.
14	S02_ODY	REGISTER_SPLIT	PROSA_KUEHLEN__ASTRO_MARKIEREN	ody	1	2	f55v|f69v	Prosa ODY whole; Astro OD+Y	wie ein Nomenklatorwert, der nur in der lokalen Tabelle produktiv zerfällt	S02_ODY: PROSA_KUEHLEN__ASTRO_MARKIEREN; Formen ody.
15	S03_OS	REGISTER_SPLIT	PROSA_GEFAESS__ASTRO_FELD	os	1	3	f10r|f67r2	Prosa OS whole; Astro OS field	wie ein homographes Fachkürzel in zwei Werkstattregistern	S03_OS: PROSA_GEFAESS__ASTRO_FELD; Formen os.
