fragment_id	source_case	domain	desk	page	record	surface_fragment	card_candidates	card_candidate_count	desk_candidates	desk_candidate_count	desk_resolves	page_candidates	page_candidate_count	page_resolves	record_candidates	record_candidate_count	record_resolves	minimum_context_level	may_insert_missing_cards	safe_owner_reading_de
C1_K1_01	C1	BIOLOGICAL	B_BATH_DESK	f81v	B1	qokaiin	C1|C3|C4|C5	4	C1	1	YES	C1	1	YES	C1	1	YES	DESK	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb B1 auf f81v; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K1_01	C1	HERBAL	P_PREPARATION_DESK	f10r	H1	qokaiin	C1|C3|C4|C5	4	C1|C3|C4|C5	4	NO	C1	1	YES	C1	1	YES	PAGE	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb H1 auf f10r; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K1_04	C1	BIOLOGICAL	B_BATH_DESK	f81v	B1	qokal	C1|C2|C3|C4	4	C1|C2	2	NO	C1	1	YES	C1	1	YES	PAGE	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb B1 auf f81v; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K1_04	C1	HERBAL	P_PREPARATION_DESK	f10r	H1	qokal	C1|C2|C3|C4	4	C1|C2|C3|C4	4	NO	C1|C2	2	NO	C1	1	YES	RECORD	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb H1 auf f10r; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K1_05	C1	BIOLOGICAL	B_BATH_DESK	f81v	B1	shey	C1|C3	2	C1	1	YES	C1	1	YES	C1	1	YES	DESK	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb B1 auf f81v; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K1_05	C1	HERBAL	P_PREPARATION_DESK	f10r	H1	shey	C1|C3	2	C1|C3	2	NO	C1	1	YES	C1	1	YES	PAGE	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb H1 auf f10r; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K1_06	C1	BIOLOGICAL	B_BATH_DESK	f81v	B1	shedy	C1|C3|C5	3	C1	1	YES	C1	1	YES	C1	1	YES	DESK	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb B1 auf f81v; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K1_06	C1	HERBAL	P_PREPARATION_DESK	f10r	H1	shedy	C1|C3|C5	3	C1|C3|C5	3	NO	C1	1	YES	C1	1	YES	PAGE	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb H1 auf f10r; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K2_03	C1	BIOLOGICAL	B_BATH_DESK	f81v	B1	qokaiin qokal	C1|C3|C4	3	C1	1	YES	C1	1	YES	C1	1	YES	DESK	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb B1 auf f81v; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K2_03	C1	HERBAL	P_PREPARATION_DESK	f10r	H1	qokaiin qokal	C1|C3|C4	3	C1|C3|C4	3	NO	C1	1	YES	C1	1	YES	PAGE	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb H1 auf f10r; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K2_04	C1	BIOLOGICAL	B_BATH_DESK	f81v	B1	qokaiin shey	C1|C3	2	C1	1	YES	C1	1	YES	C1	1	YES	DESK	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb B1 auf f81v; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K2_04	C1	HERBAL	P_PREPARATION_DESK	f10r	H1	qokaiin shey	C1|C3	2	C1|C3	2	NO	C1	1	YES	C1	1	YES	PAGE	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb H1 auf f10r; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K2_05	C1	BIOLOGICAL	B_BATH_DESK	f81v	B1	qokaiin shedy	C1|C3|C5	3	C1	1	YES	C1	1	YES	C1	1	YES	DESK	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb B1 auf f81v; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K2_05	C1	HERBAL	P_PREPARATION_DESK	f10r	H1	qokaiin shedy	C1|C3|C5	3	C1|C3|C5	3	NO	C1	1	YES	C1	1	YES	PAGE	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb H1 auf f10r; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K2_13	C1	BIOLOGICAL	B_BATH_DESK	f81v	B1	qokal shey	C1|C3	2	C1	1	YES	C1	1	YES	C1	1	YES	DESK	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb B1 auf f81v; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K2_13	C1	HERBAL	P_PREPARATION_DESK	f10r	H1	qokal shey	C1|C3	2	C1|C3	2	NO	C1	1	YES	C1	1	YES	PAGE	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb H1 auf f10r; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K2_14	C1	BIOLOGICAL	B_BATH_DESK	f81v	B1	qokal shedy	C1|C3	2	C1	1	YES	C1	1	YES	C1	1	YES	DESK	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb B1 auf f81v; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K2_14	C1	HERBAL	P_PREPARATION_DESK	f10r	H1	qokal shedy	C1|C3	2	C1|C3	2	NO	C1	1	YES	C1	1	YES	PAGE	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb H1 auf f10r; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K2_15	C1	BIOLOGICAL	B_BATH_DESK	f81v	B1	shey shedy	C1|C3	2	C1	1	YES	C1	1	YES	C1	1	YES	DESK	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb B1 auf f81v; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K2_15	C1	HERBAL	P_PREPARATION_DESK	f10r	H1	shey shedy	C1|C3	2	C1|C3	2	NO	C1	1	YES	C1	1	YES	PAGE	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb H1 auf f10r; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K3_08	C1	BIOLOGICAL	B_BATH_DESK	f81v	B1	qokaiin qokal shey	C1|C3	2	C1	1	YES	C1	1	YES	C1	1	YES	DESK	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb B1 auf f81v; keine ausgelassene Spezialkarte automatisch ergänzen
C1_K3_08	C1	HERBAL	P_PREPARATION_DESK	f10r	H1	qokaiin qokal shey	C1|C3	2	C1|C3	2	NO	C1	1	YES	C1	1	YES	PAGE	NO_NOT_UNLESS_COPY_DAMAGE_IS_INDEPENDENTLY_KNOWN	gemeinsamer Untergang innerhalb H1 auf f10r; keine ausgelassene Spezialkarte automatisch ergänzen
