form	hypothesis	role	origin	loci	status
aiin	Maßzahl Q	NUMBER	W02 common extension authored	f17v.7:7;f45v.6:2;f86v5.20:3;f86v5.20:9;f86v5.21:3;f86v5.21:8;f86v5.22:5;f86v5.23:3;f86v5.23:10;f86v5.24:2;f99r.49:8	UNCONFIRMED_ASSUMPTION
ain	Maßzahl P	NUMBER	W02 first paragraph authored	f6v.15:6	UNCONFIRMED_ASSUMPTION
al	davon	REFERENCE	W02 common extension authored	f86v5.18:7;f93r.11:6;f99r.50:9;f102v2.33:7	UNCONFIRMED_ASSUMPTION
ar	Teil	AMOUNT	W02 first paragraph authored	f6v.15:7;f9v.5:7;f23r.5:7;f24r.13:7;f86v5.20:2;f86v5.21:2;f86v5.25:3;f102v2.32:7;f102v2.37:2	UNCONFIRMED_ASSUMPTION
chaies	weich	STATE	W02 first paragraph authored	f6v.17:2	UNCONFIRMED_ASSUMPTION
char	Blütenanteil	MATERIAL	W02 first paragraph authored	f6v.11:2;f24r.2:2;f24r.14:4	UNCONFIRMED_ASSUMPTION
cheeor	geklärter Auszug	MATERIAL	W02 common extension authored	f17v.18:2;f102v2.32:9	UNCONFIRMED_ASSUMPTION
cheey	zerreibe fein	ACTION	W02 common extension authored	f24r.14:2;f86v5.23:8;f102v2.36:2;f102v2.38:2	UNCONFIRMED_ASSUMPTION
cheo	Zubereitung	MATERIAL	W02 common extension authored	f17v.15:4;f93r.27:2;f102v2.35:7	UNCONFIRMED_ASSUMPTION
cheol	flüssige Zubereitung	MATERIAL	W02 common extension authored	f24r.1:7;f93r.10:4	UNCONFIRMED_ASSUMPTION
cheor	Auszug	MATERIAL	W02 common extension authored	f17v.7:4;f17v.20:3;f24r.7:4;f24r.11:4;f102v2.32:2;f102v2.33:4;f102v2.39:2	UNCONFIRMED_ASSUMPTION
ches	stampfe	ACTION	W02 first paragraph authored	f6v.18:2	UNCONFIRMED_ASSUMPTION
chey	prüfe	ACTION	W02 common extension authored	f17v.19:2;f17v.22:3;f24r.5:4;f24r.13:4;f86v5.19:3;f93r.10:2;f102v2.37:3	UNCONFIRMED_ASSUMPTION
chkeey	zerreibe vollständig	ACTION	W02 common extension authored	f17v.7:2;f17v.23:1	UNCONFIRMED_ASSUMPTION
cho	Inneres	REGION	W02 common extension authored	f24r.5:2;f93r.6:4	UNCONFIRMED_ASSUMPTION
chockhy	vermische	MIX	W02 first paragraph authored	f6v.15:1	UNCONFIRMED_ASSUMPTION
chodaiin	Dosis Q des Trockenmaterials	MATERIAL_DOSE	W02 common extension authored	f17v.14:4;f93r.8:3;f93r.28:3	UNCONFIRMED_ASSUMPTION
chody	getrocknetes Material	MATERIAL	W02 common extension authored	f9v.6:4;f93r.3:6;f93r.5:2	UNCONFIRMED_ASSUMPTION
chol	trocken	STATE	W02 first paragraph authored	f6v.14:2;f9v.7:2;f9v.7:3;f9v.10:3;f17v.5:2;f17v.11:4;f17v.13:2;f17v.13:3;f17v.16:2;f17v.18:4;f17v.20:4;f19v.9:5;f22v.9:3;f23r.5:4;f23r.5:6;f24r.18:2;f24r.18:4;f24r.19:3;f45v.9:3;f93r.2:3;f93r.6:6;f93r.31:2;f99r.48:4;f106r.9:2	UNCONFIRMED_ASSUMPTION
choldar	Trockenanteil	MATERIAL	W02 first paragraph authored	f6v.20:2	UNCONFIRMED_ASSUMPTION
chor	Blüten	MATERIAL	W02 first paragraph authored	f6v.8:2;f6v.9:3;f6v.13:4;f6v.21:2;f9v.12:3;f17v.1:2;f17v.12:6;f19v.9:3;f19v.10:2;f22v.7:2;f24r.1:4;f24r.10:3;f45v.11:2	UNCONFIRMED_ASSUMPTION
chory	frische Blüten	MATERIAL	W02 common extension authored	f22v.7:4	UNCONFIRMED_ASSUMPTION
choy	grob	STATE	W02 common extension authored	f9v.6:2;f17v.12:2	UNCONFIRMED_ASSUMPTION
chr	Blütenrest	MATERIAL	W02 common extension authored	f17v.18:6;f93r.14:4	UNCONFIRMED_ASSUMPTION
chshoty	kühl-feuchtes Material	MATERIAL	W02 common extension authored	f9v.11:2	UNCONFIRMED_ASSUMPTION
chy	heiß	STATE	W02 first paragraph authored	f6v.15:4;f6v.19:3;f9v.9:2;f9v.10:4	UNCONFIRMED_ASSUMPTION
ckhal	presse aus	ACTION	W02 first paragraph authored	f6v.17:3	UNCONFIRMED_ASSUMPTION
ckhy	stampfe	ACTION	W02 common extension authored	f9v.12:2;f17v.5:6;f24r.3:5;f24r.12:5;f102v2.31:2	UNCONFIRMED_ASSUMPTION
cthal	Kräuterstück	MATERIAL	W02 common extension authored	f24r.3:2;f24r.14:5	UNCONFIRMED_ASSUMPTION
cthar	kleine Kräuterportion	MATERIAL	W02 first paragraph authored	f6v.16:2;f24r.4:3	UNCONFIRMED_ASSUMPTION
ctheey	Krautzubereitung	MATERIAL	W02 common extension authored	f17v.22:6;f99r.47:3	UNCONFIRMED_ASSUMPTION
ctho	Krautmehl	MATERIAL	W02 first paragraph authored	f6v.11:4;f93r.29:3	UNCONFIRMED_ASSUMPTION
cthodam	Kräuterrückstand	MATERIAL	W02 first paragraph authored	f6v.17:4	UNCONFIRMED_ASSUMPTION
cthol	Krautpulver	MATERIAL	W02 first paragraph authored	f6v.7:4;f6v.14:3;f17v.13:4;f17v.16:4;f19v.14:3;f24r.7:5;f93r.20:2;f93r.30:3;f93r.31:3	UNCONFIRMED_ASSUMPTION
cthom	Kräuterportion	MATERIAL	W02 first paragraph authored	f6v.9:4	UNCONFIRMED_ASSUMPTION
cthor	Krautanteil	MATERIAL	W02 common extension authored	f17v.17:6;f17v.19:4;f19v.11:5;f24r.6:2	UNCONFIRMED_ASSUMPTION
