paragraph	form	meaning	mentions	all_assumed_operations	SAME_objects	NEW_objects	operation_debts	identity_selected
f102v2|f102v2.30-f102v2.39	cheor	Auszug	f102v2.32:2;f102v2.33:4;f102v2.39:2		1	3		False
f102v2|f102v2.30-f102v2.39	sho	Flüssigkeit	f102v2.33:2;f102v2.38:7	f102v2.33:1=erhitze den Auszug@f102v2.33:2;f102v2.38:4=erhitze den Auszug@f102v2.38:7;f102v2.38:8=erwärme erneut@f102v2.38:7	1	2	f102v2.33:1:EXTRACT_PATIENT_NOT_BOUND;f102v2.38:4:UNREAD_BETWEEN:f102v2.38:6;EXTRACT_PATIENT_NOT_BOUND	False
f17v|f17v.1-f17v.23	cheor	Auszug	f17v.7:4;f17v.20:3	f17v.7:2=zerreibe vollständig@f17v.7:4;f17v.8:1=erhitze anhaltend@f17v.7:4;f17v.20:2=erwärme vorsichtig@f17v.20:3	1	2	f17v.7:2:UNREAD_BETWEEN:f17v.7:3;f17v.8:1:IMPLICIT_SUBJECT_CONTINUATION	False
f17v|f17v.1-f17v.23	chor	Blüten	f17v.1:2;f17v.12:6		1	2		False
f17v|f17v.1-f17v.23	cthol	Krautpulver	f17v.13:4;f17v.16:4		1	2		False
f17v|f17v.1-f17v.23	cthor	Krautanteil	f17v.17:6;f17v.19:4	f17v.17:3=lasse stehen@f17v.17:6;f17v.19:2=prüfe@f17v.19:4;f17v.20:1=erwärme erneut@f17v.19:4	1	2	f17v.17:3:UNREAD_BETWEEN:f17v.17:5;f17v.19:2:UNREAD_BETWEEN:f17v.19:3;f17v.20:1:UNREAD_BETWEEN:f17v.19:5;IMPLICIT_SUBJECT_CONTINUATION	False
f17v|f17v.1-f17v.23	cthy	Kraut	f17v.15:2;f17v.22:7		1	2		False
f17v|f17v.1-f17v.23	keeor	Feinauszug	f17v.2:2;f17v.22:4	f17v.22:3=prüfe@f17v.22:4	1	2		False
f17v|f17v.1-f17v.23	okal	Ausgangsmaterial	f17v.2:6;f17v.3:3		1	2		False
f17v|f17v.1-f17v.23	okeol	warme Flüssigkeit	f17v.14:5;f17v.16:3		1	2		False
f17v|f17v.1-f17v.23	okeor	warmer Auszug	f17v.10:2;f17v.23:2	f17v.23:1=zerreibe vollständig@f17v.23:2	1	2		False
f17v|f17v.1-f17v.23	okol	Grundansatz	f17v.2:4;f17v.10:4		1	2		False
f17v|f17v.1-f17v.23	otor	kühler Anteil	f17v.15:5;f17v.18:1		1	2		False
f19v|f19v.8-f19v.14	chor	Blüten	f19v.9:3;f19v.10:2		1	2		False
f22v|f22v.6-f22v.16	cthy	Kraut	f22v.8:2;f22v.12:3;f22v.15:2	f22v.8:1=seihe ab@f22v.8:2;f22v.15:4=mische ein@f22v.15:2	1	3	f22v.8:1:LIQUID_INPUT_NOT_BOUND;f22v.15:4:UNREAD_BETWEEN:f22v.15:3	False
