target	paragraph	lines	groups	hypothetical	unread	IT_host	row_status
f6v.8	f6v|f6v.6-f6v.21	16	71	67	4	f6v|f6v.6-f6v.21	recorded
f9v.11	f9v|f9v.5-f9v.12	8	48	26	22	f9v|f9v.5-f9v.12	recorded
f17v.15	f17v|f17v.1-f17v.23	23	135	82	53	f17v|f17v.1-f17v.23	recorded
f19v.9	f19v|f19v.8-f19v.14	7	41	21	20	f19v|f19v.8-f19v.13	recorded
f22v.7	f22v|f22v.6-f22v.16	11	44	30	14	f22v|f22v.6-f22v.15	recorded
f23r.5	f23r|f23r.4-f23r.5	2	21	11	10	f23r|f23r.4-f23r.5	recorded
f24r.8	f24r|f24r.1-f24r.20	20	110	70	40	f24r|f24r.1-f24r.19	recorded
f45v.9	f45v|f45v.5-f45v.11	7	48	22	26	f45v|f45v.8-f45v.11	recorded
f86v5.20	f86v5|f86v5.18-f86v5.25	8	76	43	33	f86v5|f86v5.18-f86v5.25	recorded
f93r.28	f93r|f93r.1-f93r.32	32	152	77	75	f93r|f93r.1-f93r.32	recorded
f99r.52	f99r|f99r.47-f99r.52	6	43	21	22	f99r|f99r.47-f99r.52	recorded
f102v2.35	f102v2|f102v2.30-f102v2.39	10	93	50	43	f102v2|f102v2.30-f102v2.36	recorded
f106r.9	f106r|f106r.8-f106r.9	2	18	10	8	f106r|f106r.8-f106r.9	recorded
