paragraph	mention	form	meaning	earlier_exact_mentions	identity	row_status
f6v|f6v.6-f6v.21	f6v.6:2	shocthol	benetztes Krautpulver		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.7:4	cthol	Krautpulver		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.8:2	chor	Blüten		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.9:3	chor	Blüten	f6v.8:2	SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.9:4	cthom	Kräuterportion		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.10:3	kchdy	feines Pulver		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.11:2	char	Blütenanteil		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.11:3	otam	Ansatzmasse		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.11:4	ctho	Krautmehl		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.12:4	cthy	Kraut		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.13:2	cthy	Kraut	f6v.12:4	SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.13:4	chor	Blüten	f6v.8:2;f6v.9:3	SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.14:3	cthol	Krautpulver	f6v.7:4	SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.16:2	cthar	kleine Kräuterportion		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.16:4	cthy	Kraut	f6v.12:4;f6v.13:2	SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.17:4	cthodam	Kräuterrückstand		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.18:1	ytchocthol	benetztes Krautmehl		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.19:1	ocholy	trockenes Feinmehl		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.20:1	dchor	Blütenportion		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.20:2	choldar	Trockenanteil		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.20:3	okol	Grundansatz		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f6v|f6v.6-f6v.21	f6v.21:2	chor	Blüten	f6v.8:2;f6v.9:3;f6v.13:4	SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f9v|f9v.5-f9v.12	f9v.6:1	odol	abgemessene Zubereitung		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f9v|f9v.5-f9v.12	f9v.6:4	chody	getrocknetes Material		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f9v|f9v.5-f9v.12	f9v.7:6	otal	kühles Ausgangsmaterial		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f9v|f9v.5-f9v.12	f9v.10:2	kchol	Trockenmaterial		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f9v|f9v.5-f9v.12	f9v.11:2	chshoty	kühl-feuchtes Material		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f9v|f9v.5-f9v.12	f9v.12:3	chor	Blüten		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.1:2	chor	Blüten		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.2:2	keeor	Feinauszug		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.2:4	okol	Grundansatz		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.2:6	okal	Ausgangsmaterial		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.3:3	okal	Ausgangsmaterial	f17v.2:6	SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.4:1	kchor	trockene Blüten		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.5:4	tchol	getrockneter Anteil		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.6:3	okaiin	Dosis des Grundansatzes		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.6:5	otaiin	Dosis des kühlen Ansatzes		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.7:4	cheor	Auszug		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.9:3	kchol	Trockenmaterial		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.10:2	okeor	warmer Auszug		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.10:4	okol	Grundansatz	f17v.2:4	SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.12:6	chor	Blüten	f17v.1:2	SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.13:4	cthol	Krautpulver		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.13:6	sheol	feuchtes Gemenge		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.14:4	chodaiin	Dosis Q des Trockenmaterials		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.14:5	okeol	warme Flüssigkeit		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.15:2	cthy	Kraut		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.15:4	cheo	Zubereitung		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.15:5	otor	kühler Anteil		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.15:6	oteol	kühle Flüssigkeit		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.16:3	okeol	warme Flüssigkeit	f17v.14:5	SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.16:4	cthol	Krautpulver	f17v.13:4	SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.17:6	cthor	Krautanteil		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.18:1	otor	kühler Anteil	f17v.15:5	SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.18:2	cheeor	geklärter Auszug		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.18:6	chr	Blütenrest		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.19:4	cthor	Krautanteil	f17v.17:6	SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.20:3	cheor	Auszug	f17v.7:4	SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.20:5	sho	Flüssigkeit		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.22:4	keeor	Feinauszug	f17v.2:2	SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.22:6	ctheey	Krautzubereitung		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.22:7	cthy	Kraut	f17v.15:2	SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f17v|f17v.1-f17v.23	f17v.23:2	okeor	warmer Auszug	f17v.10:2	SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f19v|f19v.8-f19v.14	f19v.9:3	chor	Blüten		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f19v|f19v.8-f19v.14	f19v.10:2	chor	Blüten	f19v.9:3	SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f19v|f19v.8-f19v.14	f19v.11:1	qotol	kalter Ansatz		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f19v|f19v.8-f19v.14	f19v.11:5	cthor	Krautanteil		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f19v|f19v.8-f19v.14	f19v.11:6	otam	Ansatzmasse		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f19v|f19v.8-f19v.14	f19v.12:5	otaiin	Dosis des kühlen Ansatzes		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f19v|f19v.8-f19v.14	f19v.13:7	ytaiin	weitere Dosis des kühlen Ansatzes		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f19v|f19v.8-f19v.14	f19v.14:3	cthol	Krautpulver		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f22v|f22v.6-f22v.16	f22v.6:3	tchor	verarbeitetes Blütenmaterial		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f22v|f22v.6-f22v.16	f22v.6:4	otaiin	Dosis des kühlen Ansatzes		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f22v|f22v.6-f22v.16	f22v.7:2	chor	Blüten		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f22v|f22v.6-f22v.16	f22v.7:3	qokchol	erwärmtes Trockenmaterial		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f22v|f22v.6-f22v.16	f22v.7:4	chory	frische Blüten		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f22v|f22v.6-f22v.16	f22v.8:2	cthy	Kraut		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f22v|f22v.6-f22v.16	f22v.8:3	qokol	erwärmter Grundansatz		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f22v|f22v.6-f22v.16	f22v.9:2	shody	benetztes Material		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f22v|f22v.6-f22v.16	f22v.9:4	tchol	getrockneter Anteil		SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
f22v|f22v.6-f22v.16	f22v.9:5	otaiin	Dosis des kühlen Ansatzes	f22v.6:4	SAME_FORM_NOT_PROVEN_SAME_MATERIAL_INSTANCE	recorded
