target	paragraph	W01_matches_raw	earlier_assumed_actions	later_assumed_actions	B_take_patient	B_take_patient_form	B_debts	A_additive_anchor	row_status
f6v.8	f6v|f6v.6-f6v.21	True	f6v.7:1;f6v.7:2	f6v.8:3;f6v.8:4;f6v.9:1;f6v.10:1;f6v.10:2;f6v.12:3;f6v.14:1;f6v.15:1;f6v.16:1;f6v.17:3;f6v.18:2;f6v.19:2;f6v.21:3	f6v.8:2	chor		earlier instruction inventory; meaningful common aim remains assumed	recorded
f9v.11	f9v|f9v.5-f9v.12	True	f9v.5:1;f9v.5:3;f9v.7:1;f9v.8:3	f9v.12:2	f9v.11:2	chshoty		earlier instruction inventory; meaningful common aim remains assumed	recorded
f17v.15	f17v|f17v.1-f17v.23	False	f17v.5:1;f17v.5:6;f17v.7:2;f17v.8:1	f17v.17:3;f17v.19:2;f17v.20:1;f17v.20:2;f17v.22:3;f17v.23:1	f17v.15:2	cthy		earlier instruction inventory; meaningful common aim remains assumed	recorded
f19v.9	f19v|f19v.8-f19v.14	False	f19v.8:3		f19v.9:3	chor		earlier instruction inventory; meaningful common aim remains assumed	recorded
f22v.7	f22v|f22v.6-f22v.16	True		f22v.8:1;f22v.10:1;f22v.15:4	f22v.7:2	chor		earlier instruction inventory; meaningful common aim remains assumed	recorded
f23r.5	f23r|f23r.4-f23r.5	False	f23r.4:5		f23r.5:2	qokchol		earlier instruction inventory; meaningful common aim remains assumed	recorded
f24r.8	f24r|f24r.1-f24r.20	True	f24r.1:6;f24r.3:5;f24r.5:4;f24r.6:5	f24r.12:1;f24r.12:2;f24r.12:5;f24r.13:4;f24r.14:2	f24r.8:6	qokeol	UNREAD_BETWEEN:f24r.8:3,f24r.8:4	earlier instruction inventory; meaningful common aim remains assumed	recorded
f45v.9	f45v|f45v.5-f45v.11	True		f45v.9:4	f45v.9:2	cthy		earlier instruction inventory; meaningful common aim remains assumed	recorded
f86v5.20	f86v5|f86v5.18-f86v5.25	True	f86v5.19:3	f86v5.21:5;f86v5.21:9;f86v5.22:2;f86v5.23:8	f86v5.20:5	otaiin	UNREAD_BETWEEN:f86v5.20:4	earlier instruction inventory; meaningful common aim remains assumed	recorded
f93r.28	f93r|f93r.1-f93r.32	True	f93r.10:1;f93r.10:2;f93r.12:1;f93r.13:2;f93r.16:2;f93r.27:1	f93r.30:2	f93r.28:2	odol		earlier instruction inventory; meaningful common aim remains assumed	recorded
f99r.52	f99r|f99r.47-f99r.52	True	f99r.49:4;f99r.50:2;f99r.50:3;f99r.51:7		f99r.52:2	ols		earlier instruction inventory; meaningful common aim remains assumed	recorded
f102v2.35	f102v2|f102v2.30-f102v2.39	True	f102v2.30:7;f102v2.31:2;f102v2.33:1	f102v2.35:5;f102v2.35:6;f102v2.36:2;f102v2.36:3;f102v2.36:8;f102v2.36:9;f102v2.37:3;f102v2.37:8;f102v2.38:2;f102v2.38:4;f102v2.38:8	f102v2.35:2	sheol		earlier instruction inventory; meaningful common aim remains assumed	recorded
f106r.9	f106r|f106r.8-f106r.9	True	f106r.8:6;f106r.8:7		f106r.9:3	qokain		earlier instruction inventory; meaningful common aim remains assumed	recorded
