paragraph	locus	group_index	raw	A	B	role_A	status	row_status
f6v|f6v.6-f6v.21	f6v.6	1	tchody	Bereitung	Bereitung	HEADING	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.6	2	shocthol	benetztes Krautpulver	benetztes Krautpulver	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.6	3	cho{cthh}y	[ungelesen: cho{cthh}y]	[ungelesen: cho{cthh}y]	OPEN	UNREAD	recorded
f6v|f6v.6-f6v.21	f6v.6	4	s	jeweils	jeweils	DISTRIBUTIVE	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.7	1	ychos	zerkleinere	zerkleinere	ACTION	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.7	2	ychol	trockne	trockne	ACTION	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.7	3	daiin	Dosis Q	Dosis Q	AMOUNT	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.7	4	cthol	Krautpulver	Krautpulver	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.7	5	dol	Portion	Portion	AMOUNT	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.8	1	ychor	ferner	nimm	LINK	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.8	2	chor	Blüten	Blüten	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.8	3	okchey	zerstoße fein	zerstoße fein	ACTION	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.8	4	qokom	erwärme portionsweise	erwärme portionsweise	ACTION	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.9	1	oeeo	miss ab	miss ab	ACTION	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.9	2	dal	Maß	Maß	AMOUNT	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.9	3	chor	Blüten	Blüten	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.9	4	cthom	Kräuterportion	Kräuterportion	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.9	5	s	jeweils	jeweils	DISTRIBUTIVE	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.10	1	qokchod	trockne vollständig	trockne vollständig	ACTION	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.10	2	ychear	vermische	vermische	MIX	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.10	3	kchdy	feines Pulver	feines Pulver	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.11	1	lor	mit	mit	RELATION	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.11	2	char	Blütenanteil	Blütenanteil	MATERIAL	ASSUMED	recorded
