day	day_theme	lesson_id	lesson_title_de	minutes	teaching_material	master_demonstration_de	apprentice_completion_de	required_previous_lesson	mode
1	Sehen und gliedern	L01	Bildbesitzer lesen	100	OWNER und Seitenbild	zehn Bilder einem Besitzerregister zuordnen	zehn Besitzer ohne Text benennen	NONE	SHOW_SPEAK_COPY_CORRECT
1	Sehen und gliedern	L02	Record und Feld	100	Record, Feld, Zelle	elf Prosa-Records in 135 Felder teilen	fünf zufällige Feldgrenzen richtig markieren	L01	SHOW_SPEAK_COPY_CORRECT
1	Sehen und gliedern	L03	Zeilen sind Raum	100	Zeilenumbruch und Fortführung	achtzehn zeilenübergreifende Aussagen laut lesen	kein Zeilenende als automatischen Schluss behandeln	L02	SHOW_SPEAK_COPY_CORRECT
2	Portable Kerne	L04	Drei Mengenachsen	100	AIIN, AIN, IIN	Sollwert, Portion und Stufe an Minimalpaaren unterscheiden	zwölf Karten ohne Verwechslung lesen	L03	SHOW_SPEAK_COPY_CORRECT
2	Portable Kerne	L05	Drei Richtungsachsen	100	AL, AR, AIR	Ziel, Quelle und Lauf unter drei Besitzern sprechen	neun Besitzerwechsel richtig expandieren	L04	SHOW_SPEAK_COPY_CORRECT
2	Portable Kerne	L06	Ordnung und Referenz	100	OK, OL, OT, Y, CLOSE	ansetzen, fortsetzen, folgenden Posten, aktuellen Posten und Schluss unterscheiden	zehn kurze Ketten korrekt ausführen	L05	SHOW_SPEAK_COPY_CORRECT
3	Prozess und Grad	L07	Prozesskörper I	100	CHD, CTH, CKH, CKHE	umsetzen, bereitstellen, durchleiten und trennen	acht Prozesskarten zum richtigen Gerät legen	L06	SHOW_SPEAK_COPY_CORRECT
3	Prozess und Grad	L08	Prozesskörper II	100	CHK, SHED, SOLK, CHEEY	wärmen, absetzen, auffangen und sichtbares Ergebnis lesen	vier Owner-Expansionen je Kern sprechen	L07	SHOW_SPEAK_COPY_CORRECT
3	Prozess und Grad	L09	Gebundene Grade	100	E, EE, EEE mit Y oder CLOSE	kurz, länger und vollständig ausführen	acht Gradfehler erkennen und berichtigen	L08	SHOW_SPEAK_COPY_CORRECT
4	Nomenklator	L10	Gelernte Fachkörper	100	N01 bis N10	zehn Fachkörper aus dem kleinen Nomenklator abschreiben	jede Form mit Kurzfunktion aufsagen	L09	SHOW_SPEAK_COPY_CORRECT
4	Nomenklator	L11	Ganzkarten	100	DL und TALAM	Zusatz und am Ziel verwahren in realem Kontext lesen	beide ohne Buchstabenzerlegung erkennen	L10	SHOW_SPEAK_COPY_CORRECT
4	Nomenklator	L12	Registerspaltungen	100	DAIN, ODY, OS	Prosa- und Astro-Wert getrennt einsetzen	sechs gemischte Beispiele richtig entscheiden	L11	SHOW_SPEAK_COPY_CORRECT
5	Gedächtnis und Makros	L13	Vierfach-Merktafel	100	OWNER, ACTIVE, TARGET, PREVIOUS	vier Kerben auf Wachstafel führen	zehn Aussagen ohne Referentenverlust ausführen	L12	SHOW_SPEAK_COPY_CORRECT
5	Gedächtnis und Makros	L14	Siebzehn Wendungen	100	E01 bis E17	recurrent card idioms als ganze Handgriffe sprechen	alle siebzehn aus Tuplekarten zusammensetzen	L13	SHOW_SPEAK_COPY_CORRECT
5	Gedächtnis und Makros	L15	Zwanzig Prozessmakros	100	M01 bis M20	mehrere Klauseln zu eingeübten Griffen bündeln	zehn Programme wieder in Klauseln entfalten	L14	SHOW_SPEAK_COPY_CORRECT
6	Schreiben und korrigieren	L16	Vier Schreiberhände	100	S1 bis S4	dieselbe Tuplefolge in vier registrierten Oberflächen schreiben	sechs Folgen bedeutungsgleich kopieren	L15	SHOW_SPEAK_COPY_CORRECT
6	Schreiben und korrigieren	L17	Fehlerbuch	100	E01 bis E08 Fehlerklassen	32 konkrete Fehler lesen und korrigieren	acht neue Einzelfehler sofort benennen	L16	SHOW_SPEAK_COPY_CORRECT
6	Schreiben und korrigieren	L18	Vorwärtsdiktat	100	X29 bis X48	neue Befehle aus Owner, Merktafel und Idiomen schreiben	vier ungesehene Befehle in zwei Händen ausgeben	L17	SHOW_SPEAK_COPY_CORRECT
7	Himmelsinstrumente	L19	f67 Doppelrad	100	lokale Räder und Module	Rad und sichtbare Adresse vor Wert auswählen	zehn lokale Stellen ohne Rotation lesen	L18	SHOW_SPEAK_COPY_CORRECT
7	Himmelsinstrumente	L20	f68 Sternatlas	100	mehrere Paneele und Sternplätze	lokales Paneel vor Sternstelle setzen	f68r1.14 wählen und sprechen	L19	SHOW_SPEAK_COPY_CORRECT
7	Himmelsinstrumente	L21	f69 Dreifachtafel	100	linkes, mittleres, rechtes Instrument	drei Namensräume getrennt halten	keinen f68-f69-Schlüssel erfinden	L20	SHOW_SPEAK_COPY_CORRECT
8	Gesellenstück	L22	H3 Pflanzen- und Filtergang	100	vier WHAT-Aussagen	alle H3-Schritte mit Besitzer und Merktafel lesen	H3 ohne Wörterbuchverlust zurücksprechen	L21	SHOW_SPEAK_COPY_CORRECT
8	Gesellenstück	L23	B2 Stationsgang	100	zweiundzwanzig HOW-Aussagen	Ownerwechsel und Zielstellen durch den ganzen Stationsgang führen	B2 mit allen Wechseln ausführen	L22	SHOW_SPEAK_COPY_CORRECT
8	Gesellenstück	L24	Vollständiger Auftrag	100	WHEN-WHAT-HOW D2	f68r1.14, H3 und B2 als Meisterauftrag verbinden	26 Schritte lesen und einen davon in vier Händen schreiben	L23	SHOW_SPEAK_COPY_CORRECT
