prediction_id	component_parse	predicted_reading_de	variant_rank	predicted_surface	renderer_rule_id	licensed_context	observed_surface_collision	collision_card_ids	status
P01	OT+E+Y	danach · kurz · dies	1	otey	R06	DEFAULT_OR_MEDIAL	NO	NONE	PREDICTED_NOT_SIGHTED
P01	OT+E+Y	danach · kurz · dies	2	qotey	R06	Q_ENTRY_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
P02	CHK+E+DY	wärmen · kurz · Schluss	1	chekdy	R08	GRADE_INTERPOSED	NO	NONE	PREDICTED_NOT_SIGHTED
P02	CHK+E+DY	wärmen · kurz · Schluss	2	chkedy	R08	GRADE_POSTPOSED	NO	NONE	PREDICTED_NOT_SIGHTED
P03	SOLK+E+DY	auffangen · kurz · Schluss	1	solkedy	R09	FULL_SOLK	NO	NONE	PREDICTED_NOT_SIGHTED
P03	SOLK+E+DY	auffangen · kurz · Schluss	2	olkedy	R09	INITIAL_S_DROPPED	NO	NONE	PREDICTED_NOT_SIGHTED
P04	AIR	Lauf	1	air	R01	DEFAULT	NO	NONE	PREDICTED_NOT_SIGHTED
P04	AIR	Lauf	2	dair	R01	D_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
P04	AIR	Lauf	3	sair	R01	S_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
P04	AIR	Lauf	5	tair	R01	T_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
P04	AIR	Lauf	6	cheair	R01	CHE_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
P05	OK+EEE+Y	ansetzen · vollständig · dies	1	okeeey	R05	DEFAULT_OR_MEDIAL	NO	NONE	PREDICTED_NOT_SIGHTED
P05	OK+EEE+Y	ansetzen · vollständig · dies	2	qokeeey	R05	Q_ENTRY_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
P06	OT+AIN	danach · Portion	1	otain	R03	DEFAULT_OR_MEDIAL	NO	NONE	PREDICTED_NOT_SIGHTED
P06	OT+AIN	danach · Portion	2	qotain	R03	Q_ENTRY_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
P06	OT+AIN	danach · Portion	3	sotain	R03	S_POSITIONAL_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
P07	SH+EEE+DY	halten · vollständig · Schluss	1	sheeedy	R07	DEFAULT	NO	NONE	PREDICTED_NOT_SIGHTED
P07	SH+EEE+DY	halten · vollständig · Schluss	2	dsheeedy	R07	D_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
P07	SH+EEE+DY	halten · vollständig · Schluss	3	tsheeedy	R07	T_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
P08	CHK+EEE+DY	wärmen · vollständig · Schluss	1	cheeekdy	R08	GRADE_INTERPOSED	NO	NONE	PREDICTED_NOT_SIGHTED
P08	CHK+EEE+DY	wärmen · vollständig · Schluss	2	chkeeedy	R08	GRADE_POSTPOSED	NO	NONE	PREDICTED_NOT_SIGHTED
P09	OT+AIR	danach · Lauf	1	otair	R03	DEFAULT_OR_MEDIAL	NO	NONE	PREDICTED_NOT_SIGHTED
P09	OT+AIR	danach · Lauf	2	qotair	R03	Q_ENTRY_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
P09	OT+AIR	danach · Lauf	3	sotair	R03	S_POSITIONAL_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
P10	OT+EEE+DY	danach · vollständig · Schluss	1	oteeedy	R06	DEFAULT_OR_MEDIAL	NO	NONE	PREDICTED_NOT_SIGHTED
P10	OT+EEE+DY	danach · vollständig · Schluss	2	qoteeedy	R06	Q_ENTRY_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
P11	SH+EEE+Y	halten · vollständig · dies	1	sheeey	R07	DEFAULT	NO	NONE	PREDICTED_NOT_SIGHTED
P11	SH+EEE+Y	halten · vollständig · dies	2	dsheeey	R07	D_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
P11	SH+EEE+Y	halten · vollständig · dies	3	tsheeey	R07	T_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
P12	SOLK+EEE+DY	auffangen · vollständig · Schluss	1	solkeeedy	R09	FULL_SOLK	NO	NONE	PREDICTED_NOT_SIGHTED
P12	SOLK+EEE+DY	auffangen · vollständig · Schluss	2	olkeeedy	R09	INITIAL_S_DROPPED	NO	NONE	PREDICTED_NOT_SIGHTED
P13	CHK+EEE+Y	wärmen · vollständig · dies	1	cheeeky	R08	GRADE_INTERPOSED	NO	NONE	PREDICTED_NOT_SIGHTED
P13	CHK+EEE+Y	wärmen · vollständig · dies	2	chkeeey	R08	GRADE_POSTPOSED	NO	NONE	PREDICTED_NOT_SIGHTED
P14	OL+AIIN	fortsetzen · Maß	1	olaiin	R04	DEFAULT_OR_MEDIAL	NO	NONE	PREDICTED_NOT_SIGHTED
P14	OL+AIIN	fortsetzen · Maß	2	qolaiin	R04	Q_ENTRY_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
P15	OL+AL	fortsetzen · Zielstelle	1	olal	R04	DEFAULT_OR_MEDIAL	NO	NONE	PREDICTED_NOT_SIGHTED
P15	OL+AL	fortsetzen · Zielstelle	2	qolal	R04	Q_ENTRY_WRAPPER	NO	NONE	PREDICTED_NOT_SIGHTED
