owner	selected_local_role	statement_count	statement_ids	why	strongest_rival
B2_UPPER_PAIRED_BASINS_AND_CYLINDER	ZUBEREITUNG_SERVICE	6	B2-S001|B2-S002|B2-S003|B2-S004|B2-S005|B2-S006	Doppelbecken und Zylinder zeigen Arbeitsgefäße, aber keinen bestimmten Körperkontakt.	KOERPER_BAD_ANWENDUNG
B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	ZUBEREITUNG_SERVICE	4	B2-S007|B2-S008|B2-S009|B2-S010	Gerät und Einzelknoten tragen Durchlauf-, Absetz- und Klarlaufhandlungen.	KOERPER_BAD_ANWENDUNG
B2_MIDDLE_RIGHT_RECLINING_FIGURE_VESSEL	KOERPER_BAD_ANWENDUNG	2	B2-S011|B2-S012	Eine liegende Figur befindet sich unmittelbar im eigenen kleinen Becken.	ZUBEREITUNG_SERVICE
B2_LOWER_GREEN_MULTI_FIGURE_POOL	KOERPER_BAD_ANWENDUNG	3	B2-S012|B2-S013|B2-S014	Mehrere Figuren besitzen gemeinsam das grüne Becken.	ZUBEREITUNG_SERVICE
B2_LOWER_POOL_EDGE_STATIONS	KOERPER_BAD_ANWENDUNG	8	B2-S015|B2-S016|B2-S017|B2-S018|B2-S019|B2-S020|B2-S021|B2-S022	Die Randstationen bedienen das sichtbar figurenbezogene untere Becken.	ZUBEREITUNG_SERVICE
B3_UPPER_MARGIN_OPEN_FAN_STATION	ZUBEREITUNG_SERVICE	4	B3-S001|B3-S002|B3-S003|B3-S004	Offene Fächerstation ohne eindeutigen Körperkontakt.	KOERPER_BAD_ANWENDUNG
B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	ZUBEREITUNG_SERVICE	5	B3-S005|B3-S006|B3-S007|B3-S008|B3-S009	Rundes Einzelgefäß mit Dosier- und Umsetzschritten.	KOERPER_BAD_ANWENDUNG
B3_LOWER_MARGIN_BASKET_VESSEL_STATION	ZUBEREITUNG_SERVICE	7	B3-S010|B3-S011|B3-S012|B3-S013|B3-S014|B3-S015|B3-S016	Korb-/Randgefäß eignet sich als Vorbereitungs- oder Siebstation.	KOERPER_BAD_ANWENDUNG
B3_LOCAL_TRANSITION_BATCH_FROM_EXEMPLAR	ZUBEREITUNG_SERVICE	11	B3-S016|B3-S017|B3-S018|B3-S019|B3-S020|B3-S021|B3-S022|B3-S023|B3-S024|B3-S025|B3-S026	Kein Bildkontakt; der Batch muss aus dem gelernten Werkstattexemplar kommen.	KOERPER_BAD_ANWENDUNG
B3_MAIN_ARCH_LINKED_PAIR_WITH_INCOMING_BATCH	KOERPER_BAD_ANWENDUNG	1	B3-S026	Der Ansatz wird ausdrücklich an das sichtbar gekoppelte Hauptpaar übergeben.	ZUBEREITUNG_SERVICE
B3_MAIN_ARCH_LINKED_PAIR	KOERPER_BAD_ANWENDUNG	8	B3-S027|B3-S028|B3-S029|B3-S030|B3-S031|B3-S032|B3-S033|B3-S034	Das lokal gekoppelte Figurenpaar ist der stärkste Körper-/Badebesitzer.	ZUBEREITUNG_SERVICE
