statement_order	statement_id	record_unit_id	page	owner_sequence	visible_surface_sequence	medical_bath_expansion_de	service_maintenance_expansion_de	selected_local_role	selected_reading_de	selection_reason	connection_rule
41	B2-S001	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	dchedy	Körper-/Badelesung: Für die Bad- oder Behandlungsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze um und schließe.	Service-/Betriebslesung: Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze um und schließe.	ZUBEREITUNG_SERVICE	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze um und schließe.	Doppelbecken und Zylinder zeigen Arbeitsgefäße, aber keinen bestimmten Körperkontakt.	SINGLE_LOCAL_OWNER
42	B2-S002	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	qolchedy	Körper-/Badelesung: Für die Bad- oder Behandlungsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Führe weiter und schließe.	Service-/Betriebslesung: Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Führe weiter und schließe.	ZUBEREITUNG_SERVICE	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Führe weiter und schließe.	Doppelbecken und Zylinder zeigen Arbeitsgefäße, aber keinen bestimmten Körperkontakt.	SINGLE_LOCAL_OWNER
43	B2-S003	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	qokain dy qokeedy	Körper-/Badelesung: Für die Bad- oder Behandlungsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Gib eine Portion zu, setze den Posten länger an und schließe.	Service-/Betriebslesung: Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Gib eine Portion zu, setze den Posten länger an und schließe.	ZUBEREITUNG_SERVICE	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Gib eine Portion zu, setze den Posten länger an und schließe.	Doppelbecken und Zylinder zeigen Arbeitsgefäße, aber keinen bestimmten Körperkontakt.	SINGLE_LOCAL_OWNER
44	B2-S004	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	qokal lcheckhy lched qokeey lcheckhedy	Körper-/Badelesung: Für die Bad- oder Behandlungsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe.	Service-/Betriebslesung: Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe.	ZUBEREITUNG_SERVICE	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe.	Doppelbecken und Zylinder zeigen Arbeitsgefäße, aber keinen bestimmten Körperkontakt.	SINGLE_LOCAL_OWNER
45	B2-S005	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	Körper-/Badelesung: Für die Bad- oder Behandlungsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	Service-/Betriebslesung: Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	ZUBEREITUNG_SERVICE	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	Doppelbecken und Zylinder zeigen Arbeitsgefäße, aber keinen bestimmten Körperkontakt.	SINGLE_LOCAL_OWNER
46	B2-S006	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oteey qokal sheckhy qoky	Körper-/Badelesung: Für die Bad- oder Behandlungsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.	Service-/Betriebslesung: Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.	ZUBEREITUNG_SERVICE	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.	Doppelbecken und Zylinder zeigen Arbeitsgefäße, aber keinen bestimmten Körperkontakt.	SINGLE_LOCAL_OWNER
47	B2-S007	B2	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	dshedy	Körper-/Badelesung: Für die Badansatz des linken Mittelgeräts mit seinem Einzelknoten: Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe.	Service-/Betriebslesung: Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe.	ZUBEREITUNG_SERVICE	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe.	Gerät und Einzelknoten tragen Durchlauf-, Absetz- und Klarlaufhandlungen.	SINGLE_LOCAL_OWNER
48	B2-S008	B2	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	sotaiin qokar shedy	Körper-/Badelesung: Für die Badansatz des linken Mittelgeräts mit seinem Einzelknoten: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe.	Service-/Betriebslesung: Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe.	ZUBEREITUNG_SERVICE	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe.	Gerät und Einzelknoten tragen Durchlauf-, Absetz- und Klarlaufhandlungen.	SINGLE_LOCAL_OWNER
49	B2-S009	B2	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	solshedy	Körper-/Badelesung: Für die Badansatz des linken Mittelgeräts mit seinem Einzelknoten: Lass weiter absetzen und schließe.	Service-/Betriebslesung: Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Lass weiter absetzen und schließe.	ZUBEREITUNG_SERVICE	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Lass weiter absetzen und schließe.	Gerät und Einzelknoten tragen Durchlauf-, Absetz- und Klarlaufhandlungen.	SINGLE_LOCAL_OWNER
50	B2-S010	B2	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	qokeey qoky ls cheey	Körper-/Badelesung: Für die Badansatz des linken Mittelgeräts mit seinem Einzelknoten: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.	Service-/Betriebslesung: Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.	ZUBEREITUNG_SERVICE	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.	Gerät und Einzelknoten tragen Durchlauf-, Absetz- und Klarlaufhandlungen.	SINGLE_LOCAL_OWNER
51	B2-S011	B2	f82r	B2_MIDDLE_RIGHT_RECLINING_FIGURE_VESSEL	okain char okain qokeedy	Körper-/Badelesung: Für die liegende Figur im kleinen Becken: Nimm aus dem gesetzten Ansatz eine Portion, gib eine weitere Portion zu, lasse sie länger einwirken und schließe den Schritt.	Service-/Betriebslesung: Für die liegende Figur im kleinen Becken: Nimm aus dem gesetzten Ansatz eine Portion, gib eine weitere Portion zu, lasse sie länger einwirken und schließe den Schritt.	KOERPER_BAD_ANWENDUNG	Für die liegende Figur im kleinen Becken: Nimm aus dem gesetzten Ansatz eine Portion, gib eine weitere Portion zu, lasse sie länger einwirken und schließe den Schritt.	Eine liegende Figur befindet sich unmittelbar im eigenen kleinen Becken.	SINGLE_LOCAL_OWNER
52	B2-S012	B2	f82r	B2_MIDDLE_RIGHT_RECLINING_FIGURE_VESSEL|B2_LOWER_GREEN_MULTI_FIGURE_POOL	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	Körper-/Badelesung: Ziehe den Anwendungsanteil aus dem kleinen Liegebecken ab. Wechsle ohne behauptete Leitungsverbindung zum grünen Mehrpersonenbecken: Nimm dort den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe ihn nach Sollmaß ab, vollende den Posten und schließe.	Service-/Betriebslesung: Ziehe den Arbeitsanteil aus dem kleinen Liegebecken ab. Wechsle ohne behauptete Leitungsverbindung zum grünen Sammelbecken: Nimm dort den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe ihn nach Sollmaß ab, vollende den Posten und schließe.	KOERPER_BAD_ANWENDUNG	Ziehe den Anwendungsanteil aus dem kleinen Liegebecken ab. Wechsle ohne behauptete Leitungsverbindung zum grünen Mehrpersonenbecken: Nimm dort den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe ihn nach Sollmaß ab, vollende den Posten und schließe.	Eine liegende Figur befindet sich unmittelbar im eigenen kleinen Becken. | Mehrere Figuren besitzen gemeinsam das grüne Becken.	EXPLICIT_OWNER_RESET__NO_CARRY
53	B2-S013	B2	f82r	B2_LOWER_GREEN_MULTI_FIGURE_POOL	lchedy	Körper-/Badelesung: Für den Ansatz des grünen Mehrpersonenbeckens: Führe ab und schließe.	Service-/Betriebslesung: Für den Ansatz des grünen Sammelbeckens: Führe ab und schließe.	KOERPER_BAD_ANWENDUNG	Für den Ansatz des grünen Mehrpersonenbeckens: Führe ab und schließe.	Mehrere Figuren besitzen gemeinsam das grüne Becken.	SINGLE_LOCAL_OWNER
54	B2-S014	B2	f82r	B2_LOWER_GREEN_MULTI_FIGURE_POOL	lar	Körper-/Badelesung: Für den Ansatz des grünen Mehrpersonenbeckens: Führe von dort ab.	Service-/Betriebslesung: Für den Ansatz des grünen Sammelbeckens: Führe von dort ab.	KOERPER_BAD_ANWENDUNG	Für den Ansatz des grünen Mehrpersonenbeckens: Führe von dort ab.	Mehrere Figuren besitzen gemeinsam das grüne Becken.	SINGLE_LOCAL_OWNER
55	B2-S015	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	tshey qokeedy	Körper-/Badelesung: Für die Rand- und Servicebadansatz des unteren Beckens: Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.	Service-/Betriebslesung: Für die Rand- und Servicecharge des unteren Beckens: Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.	KOERPER_BAD_ANWENDUNG	Für die Rand- und Servicebadansatz des unteren Beckens: Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.	Die Randstationen bedienen das sichtbar figurenbezogene untere Becken.	SINGLE_LOCAL_OWNER
56	B2-S016	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	cheal lchedar ches aiin oteey qokaiin okey pchedy	Körper-/Badelesung: Für die Rand- und Servicebadansatz des unteren Beckens: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe.	Service-/Betriebslesung: Für die Rand- und Servicecharge des unteren Beckens: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe.	KOERPER_BAD_ANWENDUNG	Für die Rand- und Servicebadansatz des unteren Beckens: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe.	Die Randstationen bedienen das sichtbar figurenbezogene untere Becken.	SINGLE_LOCAL_OWNER
57	B2-S017	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	rsheal daldy	Körper-/Badelesung: Für die Rand- und Servicebadansatz des unteren Beckens: Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.	Service-/Betriebslesung: Für die Rand- und Servicecharge des unteren Beckens: Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.	KOERPER_BAD_ANWENDUNG	Für die Rand- und Servicebadansatz des unteren Beckens: Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.	Die Randstationen bedienen das sichtbar figurenbezogene untere Becken.	SINGLE_LOCAL_OWNER
58	B2-S018	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	qokeedy	Körper-/Badelesung: Für die Rand- und Servicebadansatz des unteren Beckens: Setze länger an und schließe.	Service-/Betriebslesung: Für die Rand- und Servicecharge des unteren Beckens: Setze länger an und schließe.	KOERPER_BAD_ANWENDUNG	Für die Rand- und Servicebadansatz des unteren Beckens: Setze länger an und schließe.	Die Randstationen bedienen das sichtbar figurenbezogene untere Becken.	SINGLE_LOCAL_OWNER
59	B2-S019	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	rshedy	Körper-/Badelesung: Für die Rand- und Servicebadansatz des unteren Beckens: Führe den Waschgang aus und schließe.	Service-/Betriebslesung: Für die Rand- und Servicecharge des unteren Beckens: Führe den Waschgang aus und schließe.	KOERPER_BAD_ANWENDUNG	Für die Rand- und Servicebadansatz des unteren Beckens: Führe den Waschgang aus und schließe.	Die Randstationen bedienen das sichtbar figurenbezogene untere Becken.	SINGLE_LOCAL_OWNER
