card_no	surfaces	graphic_component_parse	semantic_component_parse	consolidated_short_default_de	component_count	slot_signature	distinct_slots	repeated_slot	silent_fill_needed	occurrences	records	composition_status
PROC001	dchey	CH+E+Y	CH+E+Y	ABZIEHEN·KURZ·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H1	COMPOSITIONAL
PROC002	cthoor	CTH+O+OR	CTH+O+OR	BEREIT·GANG·ANSATZ	3	STATE>OBJECT_MATERIAL>OBJECT_MATERIAL	2	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	H1	COMPOSITIONAL
PROC003	char|dar|sar	AR	AR	QUELLE	1	SOURCE_PATH_TARGET	1	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|NONACTION_ARGUMENT_OR_STATE_CARD	5	H1|H2|B1|B2|B3	COMPOSITIONAL
PROC004	chety|chty	T+Y	T+Y	EINTRAGEN·DIES	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	2	H1|B3	COMPOSITIONAL
PROC005	os	OS	OS	FACH	1	SOURCE_PATH_TARGET	1	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|NONACTION_ARGUMENT_OR_STATE_CARD	1	H1	LEARNED_WHOLE_CARD
PROC006	chair	CH+AIR	CH+AIR	ABZIEHEN·LAUF	2	ACTION>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	H1	COMPOSITIONAL
PROC007	otytchol	OT+Y+T+CH+OL	OT+Y+T+CH+OL	DANACH·DIES·EINTRAGEN·ABZIEHEN·FORTSETZEN	5	SEQUENCE>OBJECT_MATERIAL>ACTION>ACTION>SEQUENCE	3	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H1	COMPOSITIONAL
PROC008	choky|oky|qoky	OK+Y	OK+Y	ANSETZEN·DIES	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	10	H1|H5|B1|B2|B3|B4	COMPOSITIONAL
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	AIIN	MASS	1	QUANTITY_STAGE	1	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	20	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6	COMPOSITIONAL
PROC010	etyd	E+T+Y	E+T+Y	KURZ·EINTRAGEN·DIES	3	GRADE>ACTION>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H1	COMPOSITIONAL
PROC011	chokchy|okchy|qokchy	OK+Y	OK+Y	ANSETZEN·DIES	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	3	H1|H5	COMPOSITIONAL
PROC012	qotchol	OT+CH+OL	OT+CH+OL	DANACH·ABZIEHEN·FORTSETZEN	3	SEQUENCE>ACTION>SEQUENCE	2	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H1	COMPOSITIONAL
PROC013	cheol|chol|ol|qol|sol|tol	OL	OL	FORTSETZEN	1	SEQUENCE	1	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	19	H1|H2|B1|B3|B4|B5|B6	COMPOSITIONAL
PROC014	checthy|cthy|shcthy	CTH+Y	CTH+Y	BEREIT·DIES	2	STATE>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	7	H1|H2|H3|B3	COMPOSITIONAL
PROC015	ycheor	Y+CH+E+OR	Y+CH+E+OR	DIES·ABZIEHEN·KURZ·ANSATZ	4	OBJECT_MATERIAL>ACTION>GRADE>OBJECT_MATERIAL	3	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H2	COMPOSITIONAL
PROC016	chor|or|shor|sor	OR	OR	ANSATZ	1	OBJECT_MATERIAL	1	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	7	H2|H4|B3|B4	COMPOSITIONAL
PROC017	cthaiin	CTH+AIIN	CTH+AIIN	BEREIT·MASS	2	STATE>QUANTITY_STAGE	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	H2	COMPOSITIONAL
PROC018	qoctholy	O+CTH+OL+Y	O+CTH+OL+Y	GANG·BEREIT·FORTSETZEN·DIES	4	OBJECT_MATERIAL>STATE>SEQUENCE>OBJECT_MATERIAL	3	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	H2	COMPOSITIONAL
PROC019	chey|chy|dy|shy|sy|y	Y	Y	DIES	1	OBJECT_MATERIAL	1	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	18	H2|H3|H4|B1|B2|B3|B4|B6	COMPOSITIONAL
PROC020	otchor|qotchor	OT+CH+OR	OT+CH+OR	DANACH·ABZIEHEN·ANSATZ	3	SEQUENCE>ACTION>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	2	H2|H5	COMPOSITIONAL
PROC021	otol	OT+OL	OT+OL	DANACH·FORTSETZEN	2	SEQUENCE>SEQUENCE	1	YES	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	H2	COMPOSITIONAL
PROC022	cholor|olor	OL+OR	OL+OR	FORTSETZEN·ANSATZ	2	SEQUENCE>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	2	H2|B1	COMPOSITIONAL
