slot_signature	card_types	events	card_ids	example_surfaces	example_short_defaults_de	teaching_formula_de
ACTION>OBJECT_MATERIAL	12	34	PROC004|PROC008|PROC011|PROC028|PROC030|PROC035|PROC042|PROC084|PROC087|PROC095|PROC133|PROC140	chety|chty|choky|oky|qoky|chokchy|okchy|qokchy|cfhy|cphy	EINTRAGEN·DIES | ANSETZEN·DIES | ANSETZEN·DIES | AUSWRINGEN·DIES | HINEIN·DIES	HANDLUNG → GEGENSTAND
OBJECT_MATERIAL	3	29	PROC016|PROC019|PROC052	chor|or|shor|sor|chey|chy|dy|shy|sy|y|cho|sho	ANSATZ | DIES | GABE	GEGENSTAND
ACTION>GRADE>CLOSE	8	27	PROC067|PROC086|PROC098|PROC100|PROC111|PROC119|PROC132|PROC139	qokedy|lshedy|olkeedy|solkeedy|qokeedy|dshedy	ANSETZEN·KURZ·SCHLUSS | WASCHEN·KURZ·SCHLUSS | AUFFANGEN·LANG·SCHLUSS | ANSETZEN·LANG·SCHLUSS | HALTEN·KURZ·SCHLUSS	HANDLUNG → GRAD → SCHLUSS
ACTION>GRADE>OBJECT_MATERIAL	14	27	PROC001|PROC031|PROC046|PROC059|PROC083|PROC085|PROC090|PROC092|PROC107|PROC118|PROC122|PROC157|PROC164|PROC170	dchey|cheey|shey|cheeky|kchey|cheky	ABZIEHEN·KURZ·DIES | HALTEN·LANG·DIES | WAERMEN·LANG·DIES | ZUFUEHREN·KURZ·DIES | WAERMEN·KURZ·DIES	HANDLUNG → GRAD → GEGENSTAND
ACTION>QUANTITY_STAGE	7	23	PROC024|PROC038|PROC069|PROC080|PROC105|PROC147|PROC151	kaiiin|okaiin|qokaiin|chkain|kain|okain|qokain|solkaiin	ZUFUEHREN·STUFE | ANSETZEN·MASS | ZUFUEHREN·PORTION | ANSETZEN·PORTION | AUFFANGEN·MASS	HANDLUNG → MENGE_STUFE
QUANTITY_STAGE	2	22	PROC009|PROC156	aiin|chaiin|daiin|saiin|taiin|dain	MASS | PORTION	MENGE_STUFE
SEQUENCE	3	22	PROC013|PROC034|PROC115	cheol|chol|ol|qol|sol|tol|dchol|schol|ls	FORTSETZEN | FORTSETZEN | FORTSETZEN	FOLGE
ACTION>CLOSE	4	19	PROC076|PROC078|PROC094|PROC108	dchedy|schedy|tchedy|cheedy|shedy|tedy|dchdy|ldy	UMSETZEN·SCHLUSS | ABSETZEN·SCHLUSS | UMSETZEN·SCHLUSS | FUEHREN·SCHLUSS	HANDLUNG → SCHLUSS
ACTION>SOURCE_PATH_TARGET	12	18	PROC006|PROC048|PROC062|PROC068|PROC081|PROC113|PROC121|PROC138|PROC142|PROC150|PROC165|PROC168	chair|okal|qokal|kchal|kair|ral	ABZIEHEN·LAUF | ANSETZEN·ZIEL | ZUFUEHREN·ZIEL | ZUFUEHREN·LAUF | KUEHLEN·ZIEL	HANDLUNG → ADRESSE
SOURCE_PATH_TARGET	3	16	PROC003|PROC005|PROC055	char|dar|sar|os|al|chal|cheal|dal|sal|tal	QUELLE | FACH | ZIEL	ADRESSE
ACTION>ACTION>CLOSE	5	15	PROC082|PROC091|PROC120|PROC125|PROC128	qokchdy|okchedy|qokchedy|lchedy|pchedy|rshedy	ANSETZEN·UMSETZEN·SCHLUSS | ANSETZEN·UMSETZEN·SCHLUSS | FUEHREN·UMSETZEN·SCHLUSS | HINEIN·UMSETZEN·SCHLUSS | KUEHLEN·ABSETZEN·SCHLUSS	HANDLUNG → HANDLUNG → SCHLUSS
STATE>OBJECT_MATERIAL	1	7	PROC014	checthy|cthy|shcthy	BEREIT·DIES	ZUSTAND → GEGENSTAND
SEQUENCE>ACTION>CLOSE	3	6	PROC079|PROC145|PROC166	olchedy|qolchedy|otchedy|qotchedy|otchdy	FORTSETZEN·UMSETZEN·SCHLUSS | DANACH·UMSETZEN·SCHLUSS | DANACH·UMSETZEN·SCHLUSS	FOLGE → HANDLUNG → SCHLUSS
SEQUENCE>OBJECT_MATERIAL	4	6	PROC022|PROC036|PROC065|PROC154	cholor|olor|qotchy|otchey|qolchey	FORTSETZEN·ANSATZ | DANACH·DIES | DANACH·DIES | FORTSETZEN·DIES	FOLGE → GEGENSTAND
ACTION>SEQUENCE	5	5	PROC037|PROC054|PROC071|PROC160|PROC167	okchol|kchol|rol|qokol|lol	ANSETZEN·FORTSETZEN | ZUFUEHREN·FORTSETZEN | KUEHLEN·FORTSETZEN | ANSETZEN·FORTSETZEN | FUEHREN·FORTSETZEN	HANDLUNG → FOLGE
SOURCE_PATH_TARGET>OBJECT_MATERIAL	2	5	PROC075|PROC137	chckhy|shckhy|chary	DURCHLASS·DIES | QUELLE·DIES	ADRESSE → GEGENSTAND
ACTION	3	4	PROC043|PROC058|PROC072	talam|sh|dl	VERWAHREN | HALTEN | FUEHREN	HANDLUNG
ACTION>SOURCE_PATH_TARGET>GRADE>CLOSE	2	4	PROC099|PROC103	shckhedy|lcheckhedy	HALTEN·DURCHLASS·KURZ·SCHLUSS | FUEHREN·DURCHLASS·KURZ·SCHLUSS	HANDLUNG → ADRESSE → GRAD → SCHLUSS
ACTION>SOURCE_PATH_TARGET>OBJECT_MATERIAL	4	4	PROC101|PROC104|PROC172|PROC173	lcheckhy|qokaly|raly|ldalor	FUEHREN·DURCHLASS·DIES | ANSETZEN·ZIEL·DIES | KUEHLEN·ZIEL·DIES | FUEHREN·ZIEL·ANSATZ	HANDLUNG → ADRESSE → GEGENSTAND
