statement_id	page	record	owner_de	event_count	surface_sequence	card_slot_signatures	sequence_slots	object_slots	quantity_slots	address_slots	action_slots	grade_slots	state_slots	close_slots	concrete_case_expansion_de
H1-S001	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	10	dchey cthoor char chty os chair otytchol oky daiin etyd	ACTION>GRADE>OBJECT_MATERIAL | STATE>OBJECT_MATERIAL>OBJECT_MATERIAL | SOURCE_PATH_TARGET | ACTION>OBJECT_MATERIAL | SOURCE_PATH_TARGET | ACTION>SOURCE_PATH_TARGET | SEQUENCE>OBJECT_MATERIAL>ACTION>ACTION>SEQUENCE | ACTION>OBJECT_MATERIAL | QUANTITY_STAGE | GRADE>ACTION>OBJECT_MATERIAL	2	7	1	3	7	2	1	0	Nimm von der abgebildeten Pflanze einen Teil kurz ab. Der Ansatz ist bereit: übertrage davon in das Arbeitsfach, lass es ablaufen, trage es ein, nimm es wieder ab, gib es in den Ansatz und trage es nach Maß ein.
H1-S002	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	4	qokchy qotchol chol cthy	ACTION>OBJECT_MATERIAL | SEQUENCE>ACTION>SEQUENCE | SEQUENCE | STATE>OBJECT_MATERIAL	3	2	0	0	2	0	1	0	Gib den nächsten Posten in denselben Ansatz, nimm ihn wieder ab und fahre fort, sobald er bereit ist.
H2-S001	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	OBJECT_MATERIAL>ACTION>GRADE>OBJECT_MATERIAL | STATE>OBJECT_MATERIAL | OBJECT_MATERIAL | STATE>QUANTITY_STAGE | OBJECT_MATERIAL>STATE>SEQUENCE>OBJECT_MATERIAL | OBJECT_MATERIAL | OBJECT_MATERIAL | QUANTITY_STAGE | OBJECT_MATERIAL	1	9	2	0	1	1	3	0	Zieh den bereitgelegten Posten ab; ordne ihn dem Ansatz und dem Maß zu und führe den Gang mit diesem Posten weiter, bis er bereit ist.
H2-S002	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	8	qotchor chor otol chol cholor chol daiin dar	SEQUENCE>ACTION>OBJECT_MATERIAL | OBJECT_MATERIAL | SEQUENCE>SEQUENCE | SEQUENCE | SEQUENCE>OBJECT_MATERIAL | SEQUENCE | QUANTITY_STAGE | SOURCE_PATH_TARGET	6	3	1	1	1	0	0	0	Zieh danach vom fortgeführten Ansatz nach Maß davon ab und führe denselben Ansatz weiter.
H2-S003	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	7	oykchor shor chor chy kaiiin dy chodaiin	OBJECT_MATERIAL>OBJECT_MATERIAL>ACTION>OBJECT_MATERIAL | OBJECT_MATERIAL | OBJECT_MATERIAL | OBJECT_MATERIAL | ACTION>QUANTITY_STAGE | OBJECT_MATERIAL | ACTION>OBJECT_MATERIAL>QUANTITY_STAGE	0	8	2	0	3	0	0	0	Gib es dem Ansatz zweimal zu und zieh danach den nächsten Posten ab.
H3-S001	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	7	tshol schoal cfhy shfydaiin cphy shey tchody	ACTION>ACTION>SEQUENCE | ACTION>OBJECT_MATERIAL>SOURCE_PATH_TARGET | ACTION>OBJECT_MATERIAL | ACTION>OBJECT_MATERIAL>QUANTITY_STAGE | ACTION>OBJECT_MATERIAL | ACTION>GRADE>OBJECT_MATERIAL | ACTION>ACTION>OBJECT_MATERIAL>CLOSE	1	6	1	1	9	1	0	1	Trage den Blütenstoff ein und halte ihn am Ort; wringe ihn aus, lass ihn ziehen, gib ihn hinein, lass ihn nochmals ziehen und trage den Abzug zum Schluss ein.
H3-S002	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	1	shoyty	ACTION>OBJECT_MATERIAL>OBJECT_MATERIAL>ACTION>OBJECT_MATERIAL	0	3	0	0	2	0	0	0	Halte den nächsten Posten und trage ihn in denselben Gang ein.
H3-S003	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	5	dchol chy kchy dy daiin	SEQUENCE | OBJECT_MATERIAL | ACTION>OBJECT_MATERIAL | OBJECT_MATERIAL | QUANTITY_STAGE	1	3	1	0	1	0	0	0	Gib davon nach Maß weiter zu.
H3-S004	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	4	qotchy okchol cthy dy	SEQUENCE>OBJECT_MATERIAL | ACTION>SEQUENCE | STATE>OBJECT_MATERIAL | OBJECT_MATERIAL	2	3	0	0	1	0	1	0	Setze danach diesen Posten weiter ein und führe ihn fort, bis er bereit ist.
H4-S001	f55v	H4	abgebildete breitblättrige rispige Pflanze	5	qokaiin chaiin ykain ykan ody	ACTION>QUANTITY_STAGE | QUANTITY_STAGE | OBJECT_MATERIAL>ACTION>QUANTITY_STAGE | OBJECT_MATERIAL>ACTION>QUANTITY_STAGE | OBJECT_MATERIAL>CLOSE	0	3	4	0	3	0	0	1	Setze nach Maß an, gib dosiert und nochmals zu und schließe diesen Gang.
