fusion_unit_order	fusion_unit_id	statement_id	record_unit_id	page	host_event_id	member_event_ids	member_surfaces	member_atomic_defaults	operation_chain_de	item_values_de	source_value_de	run_value_de	target_value_de	measure_values_de	grade_values_de	state_values_de	close	literal_workshop_clause_de	contains_resolved_forward_material
1	FU001	H1-S001	H1	f10r	E002	E001|E002|E003	dchey cthoor char	Wurzel+Posten | bereit+Ansatz | Quelle	bereithalten	Wurzel+Posten+Ansatz	Quelle	NONE	NONE	NONE	NONE	bereit	NO	Vorgang=bereithalten; Posten=Wurzel+Posten+Ansatz; Quelle=gesetzt; Zustand=bereit	NO
2	FU002	H1-S001	H1	f10r	E004	E004|E005	chty os	teilen+Teil | Gefäß	teilen	Teil+Gefäß	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=teilen; Posten=Teil+Gefäß	NO
3	FU003	H1-S001	H1	f10r	E007	E006|E007	chair otytchol	Lauf | danach+Teil+weiter	folgen→weiterführen	Teil	NONE	Lauf	NONE	NONE	NONE	NONE	NO	Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter; Posten=Teil; Lauf=gesetzt	NO
4	FU004	H1-S001	H1	f10r	E008	E008|E009|E010	oky daiin etyd	ansetzen+Posten | Sollmaß | kurz+Teil	ansetzen	Posten+Teil	NONE	NONE	NONE	Sollmaß	kurz	NONE	NO	Vorgang=ansetzen; Posten=Posten+Teil; Wert=Sollmaß; Grad=kurz	NO
5	FU005	H1-S002	H1	f10r	E011	E011	qokchy	ansetzen+Posten	ansetzen	Posten	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=ansetzen; Posten=Posten	NO
6	FU006	H1-S002	H1	f10r	E012	E012	qotchol	danach+weiter	folgen→weiterführen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter	NO
7	FU007	H1-S002	H1	f10r	E013	E013	chol	weiter	weiterführen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter	NO
8	FU008	H1-S002	H1	f10r	E014	E014	cthy	bereit+Posten	bereithalten	Posten	NONE	NONE	NONE	NONE	NONE	bereit	NO	Vorgang=bereithalten; Posten=Posten; Zustand=bereit	NO
9	FU009	H2-S001	H2	f10r	E016	E015|E016	ycheor cthy	Posten+Auszug+Ansatz | bereit+Posten	bereithalten	Posten+Auszug+Ansatz	NONE	NONE	NONE	NONE	NONE	bereit	NO	Vorgang=bereithalten; Posten=Posten+Auszug+Ansatz; Zustand=bereit	NO
10	FU010	H2-S001	H2	f10r	E018	E017|E018	chor cthaiin	Ansatz | bereit+Sollmaß	bereithalten	Ansatz	NONE	NONE	NONE	Sollmaß	NONE	bereit	NO	Vorgang=bereithalten; Posten=Ansatz; Wert=Sollmaß; Zustand=bereit	YES
11	FU011	H2-S001	H2	f10r	E019	E019|E020|E021|E022|E023	qoctholy dy chy taiin shy	bereit+weiter+Posten | Posten | Posten | Sollmaß | Posten	bereithalten→weiterführen	Posten	NONE	NONE	NONE	Sollmaß	NONE	bereit	NO	Vorgang=bereithalten→weiterführen; Reihenfolge=weiter; Posten=Posten; Wert=Sollmaß; Zustand=bereit	NO
12	FU012	H2-S002	H2	f10r	E026	E024|E025|E026	qotchor chor otol	danach+Ansatz | Ansatz | danach+weiter	folgen→weiterführen	Ansatz	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter; Posten=Ansatz	NO
13	FU013	H2-S002	H2	f10r	E027	E027	chol	weiter	weiterführen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter	NO
14	FU014	H2-S002	H2	f10r	E028	E028	cholor	weiter+Ansatz	weiterführen	Ansatz	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter; Posten=Ansatz	NO
15	FU015	H2-S002	H2	f10r	E029	E029|E030|E031	chol daiin dar	weiter | Sollmaß | Quelle	weiterführen	NONE	Quelle	NONE	NONE	Sollmaß	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter; Quelle=gesetzt; Wert=Sollmaß	NO
16	FU016	H2-S003	H2	f10r	E032	E032|E033|E034|E035|E036|E037|E038	oykchor shor chor chy kaiiin dy chodaiin	Posten+bearbeiten+Ansatz | Ansatz | Ansatz | Posten | Stufe | Posten | Zutat+Sollmaß	bearbeiten→zugeben	Posten+Ansatz+Zutat	NONE	NONE	NONE	Stufe+Sollmaß	NONE	NONE	NO	Vorgang=bearbeiten→zugeben; Posten=Posten+Ansatz+Zutat; Wert=Stufe+Sollmaß	NO
17	FU017	H3-S001	H3	f11r	E039	E039	tshol	Zutat+abführen	zugeben→abführen	Zutat	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=zugeben→abführen; Posten=Zutat	NO
18	FU018	H3-S001	H3	f11r	E041	E040|E041	schoal cfhy	Zutat+Ziel | auswringen+Posten	zugeben→auswringen	Zutat+Posten	NONE	NONE	Ziel	NONE	NONE	NONE	NO	Vorgang=zugeben→auswringen; Posten=Zutat+Posten; Ziel=gesetzt	YES
19	FU019	H3-S001	H3	f11r	E042	E042	shfydaiin	halten+Sollmaß	halten	NONE	NONE	NONE	NONE	Sollmaß	NONE	NONE	NO	Vorgang=halten; Wert=Sollmaß	NO
20	FU020	H3-S001	H3	f11r	E043	E043|E044|E045	cphy shey tchody	nachseihen+Posten | Ergebnis | Zutat+Schluss	nachseihen→zugeben	Posten+Ergebnis+Zutat	NONE	NONE	NONE	NONE	NONE	Ergebnis	YES	Vorgang=nachseihen→zugeben; Posten=Posten+Ergebnis+Zutat; Zustand=Ergebnis; Schluss	NO
21	FU021	H3-S002	H3	f11r	E046	E046	shoyty	Zutat+Posten+Teil	zugeben	Zutat+Posten+Teil	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=zugeben; Posten=Zutat+Posten+Teil	NO
22	FU022	H3-S003	H3	f11r	E049	E047|E048|E049|E050|E051	dchol chy kchy dy daiin	vorher | Posten | bearbeiten+Posten | Posten | Sollmaß	bearbeiten	Vorposten+Posten	NONE	NONE	NONE	Sollmaß	NONE	NONE	NO	Vorgang=bearbeiten; Reihenfolge=vorher; Posten=Vorposten+Posten; Wert=Sollmaß	NO
23	FU023	H3-S004	H3	f11r	E053	E052|E053	qotchy okchol	danach+Posten | ansetzen+weiter	folgen→ansetzen→weiterführen	Posten	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=folgen→ansetzen→weiterführen; Reihenfolge=danach+weiter; Posten=Posten	NO
24	FU024	H3-S004	H3	f11r	E054	E054|E055	cthy dy	bereit+Posten | Posten	bereithalten	Posten	NONE	NONE	NONE	NONE	NONE	bereit	NO	Vorgang=bereithalten; Posten=Posten; Zustand=bereit	NO
25	FU025	H4-S001	H4	f55v	E056	E056|E057|E058	qokaiin chaiin ykain	ansetzen+Sollmaß | Sollmaß | Posten+Anteil	ansetzen	Posten	NONE	NONE	NONE	Sollmaß+Anteil	NONE	NONE	NO	Vorgang=ansetzen; Posten=Posten; Wert=Sollmaß+Anteil	NO
26	FU026	H4-S001	H4	f55v	E060	E059|E060	ykan ody	Posten+Anteil | kühlen	kühlen	Posten	NONE	NONE	NONE	Anteil	NONE	NONE	NO	Vorgang=kühlen; Posten=Posten; Wert=Anteil	NO
27	FU027	H4-S002	H4	f55v	E062	E061|E062	daiin chedy	Sollmaß | umsetzen+Posten	umsetzen	Posten	NONE	NONE	NONE	Sollmaß	NONE	NONE	NO	Vorgang=umsetzen; Posten=Posten; Wert=Sollmaß	NO
28	FU028	H4-S002	H4	f55v	E063	E063	talam	Ziel+verwahren	verwahren	NONE	NONE	NONE	Ziel	NONE	NONE	NONE	NO	Vorgang=verwahren; Ziel=gesetzt	NO
29	FU029	H4-S003	H4	f55v	E066	E064|E065|E066	ykaiin cheoar cheeky	Posten+Sollmaß | Auszug+Quelle | wärmen+länger+Posten	wärmen	Posten+Auszug	Quelle	NONE	NONE	Sollmaß	länger	NONE	NO	Vorgang=wärmen; Posten=Posten+Auszug; Quelle=gesetzt; Wert=Sollmaß; Grad=länger	NO
30	FU030	H4-S003	H4	f55v	E067	E067	oldy	weiter+Schluss	weiterführen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	YES	Vorgang=weiterführen; Reihenfolge=weiter; Schluss	NO
31	FU031	H4-S004	H4	f55v	E069	E068|E069	aiin okal	Sollmaß | ansetzen+Ziel	ansetzen	NONE	NONE	NONE	Ziel	Sollmaß	NONE	NONE	NO	Vorgang=ansetzen; Ziel=gesetzt; Wert=Sollmaß	NO
32	FU032	H4-S004	H4	f55v	E070	E070|E071|E072|E073	oltchy or y orain	weiter+bereit+Posten | Ansatz | Posten | Ansatz+Anteil	weiterführen→bereithalten	Posten+Ansatz	NONE	NONE	NONE	Anteil	NONE	bereit	NO	Vorgang=weiterführen→bereithalten; Reihenfolge=weiter; Posten=Posten+Ansatz; Wert=Anteil; Zustand=bereit	NO
33	FU033	H5-S001	H5	f56r	E079	E074|E075|E076|E077|E078|E079	chochor cho chodaly daiin sho kchol	Zutat+Ansatz | Zutat | Zutat+Ziel+Posten | Sollmaß | Zutat | bearbeiten+weiter	zugeben→bearbeiten→weiterführen	Zutat+Ansatz+Posten	NONE	NONE	Ziel	Sollmaß	NONE	NONE	NO	Vorgang=zugeben→bearbeiten→weiterführen; Reihenfolge=weiter; Posten=Zutat+Ansatz+Posten; Ziel=gesetzt; Wert=Sollmaß	NO
