statement_order	statement_id	record_unit_id	page	fusion_unit_count	resolved_forward_units	generated_atomic_literal_de	current_card_near_reading_de	current_concrete_source_expansion_de	reconciliation_status
1	H1-S001	H1	f10r	4	0	Vorgang=bereithalten; Posten=Wurzel+Posten+Ansatz; Quelle=gesetzt; Zustand=bereit. Vorgang=teilen; Posten=Teil+Gefäß. Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter; Posten=Teil; Lauf=gesetzt. Vorgang=ansetzen; Posten=Posten+Teil; Wert=Sollmaß; Grad=kurz.	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefäß, gib den Wasserzulauf zu, führe den nächsten Teilposten weiter, setze ihn nach Sollmaß an und behalte einen kleinen Restteil.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
2	H1-S002	H1	f10r	4	0	Vorgang=ansetzen; Posten=Posten. Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=bereithalten; Posten=Posten; Zustand=bereit.	Setze den Posten an, führe ihn danach weiter und halte ihn bereit.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
3	H2-S001	H2	f10r	3	1	Vorgang=bereithalten; Posten=Posten+Auszug+Ansatz; Zustand=bereit. Vorgang=bereithalten; Posten=Ansatz; Wert=Sollmaß; Zustand=bereit. Vorgang=bereithalten→weiterführen; Reihenfolge=weiter; Posten=Posten; Wert=Sollmaß; Zustand=bereit.	Nimm den bereiten Auszugsansatz, bringe den Ansatz auf Fertigmaß, führe den bereiten Posten weiter und stelle sein Sollmaß ein.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	FORWARD_OBJECT_NOW_EXPLICIT
4	H2-S002	H2	f10r	4	0	Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter; Posten=Ansatz. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=weiterführen; Reihenfolge=weiter; Posten=Ansatz. Vorgang=weiterführen; Reihenfolge=weiter; Quelle=gesetzt; Wert=Sollmaß.	Führe den bemessenen Pflanzenansatz als Folgeansatz samt seinem Fortsetzungsposten weiter und nimm daraus das Sollmaß	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
5	H2-S003	H2	f10r	1	0	Vorgang=bearbeiten→zugeben; Posten=Posten+Ansatz+Zutat; Wert=Stufe+Sollmaß.	Gib den weitergeführten Folgeansatz in das Gefäß, bearbeite diesen Posten bis zur Weichstufe und stelle das Zutatenmaß ein.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
6	H3-S001	H3	f11r	4	1	Vorgang=zugeben→abführen; Posten=Zutat. Vorgang=zugeben→auswringen; Posten=Zutat+Posten; Ziel=gesetzt. Vorgang=halten; Wert=Sollmaß. Vorgang=nachseihen→zugeben; Posten=Posten+Ergebnis+Zutat; Zustand=Ergebnis; Schluss.	Entnimm eine Zutat, gib sie dorthin, wringe aus, lass bis zum Standmaß stehen, seih nach, nimm den Klarlauf und stelle ihn kalt.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	FORWARD_OBJECT_NOW_EXPLICIT
7	H3-S002	H3	f11r	1	0	Vorgang=zugeben; Posten=Zutat+Posten+Teil.	Lege einen Zutatenteil zurück.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
8	H3-S003	H3	f11r	1	0	Vorgang=bearbeiten; Reihenfolge=vorher; Posten=Vorposten+Posten; Wert=Sollmaß.	Nimm den Vorposten, bearbeite diesen Posten und stelle sein Sollmaß ein.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
9	H3-S004	H3	f11r	2	0	Vorgang=folgen→ansetzen→weiterführen; Reihenfolge=danach+weiter; Posten=Posten. Vorgang=bereithalten; Posten=Posten; Zustand=bereit.	Nimm die restliche Blütenreserve als Folgeposten, setze die Fortsetzung an und halte sie bereit	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
10	H4-S001	H4	f55v	2	0	Vorgang=ansetzen; Posten=Posten; Wert=Sollmaß+Anteil. Vorgang=kühlen; Posten=Posten; Wert=Anteil.	Stelle das Sollmaß ein, nimm eine Postenportion und kühle diesen Anteil ab	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
11	H4-S002	H4	f55v	2	0	Vorgang=umsetzen; Posten=Posten; Wert=Sollmaß. Vorgang=verwahren; Ziel=gesetzt.	Setze den Posten nach Sollmaß um und verwahre ihn am Ziel.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.	ORDER_COMPATIBLE_NO_REPAIR_REQUIRED
