surface	truth_recipe	candidate_is_truth	gdt528_rank	gdt529_rank	candidate_recipe	gdt528_score	square_feature	gdt529_score	square_trace
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	1	1	AIIN+CH+T+Y	5.733798402	0.000000000	5.733798402	NO_TERMINAL_M
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	2	2	IIN+CH+T+Y	7.289902821	0.000000000	7.289902821	NO_TERMINAL_M
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	3	3	AIIN+LOCAL_C+T+Y	8.617469433	0.000000000	8.617469433	NO_TERMINAL_M
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	4	4	A_ADDR+LOCAL_CHAR_I+CH+T+Y	9.220129716	0.000000000	9.220129716	NO_TERMINAL_M
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	5	5	A_ADDR+IIN+CH+T+Y	9.367548780	0.000000000	9.367548780	NO_TERMINAL_M
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	6	6	IIN+LOCAL_C+T+Y	9.768108744	0.000000000	9.768108744	NO_TERMINAL_M
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	7	7	AIN+LOCAL_CHAR_I+CH+T+Y	10.220366781	0.000000000	10.220366781	NO_TERMINAL_M
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	8	8	A_ADDR+AIIN+CH+T+Y	10.497129704	0.000000000	10.497129704	NO_TERMINAL_M
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	YES	9	9	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	10.745123160	0.000000000	10.745123160	NO_TERMINAL_M
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	10	10	A_ADDR+IIN+LOCAL_CHAR_I+CH+T+Y	11.750230939	0.000000000	11.750230939	NO_TERMINAL_M
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	11	11	A_ADDR+LOCAL_CHAR_I+LOCAL_C+T+Y	12.001055398	0.000000000	12.001055398	NO_TERMINAL_M
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	12	12	A_ADDR+IIN+LOCAL_C+T+Y	12.373721064	0.000000000	12.373721064	NO_TERMINAL_M
chekchy	CH+K+CH+Y	NO	1	1	CH+K+Y	4.646258486	0.000000000	4.646258486	NO_TERMINAL_M
chekchy	CH+K+CH+Y	YES	2	2	CH+K+CH+Y	5.952739492	0.000000000	5.952739492	NO_TERMINAL_M
chekchy	CH+K+CH+Y	NO	3	3	CH+K+LOCAL_C+Y	6.763719118	0.000000000	6.763719118	NO_TERMINAL_M
