visible_insert	visible_position	null_support	competing_support	conditional_total	null_log_odds	reliability	dominant_null	one_char_combined_feature
al	INNER	2	32	34	-2.564949357	0.500000000	NO	-0.782474679
al	LEFT	1	11	12	-2.036881927	0.333333333	NO	-0.345627309
ar	INNER	1	16	17	-2.397895273	0.333333333	NO	-0.465965091
ch	INNER	22	45	67	-0.704197017	0.916666667	NO	0.271152735
ch	LEFT	29	59	88	-0.701586049	0.935483871	NO	0.279161438
che	INNER	6	22	28	-1.241713132	0.750000000	NO	-0.181284849
che	LEFT	5	33	38	-1.806797347	0.714285714	NO	-0.576283819
d	INNER	16	40	56	-0.897941593	0.888888889	NO	0.090718584
d	LEFT	12	35	47	-1.043804052	0.857142857	NO	-0.037546330
d	RIGHT	1	11	12	-2.036881927	0.333333333	NO	-0.345627309
dy	RIGHT	1	51	52	-3.536116700	0.333333333	NO	-0.845372233
e	INNER	19	98	117	-1.619642083	0.904761905	NO	-0.560628551
ed	INNER	1	25	26	-2.833213344	0.333333333	NO	-0.611071115
ee	INNER	1	55	56	-3.610917913	0.333333333	NO	-0.870305971
eo	INNER	1	17	18	-2.456735773	0.333333333	NO	-0.485578591
h	INNER	1	1	2	0.000000000	0.333333333	NO	0.333333333
hc	INNER	5	21	26	-1.363304843	0.714285714	NO	-0.259503459
hec	INNER	1	9	10	-1.845826690	0.333333333	NO	-0.281942230
i	INNER	5	5	10	0.000000000	0.714285714	NO	0.714285714
ii	INNER	2	1	3	0.510825624	0.500000000	YES	0.755412812
iii	INNER	1	0	1	1.098612289	0.333333333	YES	0.699537430
is	RIGHT	1	0	1	1.098612289	0.333333333	YES	0.699537430
j	INNER	1	0	1	1.098612289	0.333333333	YES	0.699537430
ka	INNER	1	3	4	-0.847297860	0.333333333	NO	0.050900713
ke	LEFT	1	3	4	-0.847297860	0.333333333	NO	0.050900713
kl	INNER	1	0	1	1.098612289	0.333333333	YES	0.699537430
la	INNER	1	11	12	-2.036881927	0.333333333	NO	-0.345627309
lk	LEFT	1	7	8	-1.609437912	0.333333333	NO	-0.203145971
n	RIGHT	1	2	3	-0.510825624	0.333333333	NO	0.163058125
od	INNER	1	25	26	-2.833213344	0.333333333	NO	-0.611071115
oe	INNER	1	5	6	-1.299282984	0.333333333	NO	-0.099760995
ol	RIGHT	1	32	33	-3.075774981	0.333333333	NO	-0.691924994
or	RIGHT	1	27	28	-2.908720897	0.333333333	NO	-0.636240299
os	INNER	1	3	4	-0.847297860	0.333333333	NO	0.050900713
q	LEFT	75	9	84	2.072840858	0.974025974	YES	2.993026809
qo	LEFT	1	20	21	-2.614959778	0.333333333	NO	-0.538319926
ra	INNER	1	9	10	-1.845826690	0.333333333	NO	-0.281942230
s	LEFT	9	27	36	-1.062894206	0.818181818	NO	-0.051458896
sh	INNER	3	20	23	-1.767661918	0.600000000	NO	-0.460597151
sh	LEFT	1	32	33	-3.075774981	0.333333333	NO	-0.691924994
so	INNER	1	0	1	1.098612289	0.333333333	YES	0.699537430
so	LEFT	1	4	5	-1.098612289	0.333333333	NO	-0.032870763
sy	RIGHT	1	3	4	-0.847297860	0.333333333	NO	0.050900713
t	LEFT	2	23	25	-2.240709689	0.500000000	NO	-0.620354845
te	LEFT	1	5	6	-1.299282984	0.333333333	NO	-0.099760995
y	LEFT	1	58	59	-3.663561646	0.333333333	NO	-0.887853882
yk	LEFT	1	19	20	-2.564949357	0.333333333	NO	-0.521649786
ys	INNER	1	0	1	1.098612289	0.333333333	YES	0.699537430
yt	LEFT	1	19	20	-2.564949357	0.333333333	NO	-0.521649786
