surface	truth_recipe	candidate_is_truth	gdt517_compiler_rank	gdt522_rank	gdt523_rank	candidate_recipe	gdt522_score	null_feature	gdt523_score	null_trace	alignment_trace
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	1	1	1	AIIN+CH+T+Y	5.733798402	0.000000000	5.733798402	NO_DOMINANT_PATH_NULL	aii=>aiin~AIIN@edit2+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	2	2	2	IIN+CH+T+Y	7.289902821	0.000000000	7.289902821	NO_DOMINANT_PATH_NULL	aii=>iin~IIN@edit2+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	3	3	3	AIIN+LOCAL_C+T+Y	8.617469433	0.000000000	8.617469433	NO_DOMINANT_PATH_NULL	aii=>aiin~AIIN@edit2+alias0.000 | c=>c~LOCAL_C@edit0+alias0.000 | thy=>thy~T+Y@edit0+alias0.250
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	7	4	4	A_ADDR+LOCAL_CHAR_I+CH+T+Y	9.220129716	0.000000000	9.220129716	NO_DOMINANT_PATH_NULL	a=>a~A_ADDR@edit0+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | icthy=>cthy~CH+T+Y@edit1+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	5	5	5	A_ADDR+IIN+CH+T+Y	9.367548780	0.000000000	9.367548780	NO_DOMINANT_PATH_NULL	a=>a~A_ADDR@edit0+alias0.000 | ii=>in~IIN@edit1+alias0.534 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	4	6	6	IIN+LOCAL_C+T+Y	9.768108744	0.000000000	9.768108744	NO_DOMINANT_PATH_NULL	aii=>iin~IIN@edit2+alias0.000 | c=>c~LOCAL_C@edit0+alias0.000 | thy=>thy~T+Y@edit0+alias0.250
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	10	7	7	AIN+LOCAL_CHAR_I+CH+T+Y	10.220366781	0.000000000	10.220366781	NO_DOMINANT_PATH_NULL	ai=>ain~AIN@edit2+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	9	8	8	A_ADDR+AIIN+CH+T+Y	10.497129704	0.000000000	10.497129704	NO_DOMINANT_PATH_NULL	∅=>a~A_ADDR@edit2+alias0.000 | aii=>aiin~AIIN@edit2+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	YES	6	9	9	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	10.745123160	0.000000000	10.745123160	NO_DOMINANT_PATH_NULL	a=>a~A_ADDR@edit0+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	8	10	10	A_ADDR+IIN+LOCAL_CHAR_I+CH+T+Y	11.750230939	0.000000000	11.750230939	NO_DOMINANT_PATH_NULL	a=>a~A_ADDR@edit0+alias0.000 | i=>in~IIN@edit2+alias0.534 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	19	11	11	A_ADDR+LOCAL_CHAR_I+LOCAL_C+T+Y	12.001055398	0.000000000	12.001055398	NO_DOMINANT_PATH_NULL	a=>a~A_ADDR@edit0+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | ic=>c~LOCAL_C@edit1+alias0.000 | thy=>thy~T+Y@edit0+alias0.250
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	17	12	12	A_ADDR+IIN+LOCAL_C+T+Y	12.373721064	0.000000000	12.373721064	NO_DOMINANT_PATH_NULL	a=>a~A_ADDR@edit0+alias0.000 | ii=>in~IIN@edit1+alias0.534 | c=>c~LOCAL_C@edit0+alias0.000 | thy=>thy~T+Y@edit0+alias0.250
chady	CH+A_ADDR+DY	NO	2	1	1	CH+DY	4.887151731	0.000000000	4.887151731	NO_DOMINANT_PATH_NULL	cha=>cha~CH@edit0+alias0.268 | dy=>dy~DY@edit0+alias0.000
chady	CH+A_ADDR+DY	NO	1	2	2	CH+A_ADDR+Y	5.746462204	0.000000000	5.746462204	NO_DOMINANT_PATH_NULL	ch=>ch~CH@edit0+alias0.000 | a=>a~A_ADDR@edit0+alias0.000 | dy=>y~Y@edit1+alias0.000
chady	CH+A_ADDR+DY	YES	5	3	3	CH+A_ADDR+DY	6.072581093	0.000000000	6.072581093	NO_DOMINANT_PATH_NULL	ch=>ch~CH@edit0+alias0.000 | a=>a~A_ADDR@edit0+alias0.000 | dy=>dy~DY@edit0+alias0.000
chady	CH+A_ADDR+DY	NO	3	4	4	CH+D_ADDR+Y	6.371973016	0.000000000	6.371973016	NO_DOMINANT_PATH_NULL	cha=>cha~CH@edit0+alias0.268 | d=>d~D_ADDR@edit0+alias0.000 | y=>y~Y@edit0+alias0.000
chady	CH+A_ADDR+DY	NO	4	5	5	CH+Y	6.915865675	0.000000000	6.915865675	NO_DOMINANT_PATH_NULL	cha=>cha~CH@edit0+alias0.268 | dy=>y~Y@edit1+alias0.000
chady	CH+A_ADDR+DY	NO	6	6	6	CH+A_ADDR+D_ADDR+Y	8.241013473	0.000000000	8.241013473	NO_DOMINANT_PATH_NULL	ch=>ch~CH@edit0+alias0.000 | a=>a~A_ADDR@edit0+alias0.000 | d=>d~D_ADDR@edit0+alias0.000 | y=>y~Y@edit0+alias0.000
chady	CH+A_ADDR+DY	NO	8	7	7	LOCAL_C+A_ADDR+DY	8.503607217	0.000000000	8.503607217	NO_DOMINANT_PATH_NULL	c=>c~LOCAL_C@edit0+alias0.000 | ha=>a~A_ADDR@edit1+alias0.000 | dy=>dy~DY@edit0+alias0.000
chady	CH+A_ADDR+DY	NO	15	8	8	LOCAL_C+SH+A_ADDR+DY	9.495039855	0.000000000	9.495039855	NO_DOMINANT_PATH_NULL	c=>c~LOCAL_C@edit0+alias0.000 | h=>h~SH@edit0+alias0.502 | a=>a~A_ADDR@edit0+alias0.000 | dy=>dy~DY@edit0+alias0.000
chady	CH+A_ADDR+DY	NO	10	9	9	LOCAL_C+A_ADDR+Y	10.010069792	0.000000000	10.010069792	NO_DOMINANT_PATH_NULL	c=>c~LOCAL_C@edit0+alias0.000 | ha=>a~A_ADDR@edit1+alias0.000 | dy=>y~Y@edit1+alias0.000
chady	CH+A_ADDR+DY	NO	7	10	10	LOCAL_C+SH+A_ADDR+Y	10.012743199	0.000000000	10.012743199	NO_DOMINANT_PATH_NULL	c=>c~LOCAL_C@edit0+alias0.000 | h=>h~SH@edit0+alias0.502 | a=>a~A_ADDR@edit0+alias0.000 | dy=>y~Y@edit1+alias0.000
chady	CH+A_ADDR+DY	NO	13	11	11	CH+SH+A_ADDR+Y	10.393657468	0.000000000	10.393657468	NO_DOMINANT_PATH_NULL	ch=>ch~CH@edit0+alias0.000 | a=>h~SH@edit1+alias0.502 | d=>a~A_ADDR@edit1+alias0.000 | y=>y~Y@edit0+alias0.000
