visible_insert	visible_position	base_edge_atom	null_support	competing_support	conditional_total	context_null_log_odds	context_dominant_null
a	LEFT	AL	0	1	1	-1.098612289	NO
a	LEFT	S	0	1	1	-1.098612289	NO
a	LEFT	T	0	3	3	-1.945910149	NO
a	LEFT	Y	0	1	1	-1.098612289	NO
ad	LEFT	AL	0	1	1	-1.098612289	NO
aj	LEFT	Y	0	1	1	-1.098612289	NO
al	LEFT	AIIN	0	2	2	-1.609437912	NO
al	LEFT	CHD	0	1	1	-1.098612289	NO
al	LEFT	K	0	1	1	-1.098612289	NO
al	LEFT	O	0	1	1	-1.098612289	NO
al	LEFT	OL	1	1	2	0.000000000	NO
al	LEFT	OR	0	1	1	-1.098612289	NO
al	LEFT	Y	0	4	4	-2.197224577	NO
ald	LEFT	AIIN	0	1	1	-1.098612289	NO
ald	LEFT	Y	0	1	1	-1.098612289	NO
alf	LEFT	SH	0	1	1	-1.098612289	NO
alk	LEFT	AIN	0	1	1	-1.098612289	NO
alo	LEFT	Y	0	1	1	-1.098612289	NO
als	LEFT	Y	0	1	1	-1.098612289	NO
am	LEFT	Y	0	1	1	-1.098612289	NO
ar	LEFT	AIIN	0	1	1	-1.098612289	NO
ar	LEFT	OL	0	2	2	-1.609437912	NO
ar	LEFT	S	0	1	1	-1.098612289	NO
at	LEFT	AIIN	0	1	1	-1.098612289	NO
at	LEFT	CH	0	1	1	-1.098612289	NO
cfh	LEFT	AIIN	0	1	1	-1.098612289	NO
cfh	LEFT	O	0	1	1	-1.098612289	NO
cfh	LEFT	OL	0	2	2	-1.609437912	NO
cfh	LEFT	Y	0	1	1	-1.098612289	NO
ch	LEFT	AIIN	0	1	1	-1.098612289	NO
ch	LEFT	AIR	0	1	1	-1.098612289	NO
ch	LEFT	AL	1	3	4	-0.847297860	NO
ch	LEFT	AM_ADDR	0	1	1	-1.098612289	NO
ch	LEFT	AR	1	0	1	1.098612289	YES
ch	LEFT	A_ADDR	0	1	1	-1.098612289	NO
ch	LEFT	CH	5	20	25	-1.315676794	NO
ch	LEFT	E	0	2	2	-1.609437912	NO
ch	LEFT	K	0	9	9	-2.944438979	NO
ch	LEFT	L	2	1	3	0.510825624	YES
ch	LEFT	O	0	3	3	-1.945910149	NO
ch	LEFT	OK	12	2	14	1.609437912	YES
ch	LEFT	OL	4	0	4	2.197224577	YES
ch	LEFT	OR	1	1	2	0.000000000	NO
ch	LEFT	OT	2	5	7	-0.788457360	NO
ch	LEFT	R	0	1	1	-1.098612289	NO
ch	LEFT	S	0	1	1	-1.098612289	NO
ch	LEFT	T	0	5	5	-2.397895273	NO
ch	LEFT	Y	1	2	3	-0.510825624	NO
cha	LEFT	S	0	1	1	-1.098612289	NO
chd	LEFT	AL	0	1	1	-1.098612289	NO
chd	LEFT	AM_ADDR	0	1	1	-1.098612289	NO
chd	LEFT	OL	0	1	1	-1.098612289	NO
chd	LEFT	Y	0	3	3	-1.945910149	NO
che	LEFT	AIIN	0	1	1	-1.098612289	NO
che	LEFT	AIN	0	1	1	-1.098612289	NO
che	LEFT	AL	3	1	4	0.847297860	YES
che	LEFT	AR	0	1	1	-1.098612289	NO
che	LEFT	CH	1	8	9	-1.734601055	NO
che	LEFT	K	0	9	9	-2.944438979	NO
che	LEFT	LOCAL_CHAR_F	0	1	1	-1.098612289	NO
che	LEFT	LOCAL_CHAR_G	0	1	1	-1.098612289	NO
che	LEFT	O	0	4	4	-2.197224577	NO
che	LEFT	OK	0	1	1	-1.098612289	NO
che	LEFT	OL	0	1	1	-1.098612289	NO
che	LEFT	P	0	1	1	-1.098612289	NO
che	LEFT	S	0	1	1	-1.098612289	NO
che	LEFT	T	0	1	1	-1.098612289	NO
che	LEFT	Y	1	1	2	0.000000000	NO
chk	LEFT	AIIN	0	1	1	-1.098612289	NO
chk	LEFT	AIN	0	1	1	-1.098612289	NO
chk	LEFT	AL	0	1	1	-1.098612289	NO
chk	LEFT	AR	0	1	1	-1.098612289	NO
chk	LEFT	EE	0	1	1	-1.098612289	NO
chk	LEFT	OR	0	1	1	-1.098612289	NO
chk	LEFT	Y	0	1	1	-1.098612289	NO
chl	LEFT	AIIN	0	1	1	-1.098612289	NO
chl	LEFT	OL	0	1	1	-1.098612289	NO
cho	LEFT	AIIN	0	1	1	-1.098612289	NO
cho	LEFT	AIN	0	1	1	-1.098612289	NO
cho	LEFT	AL	0	1	1	-1.098612289	NO
cho	LEFT	CH	0	10	10	-3.044522438	NO
cho	LEFT	D_ADDR	0	1	1	-1.098612289	NO
cho	LEFT	L	0	1	1	-1.098612289	NO
cho	LEFT	LOCAL_CHAR_G	0	1	1	-1.098612289	NO
cho	LEFT	P	0	1	1	-1.098612289	NO
cho	LEFT	S	0	1	1	-1.098612289	NO
cho	LEFT	Y	0	2	2	-1.609437912	NO
chp	LEFT	OR	0	1	1	-1.098612289	NO
chp	LEFT	SH	0	1	1	-1.098612289	NO
chp	LEFT	Y	0	1	1	-1.098612289	NO
cht	LEFT	AIIN	0	1	1	-1.098612289	NO
cht	LEFT	AL	0	1	1	-1.098612289	NO
cht	LEFT	CH	0	2	2	-1.609437912	NO
cht	LEFT	OR	0	1	1	-1.098612289	NO
cht	LEFT	Y	0	1	1	-1.098612289	NO
chy	LEFT	K	0	1	1	-1.098612289	NO
ckh	LEFT	AL	0	1	1	-1.098612289	NO
ckh	LEFT	AR	0	1	1	-1.098612289	NO
ckh	LEFT	E	0	1	1	-1.098612289	NO
ckh	LEFT	O	0	2	2	-1.609437912	NO
ckh	LEFT	OL	0	1	1	-1.098612289	NO
ckh	LEFT	OR	0	1	1	-1.098612289	NO
ckh	LEFT	Y	0	1	1	-1.098612289	NO
cph	LEFT	AL	0	1	1	-1.098612289	NO
cph	LEFT	AR	0	1	1	-1.098612289	NO
cph	LEFT	E	0	1	1	-1.098612289	NO
cph	LEFT	O	0	1	1	-1.098612289	NO
cph	LEFT	OL	0	1	1	-1.098612289	NO
cph	LEFT	OR	0	1	1	-1.098612289	NO
cph	LEFT	Y	0	1	1	-1.098612289	NO
cth	LEFT	AIIN	0	1	1	-1.098612289	NO
cth	LEFT	AL	0	1	1	-1.098612289	NO
cth	LEFT	AR	0	1	1	-1.098612289	NO
cth	LEFT	E	0	3	3	-1.945910149	NO
cth	LEFT	O	0	1	1	-1.098612289	NO
cth	LEFT	OL	0	2	2	-1.609437912	NO
cth	LEFT	OR	0	1	1	-1.098612289	NO
cth	LEFT	Y	0	1	1	-1.098612289	NO
d	LEFT	AIIN	1	1	2	0.000000000	NO
d	LEFT	AIN	1	0	1	1.098612289	YES
d	LEFT	AIR	0	1	1	-1.098612289	NO
d	LEFT	AL	4	1	5	1.098612289	YES
d	LEFT	AM_ADDR	0	1	1	-1.098612289	NO
d	LEFT	AR	0	3	3	-1.945910149	NO
d	LEFT	CH	0	6	6	-2.564949357	NO
d	LEFT	CHD	0	1	1	-1.098612289	NO
d	LEFT	K	0	3	3	-1.945910149	NO
d	LEFT	L	1	0	1	1.098612289	YES
d	LEFT	O	0	4	4	-2.197224577	NO
d	LEFT	OK	0	1	1	-1.098612289	NO
d	LEFT	OL	1	3	4	-0.847297860	NO
d	LEFT	OR	0	2	2	-1.609437912	NO
d	LEFT	OT	0	1	1	-1.098612289	NO
d	LEFT	SH	3	4	7	-0.251314428	NO
d	LEFT	Y	1	3	4	-0.847297860	NO
da	LEFT	AIIN	0	1	1	-1.098612289	NO
da	LEFT	CH	0	1	1	-1.098612289	NO
da	LEFT	LOCAL_CHAR_G	0	1	1	-1.098612289	NO
da	LEFT	R	0	1	1	-1.098612289	NO
da	LEFT	S	0	1	1	-1.098612289	NO
dad	LEFT	AIIN	0	1	1	-1.098612289	NO
dai	LEFT	D_ADDR	0	1	1	-1.098612289	NO
dai	LEFT	IIN	0	1	1	-1.098612289	NO
dai	LEFT	Y	0	1	1	-1.098612289	NO
dal	LEFT	AIIN	0	2	2	-1.609437912	NO
dal	LEFT	AL	0	4	4	-2.197224577	NO
dal	LEFT	O	0	1	1	-1.098612289	NO
dal	LEFT	S	0	1	1	-1.098612289	NO
dal	LEFT	SH	0	1	1	-1.098612289	NO
dal	LEFT	Y	0	1	1	-1.098612289	NO
dar	LEFT	AIIN	0	1	1	-1.098612289	NO
dar	LEFT	AL	0	1	1	-1.098612289	NO
dar	LEFT	AM_ADDR	0	1	1	-1.098612289	NO
dar	LEFT	O	0	1	1	-1.098612289	NO
dar	LEFT	OR	0	1	1	-1.098612289	NO
dar	LEFT	Y	0	2	2	-1.609437912	NO
dch	LEFT	AIIN	0	1	1	-1.098612289	NO
dch	LEFT	AL	0	1	1	-1.098612289	NO
dch	LEFT	AR	0	1	1	-1.098612289	NO
dch	LEFT	E	0	2	2	-1.609437912	NO
dch	LEFT	LOCAL_CHAR_G	0	1	1	-1.098612289	NO
dch	LEFT	O	0	1	1	-1.098612289	NO
dch	LEFT	OL	0	1	1	-1.098612289	NO
dch	LEFT	OR	0	1	1	-1.098612289	NO
