record	at	word	reading
F83_P1	f83r.1:1	tchedy	⟦tchedy⟧
F83_P1	f83r.1:2	lpchedy	⟦lpchedy⟧
F83_P1	f83r.1:3	opedy	⟦opedy⟧
F83_P1	f83r.1:4	chepol	⟦chepol⟧
F83_P1	f83r.1:5	pchedar	⟦pchedar⟧
F83_P1	f83r.1:6	shedy	B [Personenhypothese]
F83_P1	f83r.1:7	qopchedy	⟦qopchedy⟧
F83_P1	f83r.2:1	sol	⟦sol⟧
F83_P1	f83r.2:2	cheey	⟦cheey⟧
F83_P1	f83r.2:3	qokaiin	A [Personenhypothese]
F83_P1	f83r.2:4	shol	⟦shol⟧
F83_P1	f83r.2:5	lchs	⟦lchs⟧
F83_P1	f83r.2:6	shey	⟦shey⟧
F83_P1	f83r.2:7	qoteedy	⟦qoteedy⟧
F83_P1	f83r.2:8	rches	⟦rches⟧
F83_P1	f83r.2:9	ar	⟦ar⟧
F83_P1	f83r.2:10	chedy	⟦chedy⟧
F83_P1	f83r.2:11	dor	⟦dor⟧
F83_P1	f83r.3:1	olkeedy	⟦olkeedy⟧
F83_P1	f83r.3:2	qotal	⟦qotal⟧
F83_P1	f83r.3:3	chkeedy	⟦chkeedy⟧
F83_P1	f83r.3:4	chey	⟦chey⟧
F83_P1	f83r.3:5	daiin	⟦daiin⟧
F83_P1	f83r.3:6	chey	⟦chey⟧
F83_P1	f83r.3:7	lchedy	C [Personenhypothese]
F83_P1	f83r.3:8	qokaiin	A [Personenhypothese]
F83_P1	f83r.3:9	qotal	⟦qotal⟧
F83_P1	f83r.3:10	dar	⟦dar⟧
F83_P1	f83r.4:1	qokshedy	⟦qokshedy⟧
F83_P1	f83r.4:2	chedy	⟦chedy⟧
F83_P1	f83r.4:3	qokedy	[Relation? qokedy]
F83_P1	f83r.4:4	chkedy	⟦chkedy⟧
F83_P1	f83r.4:5	daiin	⟦daiin⟧
F83_P1	f83r.4:6	shetar	⟦shetar⟧
F83_P1	f83r.4:7	shedy	B [Personenhypothese]
F83_P1	f83r.4:8	qekaiin	⟦qekaiin⟧
F83_P1	f83r.4:9	chedy	⟦chedy⟧
F83_P1	f83r.5:1	deey	⟦deey⟧
F83_P1	f83r.5:2	qotaiin	⟦qotaiin⟧
F83_P1	f83r.5:3	checkhy	⟦checkhy⟧
F83_P1	f83r.5:4	qoty	⟦qoty⟧
F83_P1	f83r.5:5	cheg	⟦cheg⟧
F83_P1	f83r.5:6	shedy	B [Personenhypothese]
F83_P1	f83r.5:7	qokeey	⟦qokeey⟧
F83_P1	f83r.5:8	rchedy	⟦rchedy⟧
F83_P1	f83r.5:9	qoteedy	⟦qoteedy⟧
F83_P1	f83r.5:10	lo	⟦lo⟧
F83_P1	f83r.6:1	schedy	⟦schedy⟧
F83_P1	f83r.6:2	chedchy	⟦chedchy⟧
F83_P1	f83r.6:3	qokal	⟦qokal⟧
F83_P1	f83r.6:4	olchedy	⟦olchedy⟧
F83_P1	f83r.6:5	qokaiin	A [Personenhypothese]
F83_P1	f83r.6:6	chedy	⟦chedy⟧
F83_P1	f83r.6:7	qokeedy	[Relation? qokeedy]
F83_P1	f83r.6:8	lchedy	C [Personenhypothese]
F83_P1	f83r.6:9	qoky	⟦qoky⟧
F83_P1	f83r.7:1	solshed	⟦solshed⟧
F83_P1	f83r.7:2	lsheedy	⟦lsheedy⟧
F83_P1	f83r.7:3	qeeedy	⟦qeeedy⟧
F83_P1	f83r.7:4	qoky	⟦qoky⟧
