record	at	word	left	left_at	right	right_at	left_gap	right_gap	status
F83_P1	f83r.4:3	qokedy	A	f83r.3:8	B	f83r.4:7	qotal dar qokshedy chedy	chkedy daiin shetar	BOUND
F83_P1	f83r.6:7	qokeedy	A	f83r.6:5	C	f83r.6:8	chedy		BOUND
F83_P1	f83r.7:8	qokedy	C	f83r.6:8			qoky solshed lsheedy qeeedy qoky o qol rsheedy		MISSING_RIGHT
F83_P2	f83r.9:3	qokedy			B	f83r.11:2		lsheedy qokchdy r shedkedy qopshdy qopy olkeey rchs cheeb ols aiin skal dain cthal s aiin chky lal sam sor	MISSING_LEFT
F83_P2	f83r.11:6	qokedy	A	f83r.11:3	C	f83r.11:9	chkain shcthey	okair sheedy	BOUND
F83_P2	f83r.12:8	qokedy	C	f83r.11:9	B	f83r.13:3	lo qockhol sheckhy otal qokeal sheckhdy al okedy	qokal salcheol tar	BOUND
F83_P2	f83r.13:7	qokedy	B	f83r.13:3			s altedy sair		MISSING_RIGHT
F83_P2	f83r.14:2	qokeedy	B	f83r.13:3	B	f83r.14:3	s altedy sair qokedy qedy lchcphedy ldar qokchedy		BOUND
F83_P3	f83r.20:4	qokedy	C	f83r.19:11			solkeedy qoteedy qokeey		MISSING_RIGHT
F83_P3	f83r.20:7	qokedy	C	f83r.19:11			solkeedy qoteedy qokeey qokedy sol cheeety		MISSING_RIGHT
F83_P3	f83r.21:2	qokedy	C	f83r.19:11			solkeedy qoteedy qokeey qokedy sol cheeety qokedy qoky saiin solkeedy		MISSING_RIGHT
F83_P3	f83r.21:8	qokedy	C	f83r.19:11			solkeedy qoteedy qokeey qokedy sol cheeety qokedy qoky saiin solkeedy qokedy otedy sol chedy lkedy qokchedy		MISSING_RIGHT
F83_P3	f83r.22:3	qokeedy	C	f83r.19:11	B	f83r.23:4	solkeedy qoteedy qokeey qokedy sol cheeety qokedy qoky saiin solkeedy qokedy otedy sol chedy lkedy qokchedy qokedy chckhdy sar schedair otchedy	chedain chedy qotedaiin otaiin otedy ldy tchedy qotedy qokal	BOUND
F83_P3	f83r.23:5	qokedy	B	f83r.23:4	B	f83r.24:6		shecthedy shecthy otor chedy soiiin checthy chety otaiin olsaly	BOUND
F83_P4	f83r.25:1	qokeedy							MISSING_BOTH
F83_P4	f83r.25:4	qokedy			B	f83r.26:5		chedy otal otchey qokeey qoky tol	MISSING_LEFT
F83_P4	f83r.27:3	qokeedy	B	f83r.26:5			qokylddy dain chedy		MISSING_RIGHT
F83_P4	f83r.28:4	qokedy	B	f83r.26:5	B	f83r.28:5	qokylddy dain chedy qokeedy shckhedy shckhedy saiin cheeky sheey		BOUND
F83_P4	f83r.30:3	qokeedy	B	f83r.28:5			oldy salchedy cheey qody kesd oldy s okeedy		MISSING_RIGHT
