visible_action_ordinal	event_id	statement_id	physical_page	register	surface	recipe	written_action_roots	written_action_slot_count	effective_argument_roots	argument_source	rendered_action_chain_de	expanded_action_chain_de	visible_modifier_phrase_de	state_sequence_role	owner_free_microphrase_de	repeat_status	all_action_slots_retained	guard
1	G407-E0005	G407-S001	f1r	SOURCE_SECTION_T	shol	SH+OL	SH	1	AIIN	INHERITED_ARGUMENT_CONTEXT	halte den Wert	halte den Wert	NONE	CONTINUE_CURRENT_OPERATION	Weiter: halte den Wert.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
2	G407-E0010	G407-S001	f1r	SOURCE_SECTION_T	sholdy	SH+OL+D_ADDR+Y	SH	1	Y	VISIBLE_ARGUMENT_IN_CARD	halte den Posten	halte den Posten	hier	CONTINUE_CURRENT_OPERATION	Weiter: halte den Posten; hier.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
3	G407-E0034	G407-S001	f1r	SOURCE_SECTION_T	roloty	R+OL+OT+Y	R	1	Y	VISIBLE_ARGUMENT_IN_CARD	markiere den Posten	markiere den Posten	NONE	CONTINUE_THEN_ADVANCE	Weiter: markiere den Posten; danach nächsten Gang eröffnen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
4	G407-E0048	G407-S002	f1r	SOURCE_SECTION_T	shol	SH+OL	SH	1	NONE	NO_ACTIVE_ARGUMENT	halte	halte	NONE	CONTINUE_CURRENT_OPERATION	Weiter: halte.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
5	G407-E0056	G407-S002	f1r	SOURCE_SECTION_T	shody	SH+O+DY	SH	1	Y	INHERITED_ARGUMENT_CONTEXT	halte den Posten	halte den Posten	zur Ausführung	CLOSE_CURRENT_OPERATION	Halte den Posten; zur Ausführung; abschließen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
6	G407-E0058	G407-S003	f1r	SOURCE_SECTION_T	otchol	OT+CH+OL	CH	1	Y	INHERITED_ARGUMENT_CONTEXT	nimm den Posten	nimm den Posten	NONE	ADVANCE_THEN_CONTINUE	Danach: nimm den Posten; weiterführen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
7	G407-E0067	G407-S003	f1r	SOURCE_SECTION_T	cfhol	CH+LOCAL_CHAR_F+OL	CH	1	AIIN	INHERITED_ARGUMENT_CONTEXT	nimm den Wert	nimm den Wert	hier	CONTINUE_CURRENT_OPERATION	Weiter: nimm den Wert; hier.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
8	G407-E0068	G407-S003	f1r	SOURCE_SECTION_T	shody	SH+O+DY	SH	1	AIIN	INHERITED_ARGUMENT_CONTEXT	halte den Wert	halte den Wert	zur Ausführung	CLOSE_CURRENT_OPERATION	Halte den Wert; zur Ausführung; abschließen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
9	G407-E0071	G407-S004	f1r	SOURCE_SECTION_T	teody	T+E+O+DY	T	1	AIN	INHERITED_ARGUMENT_CONTEXT	stelle den Anteil ein	stelle den Anteil ein	auf Grad I; zur Ausführung	CLOSE_CURRENT_OPERATION	Stelle den Anteil ein; auf Grad I; zur Ausführung; abschließen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
10	G407-E0074	G407-S005	f1r	SOURCE_SECTION_T	ols	OL+S	S	1	AIIN	INHERITED_ARGUMENT_CONTEXT	wähle den Wert	wähle den Wert	NONE	CONTINUE_CURRENT_OPERATION	Weiter: wähle den Wert.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
11	G407-E0113	G407-S005	f1r	SOURCE_SECTION_T	kol	K+OL	K	1	Y	INHERITED_ARGUMENT_CONTEXT	gib den Posten	gib den Posten	NONE	CONTINUE_CURRENT_OPERATION	Weiter: gib den Posten.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
12	G407-E0132	G407-S005	f1r	SOURCE_SECTION_T	pshol	P+SH+OL	P|SH	2	AIN	INHERITED_ARGUMENT_CONTEXT	setze den Anteil ein und halte den Anteil	setze den Anteil ein und halte den Anteil	NONE	CONTINUE_CURRENT_OPERATION	Weiter: setze den Anteil ein und halte den Anteil.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
13	G407-E0137	G407-S005	f1r	SOURCE_SECTION_T	shol	SH+OL	SH	1	Y	INHERITED_ARGUMENT_CONTEXT	halte den Posten	halte den Posten	NONE	CONTINUE_CURRENT_OPERATION	Weiter: halte den Posten.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
14	G407-E0150	G407-S005	f1r	SOURCE_SECTION_T	tol	T+OL	T	1	Y	INHERITED_ARGUMENT_CONTEXT	stelle den Posten ein	stelle den Posten ein	NONE	CONTINUE_CURRENT_OPERATION	Weiter: stelle den Posten ein.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
15	G407-E0151	G407-S005	f1r	SOURCE_SECTION_T	cthols	CH+T+OL+S	CH|T|S	3	Y	INHERITED_ARGUMENT_CONTEXT	nimm den Posten und stelle den Posten ein und wähle den Posten	nimm den Posten und stelle den Posten ein und wähle den Posten	NONE	CONTINUE_CURRENT_OPERATION	Weiter: nimm den Posten und stelle den Posten ein und wähle den Posten.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
16	G407-E0184	G407-S006	f1r	SOURCE_SECTION_T	okol	OK+OL	OK	1	AIIN	INHERITED_ARGUMENT_CONTEXT	setze den Wert	setze den Wert	NONE	CONTINUE_CURRENT_OPERATION	Weiter: setze den Wert.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
17	G407-E0187	G407-S006	f1r	SOURCE_SECTION_T	cthol	CH+T+OL	CH|T	2	AIIN	INHERITED_ARGUMENT_CONTEXT	nimm den Wert und stelle den Wert ein	nimm den Wert und stelle den Wert ein	NONE	CONTINUE_CURRENT_OPERATION	Weiter: nimm den Wert und stelle den Wert ein.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
18	G407-E0189	G407-S006	f1r	SOURCE_SECTION_T	ctholdar	CH+T+OL+D_ADDR+AR	CH|T	2	AIIN	INHERITED_ARGUMENT_CONTEXT	nimm den Wert und stelle den Wert ein	nimm den Wert und stelle den Wert ein	hier; vom Ausgang	CONTINUE_CURRENT_OPERATION	Weiter: nimm den Wert und stelle den Wert ein; hier; vom Ausgang.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
19	G407-E0200	G407-S006	f1r	SOURCE_SECTION_T	shody	SH+O+DY	SH	1	Y	INHERITED_ARGUMENT_CONTEXT	halte den Posten	halte den Posten	zur Ausführung	CLOSE_CURRENT_OPERATION	Halte den Posten; zur Ausführung; abschließen.	NO_REPEATED_ACTION_ROOT	YES	VISIBLE_ACTION_ORDER_FIXED__CONTEXT_ARGUMENT_NOT_A_WRITTEN_ATOM
