actionless_link_ordinal	event_id	statement_id	physical_page	register	surface	recipe	gdt562_completeness_role	effective_action_root	effective_argument_roots	gdt562_microphrase_de	gdt563_microphrase_de	microphrase_byte_identical	source_link_status
1	G407-E0032	G407-S001	f1r	SOURCE_SECTION_T	oteey	OT+EE+Y	FULL_INHERITED_OPERATION	S	Y	Danach: wähle den Posten; auf Grad II.	Danach: wähle den Posten; auf Grad II.	YES	EXACT_EVENT_JOIN
2	G407-E0033	G407-S001	f1r	SOURCE_SECTION_T	oteos	OT+E+O+S_ADDR	FULL_INHERITED_OPERATION	S	Y	Danach: wähle den Posten; auf Grad I; zur Ausführung; hier.	Danach: wähle den Posten; auf Grad I; zur Ausführung; hier.	YES	EXACT_EVENT_JOIN
3	G407-E0082	G407-S005	f1r	SOURCE_SECTION_T	otairin	OT+AIR+IIN	FULL_INHERITED_OPERATION	SH	Y	Danach: halte den Posten; entlang der Bahn; auf der Stufe.	Danach: halte den Posten; entlang der Bahn; auf der Stufe.	YES	EXACT_EVENT_JOIN
4	G407-E0083	G407-S005	f1r	SOURCE_SECTION_T	oteol	OT+E+OL	FULL_INHERITED_OPERATION	SH	Y	Danach: halte den Posten; auf Grad I; weiterführen.	Danach: halte den Posten; auf Grad I; weiterführen.	YES	EXACT_EVENT_JOIN
5	G407-E0095	G407-S005	f1r	SOURCE_SECTION_T	oldain	OL+AIN	FULL_INHERITED_OPERATION	SH	AIN	Weiter: halte den Anteil.	Weiter: halte den Anteil.	YES	EXACT_EVENT_JOIN
6	G407-E0099	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	FULL_INHERITED_OPERATION	SH	AIN	Weiter: halte den Anteil.	Weiter: halte den Anteil.	YES	EXACT_EVENT_JOIN
7	G407-E0114	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	FULL_INHERITED_OPERATION	K	Y	Weiter: gib den Posten.	Weiter: gib den Posten.	YES	EXACT_EVENT_JOIN
8	G407-E0115	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	FULL_INHERITED_OPERATION	K	Y	Weiter: gib den Posten.	Weiter: gib den Posten.	YES	EXACT_EVENT_JOIN
9	G407-E0119	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	FULL_INHERITED_OPERATION	SH	OR	Weiter: halte die Einheit.	Weiter: halte die Einheit.	YES	EXACT_EVENT_JOIN
10	G407-E0133	G407-S005	f1r	SOURCE_SECTION_T	dydyd	Y+DY+D_LABEL	FULL_INHERITED_OPERATION	SH	Y	Halte den Posten; hier; abschließen.	Halte den Posten; hier; abschließen.	YES	EXACT_EVENT_JOIN
11	G407-E0158	G407-S005	f1r	SOURCE_SECTION_T	otol	OT+OL	FULL_INHERITED_OPERATION	K	Y	Danach: gib den Posten; weiterführen.	Danach: gib den Posten; weiterführen.	YES	EXACT_EVENT_JOIN
12	G407-E0163	G407-S006	f1r	SOURCE_SECTION_T	chol	OL	FULL_INHERITED_OPERATION	CH	Y	Weiter: nimm den Posten.	Weiter: nimm den Posten.	YES	EXACT_EVENT_JOIN
13	G407-E0171	G407-S006	f1r	SOURCE_SECTION_T	chol	OL	FULL_INHERITED_OPERATION	R	Y	Weiter: markiere den Posten.	Weiter: markiere den Posten.	YES	EXACT_EVENT_JOIN
14	G407-E0196	G407-S006	f1r	SOURCE_SECTION_T	ochol	O+OL	FULL_INHERITED_OPERATION	OK	AIIN	Weiter: setze den Wert; zur Ausführung.	Weiter: setze den Wert; zur Ausführung.	YES	EXACT_EVENT_JOIN
15	G407-E0210	G407-S007	f1r	SOURCE_SECTION_T	chol	OL	FULL_INHERITED_OPERATION	T	OR	Weiter: stelle die Einheit ein.	Weiter: stelle die Einheit ein.	YES	EXACT_EVENT_JOIN
16	G407-E0233	G407-S008	f10r	HERBAL	qotor	OT+OR	FULL_INHERITED_OPERATION	T	OR	Danach: stelle die Einheit ein.	Danach: stelle die Einheit ein.	YES	EXACT_EVENT_JOIN
17	G407-E0238	G407-S008	f10r	HERBAL	qotchy	OT+Y	FULL_INHERITED_OPERATION	T	Y	Danach: stelle den Posten ein.	Danach: stelle den Posten ein.	YES	EXACT_EVENT_JOIN
18	G407-E0239	G407-S008	f10r	HERBAL	chol	OL	FULL_INHERITED_OPERATION	T	Y	Weiter: stelle den Posten ein.	Weiter: stelle den Posten ein.	YES	EXACT_EVENT_JOIN
19	G407-E0253	G407-S008	f10r	HERBAL	ody	O+DY	FULL_INHERITED_OPERATION	R	OR	Markiere die Einheit; zur Ausführung; abschließen.	Markiere die Einheit; zur Ausführung; abschließen.	YES	EXACT_EVENT_JOIN
20	G407-E0256	G407-S009	f10r	HERBAL	chol	OL	FULL_INHERITED_OPERATION	CH	Y	Weiter: nimm den Posten.	Weiter: nimm den Posten.	YES	EXACT_EVENT_JOIN
21	G407-E0279	G407-S009	f10r	HERBAL	otol	OT+OL	FULL_INHERITED_OPERATION	CH	OR	Danach: nimm die Einheit; weiterführen.	Danach: nimm die Einheit; weiterführen.	YES	EXACT_EVENT_JOIN
22	G407-E0280	G407-S009	f10r	HERBAL	chol	OL	FULL_INHERITED_OPERATION	CH	OR	Weiter: nimm die Einheit.	Weiter: nimm die Einheit.	YES	EXACT_EVENT_JOIN
23	G407-E0281	G407-S009	f10r	HERBAL	cholor	OL+OR	FULL_INHERITED_OPERATION	CH	OR	Weiter: nimm die Einheit.	Weiter: nimm die Einheit.	YES	EXACT_EVENT_JOIN
24	G407-E0282	G407-S009	f10r	HERBAL	chol	OL	FULL_INHERITED_OPERATION	CH	OR	Weiter: nimm die Einheit.	Weiter: nimm die Einheit.	YES	EXACT_EVENT_JOIN
25	G407-E0292	G407-S009	f10r	HERBAL	oqotor	O+OT+OR	FULL_INHERITED_OPERATION	CH	OR	Danach: nimm die Einheit; zur Ausführung.	Danach: nimm die Einheit; zur Ausführung.	YES	EXACT_EVENT_JOIN
26	G407-E0293	G407-S009	f10r	HERBAL	otor	OT+OR	FULL_INHERITED_OPERATION	CH	OR	Danach: nimm die Einheit.	Danach: nimm die Einheit.	YES	EXACT_EVENT_JOIN
27	G407-E0299	G407-S009	f10r	HERBAL	qoty	OT+Y	FULL_INHERITED_OPERATION	SH	Y	Danach: halte den Posten.	Danach: halte den Posten.	YES	EXACT_EVENT_JOIN
28	G407-E0300	G407-S009	f10r	HERBAL	qotor	OT+OR	FULL_INHERITED_OPERATION	SH	OR	Danach: halte die Einheit.	Danach: halte die Einheit.	YES	EXACT_EVENT_JOIN
29	G407-E0302	G407-S009	f10r	HERBAL	otar	OT+AR	FULL_INHERITED_OPERATION	T	Y	Danach: stelle den Posten ein; vom Ausgang.	Danach: stelle den Posten ein; vom Ausgang.	YES	EXACT_EVENT_JOIN
30	G407-E0305	G407-S009	f10r	HERBAL	qotchy	OT+Y	FULL_INHERITED_OPERATION	T	Y	Danach: stelle den Posten ein.	Danach: stelle den Posten ein.	YES	EXACT_EVENT_JOIN
31	G407-E0306	G407-S009	f10r	HERBAL	qotor	OT+OR	FULL_INHERITED_OPERATION	T	OR	Danach: stelle die Einheit ein.	Danach: stelle die Einheit ein.	YES	EXACT_EVENT_JOIN
32	G407-E0324	G407-S011	f11r	HERBAL	qoty	OT+Y	FULL_INHERITED_OPERATION	K	Y	Danach: gib den Posten.	Danach: gib den Posten.	YES	EXACT_EVENT_JOIN
33	G407-E0325	G407-S011	f11r	HERBAL	chol	OL	FULL_INHERITED_OPERATION	K	Y	Weiter: gib den Posten.	Weiter: gib den Posten.	YES	EXACT_EVENT_JOIN
34	G407-E0334	G407-S011	f11r	HERBAL	dchol	D_ADDR+OL	FULL_INHERITED_OPERATION	CH	AIIN	Weiter: nimm den Wert; hier.	Weiter: nimm den Wert; hier.	YES	EXACT_EVENT_JOIN
35	G407-E0354	G407-S011	f11r	HERBAL	otol	OT+OL	FULL_INHERITED_OPERATION	S	Y	Danach: wähle den Posten; weiterführen.	Danach: wähle den Posten; weiterführen.	YES	EXACT_EVENT_JOIN
36	G407-E0362	G407-S011	f11r	HERBAL	qotchy	OT+Y	FULL_INHERITED_OPERATION	S	Y	Danach: wähle den Posten.	Danach: wähle den Posten.	YES	EXACT_EVENT_JOIN
