recipe_profile_ordinal	recipe	event_count	physical_page_count	surface_count	distinct_microphrase_count	distinct_effective_action_signature_count	distinct_effective_argument_signature_count	resolution_mode_count	resolution_modes	context_variability_band	written_recipe_determines_microphrase	written_all_atom_default_de	most_common_microphrase_de	example_microphrases_de	example_event_ids	scope
1	OL	189	25	5	33	10	5	3	INHERITED_ACTION_FULL_OPERATION|INHERITED_ACTION_OBJECTLESS_OPERATION|PURE_CONTINUATION	OVER_TEN	NO	weiter	Weiter: setze den Posten.	Weiter: halte den Anteil. | Weiter: gib den Posten. | Weiter: halte die Einheit. | Weiter: nimm den Posten. | Weiter: markiere den Posten. | Weiter: stelle die Einheit ein. | Weiter: stelle den Posten ein. | Weiter: nimm die Einheit. | Weiter: setze den Posten. | Weiter: halte den Posten. | Weiter: wähle den Posten. | Weiter: setze den Wert. | Weiter: setze die Einheit. | Weiter: wähle den Wert. | Weiter: gib den Wert. | Weiter: markiere den Anteil. | Weiter: bearbeite den Posten. | Weiter: setze den Anteil. | Weiter: bearbeite die Einheit. | Weiter: halte den Wert. | Weiter: wähle. | Weiter: gib die Einheit. | Weiter: nimm den Anteil. | Weiter: setze den Posten ein. | Weiter: wähle den Anteil. | Weiter: bearbeite den Wert. | Weiter: gib den Anteil. | Weiter: markiere die Einheit. | Weiter: nimm den Wert. | Weiter: markiere den Wert. | Weiter: stelle den Wert ein. | Weiter: halte. | Weiter.	G407-E0099|G407-E0114|G407-E0115|G407-E0119|G407-E0163|G407-E0171|G407-E0210|G407-E0239|G407-E0256|G407-E0280	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
2	SH+E+DY	119	11	2	5	1	5	2	VISIBLE_ACTION_FULL_OPERATION|VISIBLE_ACTION_OBJECTLESS_OPERATION	TWO_TO_FIVE	NO	halten; auf Grad I; abschließen	Halte den Posten; auf Grad I; abschließen.	Halte den Posten; auf Grad I; abschließen. | Halte die Einheit; auf Grad I; abschließen. | Halte den Anteil; auf Grad I; abschließen. | Halte den Wert; auf Grad I; abschließen. | Halte; auf Grad I; abschließen.	G407-E1431|G407-E1520|G407-E1560|G407-E1563|G407-E1579|G407-E1584|G407-E1658|G407-E1699|G407-E1702|G407-E1706	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
3	OK+EE+DY	83	11	2	5	1	5	2	VISIBLE_ACTION_FULL_OPERATION|VISIBLE_ACTION_OBJECTLESS_OPERATION	TWO_TO_FIVE	NO	setzen; auf Grad II; abschließen	Setze den Posten; auf Grad II; abschließen.	Setze den Posten; auf Grad II; abschließen. | Setze den Anteil; auf Grad II; abschließen. | Setze die Einheit; auf Grad II; abschließen. | Setze; auf Grad II; abschließen. | Setze den Wert; auf Grad II; abschließen.	G407-E0698|G407-E1151|G407-E1458|G407-E1475|G407-E1493|G407-E1513|G407-E1516|G407-E1640|G407-E1643|G407-E1674	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
4	OK+E+DY	79	11	2	5	1	5	2	VISIBLE_ACTION_FULL_OPERATION|VISIBLE_ACTION_OBJECTLESS_OPERATION	TWO_TO_FIVE	NO	setzen; auf Grad I; abschließen	Setze den Posten; auf Grad I; abschließen.	Setze den Posten; auf Grad I; abschließen. | Setze den Anteil; auf Grad I; abschließen. | Setze; auf Grad I; abschließen. | Setze den Wert; auf Grad I; abschließen. | Setze die Einheit; auf Grad I; abschließen.	G407-E1497|G407-E1536|G407-E1537|G407-E1538|G407-E1539|G407-E1709|G407-E1756|G407-E1759|G407-E1765|G407-E1766	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
5	OT+Y	40	18	4	8	8	1	1	INHERITED_ACTION_FULL_OPERATION	SIX_TO_TEN	NO	danach; den Posten	Danach: setze den Posten.	Danach: stelle den Posten ein. | Danach: halte den Posten. | Danach: gib den Posten. | Danach: wähle den Posten. | Danach: nimm den Posten. | Danach: setze den Posten. | Danach: bearbeite den Posten. | Danach: setze den Posten ein.	G407-E0238|G407-E0299|G407-E0305|G407-E0324|G407-E0362|G407-E0382|G407-E0801|G407-E0878|G407-E0883|G407-E0899	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
6	OT+E+DY	37	10	2	13	8	4	2	INHERITED_ACTION_FULL_OPERATION|STANDALONE_GRADED_CLOSE	OVER_TEN	NO	danach; auf Grad I; abschließen	Danach: setze den Posten; auf Grad I; abschließen.	Danach: setze den Anteil; auf Grad I; abschließen. | Danach: wähle den Posten; auf Grad I; abschließen. | Danach: gib den Posten; auf Grad I; abschließen. | Danach: halte den Posten; auf Grad I; abschließen. | Danach: halte den Wert; auf Grad I; abschließen. | Danach: setze den Wert; auf Grad I; abschließen. | Danach: nimm den Posten; auf Grad I; abschließen. | Danach: setze den Posten; auf Grad I; abschließen. | Danach: nimm den Wert; auf Grad I; abschließen. | Danach: setze den Anteil ein; auf Grad I; abschließen. | Danach: bearbeite den Posten; auf Grad I; abschließen. | Danach: bearbeite den Wert; auf Grad I; abschließen. | Danach: auf Grad I; abschließen.	G407-E1806|G407-E1820|G407-E1821|G407-E1822|G407-E1863|G407-E1864|G407-E2230|G407-E2287|G407-E2302|G407-E2406	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
7	L+CHD+DY	35	8	1	4	1	4	2	VISIBLE_ACTION_FULL_OPERATION|VISIBLE_ACTION_OBJECTLESS_OPERATION	TWO_TO_FIVE	NO	über die Verbindung; bearbeiten; abschließen	Bearbeite den Posten; über die Verbindung; abschließen.	Bearbeite den Posten; über die Verbindung; abschließen. | Bearbeite den Anteil; über die Verbindung; abschließen. | Bearbeite den Wert; über die Verbindung; abschließen. | Bearbeite; über die Verbindung; abschließen.	G407-E1512|G407-E1644|G407-E1972|G407-E2013|G407-E2024|G407-E2062|G407-E2069|G407-E2223|G407-E2242|G407-E2289	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
8	OL+Y	33	13	7	8	8	1	2	ARGUMENT_REFERENCE_INITIALIZER|INHERITED_ACTION_FULL_OPERATION	SIX_TO_TEN	NO	weiter; den Posten	Weiter: setze den Posten.	Weiter: nimm den Posten. | Weiter: setze den Posten. | Weiter: wähle den Posten. | Weiter: halte den Posten. | Weiter: stelle den Posten ein. | Weiter: bearbeite den Posten. | Weiter: setze den Posten ein. | Weiter: Bezug auf den Posten.	G407-E0809|G407-E0814|G407-E1002|G407-E1228|G407-E1333|G407-E1515|G407-E1525|G407-E1589|G407-E1651|G407-E1684	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
9	OK+OL	28	16	6	4	1	4	2	VISIBLE_ACTION_FULL_OPERATION|VISIBLE_ACTION_OBJECTLESS_OPERATION	TWO_TO_FIVE	NO	setzen; weiter	Weiter: setze den Posten.	Weiter: setze den Wert. | Weiter: setze den Posten. | Weiter: setze die Einheit. | Weiter: setze.	G407-E0184|G407-E0268|G407-E0363|G407-E0471|G407-E0531|G407-E0543|G407-E0583|G407-E0633|G407-E0815|G407-E0954	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
10	OT+EE+DY	28	8	2	15	9	5	2	INHERITED_ACTION_FULL_OPERATION|STANDALONE_GRADED_CLOSE	OVER_TEN	NO	danach; auf Grad II; abschließen	Danach: bearbeite den Posten; auf Grad II; abschließen.	Danach: bearbeite den Posten; auf Grad II; abschließen. | Danach: stelle den Posten ein; auf Grad II; abschließen. | Danach: wähle den Posten; auf Grad II; abschließen. | Danach: setze den Anteil; auf Grad II; abschließen. | Danach: setze den Posten; auf Grad II; abschließen. | Danach: halte den Anteil; auf Grad II; abschließen. | Danach: stelle den Anteil ein; auf Grad II; abschließen. | Danach: halte die Einheit; auf Grad II; abschließen. | Danach: setze den Wert; auf Grad II; abschließen. | Danach: halte den Posten; auf Grad II; abschließen. | Danach: bearbeite die Einheit; auf Grad II; abschließen. | Danach: nimm den Wert; auf Grad II; abschließen. | Danach: gib den Posten; auf Grad II; abschließen. | Danach: setze den Wert ein; auf Grad II; abschließen. | Danach: auf Grad II; abschließen.	G407-E1145|G407-E1311|G407-E1330|G407-E1784|G407-E1793|G407-E1926|G407-E2311|G407-E2362|G407-E2412|G407-E2419	EXACT_RECIPE_PROFILE__EVENT_CONTEXT_SELECTS_MICROPHRASE
