repeated_card_ordinal	event_id	statement_id	physical_page	register	surface	recipe	written_action_roots	written_action_slot_count	distinct_action_root_count	direct_adjacent_repeat	repeat_status	rendered_action_chain_de	expanded_action_chain_de	owner_free_microphrase_de	action_slot_roundtrip
1	G407-E0847	G407-S039	f56r	HERBAL	cheeckhody	CH+EE+CH+K+O+DY	CH|CH|K	3	2	NO	REPEATED_ROOTS_SEPARATED_AND_RETAINED	nimm den Posten und nimm den Posten und gib den Posten	nimm den Posten und nimm den Posten und gib den Posten	Nimm den Posten und nimm den Posten und gib den Posten; auf Grad II; zur Ausführung; abschließen.	YES
2	G407-E0851	G407-S040	f56r	HERBAL	chotchey	CH+OT+CH+E+Y	CH|CH	2	1	NO	REPEATED_ROOTS_SEPARATED_AND_RETAINED	nimm den Posten und nimm den Posten	nimm den Posten und nimm den Posten	Danach: nimm den Posten und nimm den Posten; auf Grad I.	YES
3	G407-E1058	G407-S054	f68r1	CELESTIAL	chkchykoly	CH+K+CH+Y+K+OL+Y	CH|K|CH|K	4	2	NO	REPEATED_ROOTS_SEPARATED_AND_RETAINED	nimm die beiden Posten und gib die beiden Posten und nimm die beiden Posten und gib die beiden Posten	nimm die beiden Posten und gib die beiden Posten und nimm die beiden Posten und gib die beiden Posten	Weiter: nimm die beiden Posten und gib die beiden Posten und nimm die beiden Posten und gib die beiden Posten.	YES
4	G407-E1728	G407-S141	f75r	BIOLOGICAL	chcthedy	CH+CH+T+E+DY	CH|CH|T	3	2	YES	DIRECT_ADJACENT_REPEAT_COMPRESSED	nimm den Anteil zweimal und stelle den Anteil ein	nimm den Anteil und nimm den Anteil und stelle den Anteil ein	Nimm den Anteil zweimal und stelle den Anteil ein; auf Grad I; abschließen.	YES
5	G407-E1914	G407-S210	f76r	BIOLOGICAL	chcphedy	CH+CH+P+E+DY	CH|CH|P	3	2	YES	DIRECT_ADJACENT_REPEAT_COMPRESSED	nimm den Anteil zweimal und setze den Anteil ein	nimm den Anteil und nimm den Anteil und setze den Anteil ein	Nimm den Anteil zweimal und setze den Anteil ein; auf Grad I; abschließen.	YES
6	G407-E2115	G407-S253	f76r	BIOLOGICAL	cheolchey	CH+E+OL+CH+E+Y	CH|CH	2	1	NO	REPEATED_ROOTS_SEPARATED_AND_RETAINED	nimm den Posten und nimm den Posten	nimm den Posten und nimm den Posten	Weiter: nimm den Posten und nimm den Posten; auf Grad I; auf Grad I.	YES
7	G407-E2706	G407-S392	f77r	BIOLOGICAL	saiisol	S+A_ADDR+IIN+S+OL	S|S	2	1	NO	REPEATED_ROOTS_SEPARATED_AND_RETAINED	wähle den Posten und wähle den Posten	wähle den Posten und wähle den Posten	Weiter: wähle den Posten und wähle den Posten; hier; auf der Stufe.	YES
8	G407-E3528	G407-S576	f83r	BIOLOGICAL	checphedy	CH+E+CH+P+E+DY	CH|CH|P	3	2	NO	REPEATED_ROOTS_SEPARATED_AND_RETAINED	nimm die Einheit und nimm die Einheit und setze die Einheit ein	nimm die Einheit und nimm die Einheit und setze die Einheit ein	Nimm die Einheit und nimm die Einheit und setze die Einheit ein; auf Grad I; auf Grad I; abschließen.	YES
9	G407-E3576	G407-S588	f83r	BIOLOGICAL	lchcphedy	L+CH+CH+P+E+DY	CH|CH|P	3	2	YES	DIRECT_ADJACENT_REPEAT_COMPRESSED	nimm den Posten zweimal und setze den Posten ein	nimm den Posten und nimm den Posten und setze den Posten ein	Nimm den Posten zweimal und setze den Posten ein; über die Verbindung; auf Grad I; abschließen.	YES
10	G407-E3803	G407-S648	f88r	PHARMA	chcthol	CH+CH+T+OL	CH|CH|T	3	2	YES	DIRECT_ADJACENT_REPEAT_COMPRESSED	nimm die Einheit zweimal und stelle die Einheit ein	nimm die Einheit und nimm die Einheit und stelle die Einheit ein	Weiter: nimm die Einheit zweimal und stelle die Einheit ein.	YES
11	G407-E4208	G407-S675	f89r	PHARMA	dolchsyckheol	D_ADDR+OL+CH+S+Y+CH+K+E+OL	CH|S|CH|K	4	3	NO	REPEATED_ROOTS_SEPARATED_AND_RETAINED	nimm den Posten und wähle den Posten und nimm den Posten und gib den Posten	nimm den Posten und wähle den Posten und nimm den Posten und gib den Posten	Weiter: nimm den Posten und wähle den Posten und nimm den Posten und gib den Posten; hier; auf Grad I; nochmals weiterführen.	YES
12	G407-E4486	G407-S697	f95v	HERBAL	chcthykedy	CH+CH+T+Y+K+E+DY	CH|CH|T|K	4	3	YES	DIRECT_ADJACENT_REPEAT_COMPRESSED	nimm den Posten zweimal und stelle den Posten ein und gib den Posten	nimm den Posten und nimm den Posten und stelle den Posten ein und gib den Posten	Nimm den Posten zweimal und stelle den Posten ein und gib den Posten; auf Grad I; abschließen.	YES
13	G407-E4562	G407-S713	f95v	HERBAL	shotshey	SH+OT+SH+E+Y	SH|SH	2	1	NO	REPEATED_ROOTS_SEPARATED_AND_RETAINED	halte den Posten und halte den Posten	halte den Posten und halte den Posten	Danach: halte den Posten und halte den Posten; auf Grad I.	YES
14	G515-E0055	G515-S005	f4r	HERBAL	shyshol	SH+Y+SH+OL	SH|SH	2	1	NO	REPEATED_ROOTS_SEPARATED_AND_RETAINED	halte den Posten und halte den Posten	halte den Posten und halte den Posten	Weiter: halte den Posten und halte den Posten.	YES
15	G515-E0496	G515-S059	f66r	SOURCE_SECTION_T	chcthedy	CH+CH+T+E+DY	CH|CH|T	3	2	YES	DIRECT_ADJACENT_REPEAT_COMPRESSED	nimm den Posten zweimal und stelle den Posten ein	nimm den Posten und nimm den Posten und stelle den Posten ein	Nimm den Posten zweimal und stelle den Posten ein; auf Grad I; abschließen.	YES
16	G515-E0516	G515-S064	f66r	SOURCE_SECTION_T	chckhedy	CH+CH+K+E+DY	CH|CH|K	3	2	YES	DIRECT_ADJACENT_REPEAT_COMPRESSED	nimm den Posten zweimal und gib den Posten	nimm den Posten und nimm den Posten und gib den Posten	Nimm den Posten zweimal und gib den Posten; auf Grad I; abschließen.	YES
