component_no	component	short_value_de	construction_slot	grammar_tier	exact_cards	events	apprentice_rule
C01	OK	ANSETZEN	START_ACTION	PARADIGM_CORE33	24	80	compose freely in registered recipe slot
C02	CHD	UMSETZEN	TRANSFER_ACTION	PARADIGM_CORE33	22	48	compose freely in registered recipe slot
C03	SH	HALTEN	STATE_ACTION	PARADIGM_CORE33	20	25	compose freely in registered recipe slot
C04	SHED	STEHENLASSEN	STATE_ACTION	PARADIGM_CORE33	3	15	compose freely in registered recipe slot
C05	CHK	WAERMEN	PROCESS_ACTION	PARADIGM_CORE33	4	7	compose freely in registered recipe slot
C06	CTH	BEREITEN	STATE_ACTION	PARADIGM_CORE33	8	15	compose freely in registered recipe slot
C07	SOLK	SAMMELN	PROCESS_ACTION	PARADIGM_CORE33	5	7	compose freely with revised concrete workshop value
C08	P	EINBRINGEN	TRANSFER_ACTION	PARADIGM_CORE33	3	3	compose freely with revised concrete workshop value
C09	LSH	SPUELEN	PROCESS_ACTION	PARADIGM_CORE33	2	3	compose freely in registered recipe slot
C10	CFH	AUSPRESSEN	PROCESS_ACTION	PARADIGM_CORE33	1	1	compose freely in registered recipe slot
C11	CH	ENTNEHMEN	MATERIAL_ACTION	PARADIGM_CORE33	15	16	compose freely in registered recipe slot
C12	T	BEARBEITEN	GENERAL_ACTION	PARADIGM_CORE33	9	10	compose freely with revised concrete workshop value
C13	K	ZUGEBEN	MATERIAL_ACTION	PARADIGM_CORE33	18	21	compose freely in registered recipe slot
C14	S	PROBE	QUANTITY_CHECK	PARADIGM_CORE33	1	1	compose freely in registered recipe slot
C15	L	LEITEN	TRANSFER_ACTION	PARADIGM_CORE33	18	27	compose freely in registered recipe slot
C16	OL	WEITER	ORDER_CONTINUE	PARADIGM_CORE33	25	48	compose freely in registered recipe slot
C17	OT	DANACH	ORDER_NEXT	PARADIGM_CORE33	16	26	compose freely in registered recipe slot
C18	AL	ZIELSTELLE	ADDRESS_TARGET	PARADIGM_CORE33	22	39	compose freely in registered recipe slot
C19	AR	QUELLE	ADDRESS_SOURCE	PARADIGM_CORE33	10	14	compose freely in registered recipe slot
C20	AIR	WASSER	MATERIAL_WATER	PARADIGM_CORE33	5	5	compose freely in registered recipe slot
C21	OR	ANSATZ	MATERIAL_BATCH	PARADIGM_CORE33	10	18	compose freely in registered recipe slot
C22	HO	ZUTAT	MATERIAL_ADDITION	PARADIGM_CORE33	5	8	compose freely in registered recipe slot
C23	CKH	DURCHLASS	ADDRESS_PATH	PARADIGM_CORE33	9	14	compose freely in registered recipe slot
C24	O	ARBEITSGANG	WORK_CONTEXT	PARADIGM_CORE33	18	19	name the current workshop operation as ARBEITSGANG
C25	Y	POSTEN	CURRENT_REFERENT	PARADIGM_CORE33	60	124	name the current work item as POSTEN
C26	AIN	PORTION	QUANTITY_PORTION	PARADIGM_CORE33	8	18	compose freely in registered recipe slot
C27	AIIN	SOLLMASS	QUANTITY_MEASURE	PARADIGM_CORE33	10	39	compose freely in registered recipe slot
C28	IIN	STUFE	SETTING_STAGE	PARADIGM_CORE33	3	4	compose freely in registered recipe slot
C29	E	KURZ	GRADE_SHORT	PARADIGM_CORE33	35	50	compose freely in registered recipe slot
C30	EE	LANG	GRADE_LONG	PARADIGM_CORE33	17	40	compose freely in registered recipe slot
C31	EEE	VOLL	GRADE_FULL	PARADIGM_CORE33	2	2	compose freely in registered recipe slot
C32	R	KUEHLEN	PROCESS_ACTION	PARADIGM_CORE33	6	6	compose freely in registered recipe slot
C33	AN	NACHGABE	BOUND_ADDITION	BOUND_COMPONENT	1	1	use only in attested bound frame
C34	DA	ZWEI	BOUND_NUMBER	BOUND_COMPONENT	1	1	use only in attested bound frame
C35	LD	BEFESTIGEN	BOUND_FASTEN	BOUND_COMPONENT	1	1	use only in attested bound frame
C36	DY	SCHLUSS	LICENSED_CLOSE	PARADIGM_CORE33	37	89	compose freely in registered recipe slot
C37	OS	DAZU	WHOLE_CONNECTOR	MEMORIZED_WHOLE_CONNECTOR	1	1	memorize this complete short word
C38	RESUME_CARD	DAVON	WHOLE_ANAPHOR	MEMORIZED_WHOLE_ANAPHOR	1	2	memorize this complete short word
C39	TALAM	BEISEITESTELLEN	WHOLE_OPERATION	MEMORIZED_WHOLE_OPERATION	1	1	memorize this complete short word
