event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	card_value_de	five_habit_class	master_recovery
3	H1-S001	H1	f10r	char	MC055	davon	OPEN_CH_ENTRY	EXACT
4	H1-S001	H1	f10r	chty	MC086	Anteil	OPEN_CH_ENTRY	EXACT
8	H1-S001	H1	f10r	oky	MC026	einsetzen	BARE_OR_INTERNAL	EXACT
9	H1-S001	H1	f10r	daiin	MC039	Sollmaß	HARD_D_T_ENTRY	EXACT
11	H1-S002	H1	f10r	qokchy	MC103	weiterbearbeiten	Q_CELL_ENTRY	EXACT
13	H1-S002	H1	f10r	chol	MC153	weiter	OPEN_CH_ENTRY	EXACT
14	H1-S002	H1	f10r	cthy	MC161	bereit	BARE_OR_INTERNAL	EXACT
16	H2-S001	H2	f10r	cthy	MC161	bereit	BARE_OR_INTERNAL	EXACT
17	H2-S001	H2	f10r	chor	MC080	Ansatz	OPEN_CH_ENTRY	EXACT
20	H2-S001	H2	f10r	dy	MC123	dies	HARD_D_T_ENTRY	EXACT
21	H2-S001	H2	f10r	chy	MC123	dies	OPEN_CH_ENTRY	EXACT
22	H2-S001	H2	f10r	taiin	MC039	Sollmaß	HARD_D_T_ENTRY	EXACT
23	H2-S001	H2	f10r	shy	MC123	dies	S_FLOW_ENTRY	EXACT
24	H2-S002	H2	f10r	qotchor	MC013	Folgeansatz	Q_CELL_ENTRY	EXACT
25	H2-S002	H2	f10r	chor	MC080	Ansatz	OPEN_CH_ENTRY	EXACT
27	H2-S002	H2	f10r	chol	MC153	weiter	OPEN_CH_ENTRY	EXACT
28	H2-S002	H2	f10r	cholor	MC157	derselbe Ansatz	OPEN_CH_ENTRY	EXACT
29	H2-S002	H2	f10r	chol	MC153	weiter	OPEN_CH_ENTRY	EXACT
30	H2-S002	H2	f10r	daiin	MC039	Sollmaß	HARD_D_T_ENTRY	EXACT
31	H2-S002	H2	f10r	dar	MC055	davon	HARD_D_T_ENTRY	EXACT
33	H2-S003	H2	f10r	shor	MC080	Ansatz	S_FLOW_ENTRY	EXACT
34	H2-S003	H2	f10r	chor	MC080	Ansatz	OPEN_CH_ENTRY	EXACT
35	H2-S003	H2	f10r	chy	MC123	dies	OPEN_CH_ENTRY	EXACT
37	H2-S003	H2	f10r	dy	MC123	dies	HARD_D_T_ENTRY	EXACT
44	H3-S001	H3	f11r	shey	MC119	Klarauszug	S_FLOW_ENTRY	EXACT
47	H3-S003	H3	f11r	dchol	MC142	vom vorigen	HARD_D_T_ENTRY	EXACT
48	H3-S003	H3	f11r	chy	MC123	dies	OPEN_CH_ENTRY	EXACT
50	H3-S003	H3	f11r	dy	MC123	dies	HARD_D_T_ENTRY	EXACT
51	H3-S003	H3	f11r	daiin	MC039	Sollmaß	HARD_D_T_ENTRY	EXACT
54	H3-S004	H3	f11r	cthy	MC161	bereit	BARE_OR_INTERNAL	EXACT
55	H3-S004	H3	f11r	dy	MC123	dies	HARD_D_T_ENTRY	EXACT
56	H4-S001	H4	f55v	qokaiin	MC120	bemessen	Q_CELL_ENTRY	EXACT
57	H4-S001	H4	f55v	chaiin	MC039	Sollmaß	OPEN_CH_ENTRY	EXACT
61	H4-S002	H4	f55v	daiin	MC039	Sollmaß	HARD_D_T_ENTRY	EXACT
62	H4-S002	H4	f55v	chedy	MC074	überführen	OPEN_CH_ENTRY	EXACT
66	H4-S003	H4	f55v	cheeky	MC032	länger bearbeiten	BARE_OR_INTERNAL	EXACT
67	H4-S003	H4	f55v	oldy	MC019	fertig	BARE_OR_INTERNAL	EXACT
68	H4-S004	H4	f55v	aiin	MC039	Sollmaß	BARE_OR_INTERNAL	EXACT
69	H4-S004	H4	f55v	okal	MC040	dorthin einsetzen	BARE_OR_INTERNAL	EXACT
71	H4-S004	H4	f55v	or	MC080	Ansatz	BARE_OR_INTERNAL	EXACT
72	H4-S004	H4	f55v	y	MC123	dies	BARE_OR_INTERNAL	EXACT
75	H5-S001	H5	f56r	cho	MC034	weitere Zutat	HARD_D_T_ENTRY	EXACT
77	H5-S001	H5	f56r	daiin	MC039	Sollmaß	HARD_D_T_ENTRY	EXACT
78	H5-S001	H5	f56r	sho	MC034	weitere Zutat	S_FLOW_ENTRY	EXACT
80	H5-S001	H5	f56r	otchor	MC013	Folgeansatz	BARE_OR_INTERNAL	EXACT
81	H5-S001	H5	f56r	choky	MC026	einsetzen	OPEN_CH_ENTRY	EXACT
82	H5-S001	H5	f56r	dal	MC154	dorthin	HARD_D_T_ENTRY	EXACT
83	H5-S002	H5	f56r	schol	MC142	vom vorigen	S_FLOW_ENTRY	EXACT
85	H5-S002	H5	f56r	choky	MC026	einsetzen	OPEN_CH_ENTRY	EXACT
88	H5-S003	H5	f56r	cho	MC034	weitere Zutat	HARD_D_T_ENTRY	EXACT
91	H5-S004	H5	f56r	okchy	MC103	weiterbearbeiten	BARE_OR_INTERNAL	EXACT
