profile	master_card_id	master_form	card_value_de	chosen_surface	chosen_habit	fallback_used	registered_surface
MASTER_BARE	MC002	okeey	lange einwirken	okeey	BARE_OR_INTERNAL	NO	YES
CH_OPEN_HAND	MC002	okeey	lange einwirken	okeey	BARE_OR_INTERNAL	YES	YES
Q_CELL_HAND	MC002	okeey	lange einwirken	qokeey	Q_CELL_ENTRY	NO	YES
S_FLOW_HAND	MC002	okeey	lange einwirken	okeey	BARE_OR_INTERNAL	YES	YES
HARD_COMPACT_HAND	MC002	okeey	lange einwirken	okeey	BARE_OR_INTERNAL	YES	YES
MASTER_BARE	MC004	ldy	abziehen; Schluss	ldy	BARE_OR_INTERNAL	NO	YES
CH_OPEN_HAND	MC004	ldy	abziehen; Schluss	ldy	BARE_OR_INTERNAL	YES	YES
Q_CELL_HAND	MC004	ldy	abziehen; Schluss	ldy	BARE_OR_INTERNAL	YES	YES
S_FLOW_HAND	MC004	ldy	abziehen; Schluss	ldy	BARE_OR_INTERNAL	YES	YES
HARD_COMPACT_HAND	MC004	ldy	abziehen; Schluss	ldy	BARE_OR_INTERNAL	YES	YES
MASTER_BARE	MC005	okchedy	einführen; Schluss	okchedy	BARE_OR_INTERNAL	NO	YES
CH_OPEN_HAND	MC005	okchedy	einführen; Schluss	okchedy	BARE_OR_INTERNAL	YES	YES
Q_CELL_HAND	MC005	okchedy	einführen; Schluss	qokchedy	Q_CELL_ENTRY	NO	YES
S_FLOW_HAND	MC005	okchedy	einführen; Schluss	okchedy	BARE_OR_INTERNAL	YES	YES
HARD_COMPACT_HAND	MC005	okchedy	einführen; Schluss	okchedy	BARE_OR_INTERNAL	YES	YES
MASTER_BARE	MC007	okey	kurz einwirken	okey	BARE_OR_INTERNAL	NO	YES
CH_OPEN_HAND	MC007	okey	kurz einwirken	okey	BARE_OR_INTERNAL	YES	YES
Q_CELL_HAND	MC007	okey	kurz einwirken	qokey	Q_CELL_ENTRY	NO	YES
S_FLOW_HAND	MC007	okey	kurz einwirken	okey	BARE_OR_INTERNAL	YES	YES
HARD_COMPACT_HAND	MC007	okey	kurz einwirken	okey	BARE_OR_INTERNAL	YES	YES
MASTER_BARE	MC012	dl	Zusatz	dl	BARE_OR_INTERNAL	NO	YES
CH_OPEN_HAND	MC012	dl	Zusatz	dl	BARE_OR_INTERNAL	YES	YES
Q_CELL_HAND	MC012	dl	Zusatz	dl	BARE_OR_INTERNAL	YES	YES
S_FLOW_HAND	MC012	dl	Zusatz	dl	BARE_OR_INTERNAL	YES	YES
HARD_COMPACT_HAND	MC012	dl	Zusatz	dl	BARE_OR_INTERNAL	YES	YES
MASTER_BARE	MC013	otchor	Folgeansatz	otchor	BARE_OR_INTERNAL	NO	YES
CH_OPEN_HAND	MC013	otchor	Folgeansatz	otchor	BARE_OR_INTERNAL	YES	YES
Q_CELL_HAND	MC013	otchor	Folgeansatz	qotchor	Q_CELL_ENTRY	NO	YES
S_FLOW_HAND	MC013	otchor	Folgeansatz	otchor	BARE_OR_INTERNAL	YES	YES
HARD_COMPACT_HAND	MC013	otchor	Folgeansatz	otchor	BARE_OR_INTERNAL	YES	YES
MASTER_BARE	MC017	okain	Anteil zugeben	okain	BARE_OR_INTERNAL	NO	YES
CH_OPEN_HAND	MC017	okain	Anteil zugeben	okain	BARE_OR_INTERNAL	YES	YES
Q_CELL_HAND	MC017	okain	Anteil zugeben	qokain	Q_CELL_ENTRY	NO	YES
S_FLOW_HAND	MC017	okain	Anteil zugeben	okain	BARE_OR_INTERNAL	YES	YES
HARD_COMPACT_HAND	MC017	okain	Anteil zugeben	okain	BARE_OR_INTERNAL	YES	YES
MASTER_BARE	MC019	oldy	fertig	oldy	BARE_OR_INTERNAL	NO	YES
CH_OPEN_HAND	MC019	oldy	fertig	oldy	BARE_OR_INTERNAL	YES	YES
Q_CELL_HAND	MC019	oldy	fertig	oldy	BARE_OR_INTERNAL	YES	YES
S_FLOW_HAND	MC019	oldy	fertig	oldy	BARE_OR_INTERNAL	YES	YES
HARD_COMPACT_HAND	MC019	oldy	fertig	oldy	BARE_OR_INTERNAL	YES	YES
MASTER_BARE	MC025	dchedy	überführen; Schluss	schedy	S_FLOW_ENTRY	YES	YES
CH_OPEN_HAND	MC025	dchedy	überführen; Schluss	schedy	S_FLOW_ENTRY	YES	YES
Q_CELL_HAND	MC025	dchedy	überführen; Schluss	schedy	S_FLOW_ENTRY	YES	YES
S_FLOW_HAND	MC025	dchedy	überführen; Schluss	schedy	S_FLOW_ENTRY	NO	YES
HARD_COMPACT_HAND	MC025	dchedy	überführen; Schluss	dchedy	HARD_D_T_ENTRY	NO	YES
MASTER_BARE	MC026	choky	einsetzen	oky	BARE_OR_INTERNAL	NO	YES
CH_OPEN_HAND	MC026	choky	einsetzen	choky	OPEN_CH_ENTRY	NO	YES
Q_CELL_HAND	MC026	choky	einsetzen	qoky	Q_CELL_ENTRY	NO	YES
S_FLOW_HAND	MC026	choky	einsetzen	oky	BARE_OR_INTERNAL	YES	YES
HARD_COMPACT_HAND	MC026	choky	einsetzen	oky	BARE_OR_INTERNAL	YES	YES
MASTER_BARE	MC028	olchedy	weiterführen; Schluss	olchedy	BARE_OR_INTERNAL	NO	YES
CH_OPEN_HAND	MC028	olchedy	weiterführen; Schluss	olchedy	BARE_OR_INTERNAL	YES	YES
Q_CELL_HAND	MC028	olchedy	weiterführen; Schluss	qolchedy	Q_CELL_ENTRY	NO	YES
S_FLOW_HAND	MC028	olchedy	weiterführen; Schluss	olchedy	BARE_OR_INTERNAL	YES	YES
HARD_COMPACT_HAND	MC028	olchedy	weiterführen; Schluss	olchedy	BARE_OR_INTERNAL	YES	YES
MASTER_BARE	MC032	cheeky	länger bearbeiten	cheeky	BARE_OR_INTERNAL	NO	YES
CH_OPEN_HAND	MC032	cheeky	länger bearbeiten	cheeky	BARE_OR_INTERNAL	YES	YES
Q_CELL_HAND	MC032	cheeky	länger bearbeiten	cheeky	BARE_OR_INTERNAL	YES	YES
S_FLOW_HAND	MC032	cheeky	länger bearbeiten	cheeky	BARE_OR_INTERNAL	YES	YES
HARD_COMPACT_HAND	MC032	cheeky	länger bearbeiten	cheeky	BARE_OR_INTERNAL	YES	YES
MASTER_BARE	MC033	oiiin	Arbeitsstufe	oiiin	BARE_OR_INTERNAL	NO	YES
CH_OPEN_HAND	MC033	oiiin	Arbeitsstufe	oiiin	BARE_OR_INTERNAL	YES	YES
Q_CELL_HAND	MC033	oiiin	Arbeitsstufe	oiiin	BARE_OR_INTERNAL	YES	YES
S_FLOW_HAND	MC033	oiiin	Arbeitsstufe	soiiin	S_FLOW_ENTRY	NO	YES
