master_card_id	master_form	card_value_de	surface_count	registered_surfaces	five_habit_classes	apprentice_rule	semantic_change
MC002	okeey	lange einwirken	2	okeey|qokeey	BARE_OR_INTERNAL|Q_CELL_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC004	ldy	abziehen; Schluss	1	ldy	BARE_OR_INTERNAL	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC005	okchedy	einführen; Schluss	2	okchedy|qokchedy	BARE_OR_INTERNAL|Q_CELL_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC007	okey	kurz einwirken	2	okey|qokey	BARE_OR_INTERNAL|Q_CELL_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC012	dl	Zusatz	1	dl	BARE_OR_INTERNAL	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC013	otchor	Folgeansatz	2	otchor|qotchor	BARE_OR_INTERNAL|Q_CELL_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC017	okain	Anteil zugeben	2	okain|qokain	BARE_OR_INTERNAL|Q_CELL_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC019	oldy	fertig	1	oldy	BARE_OR_INTERNAL	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC025	dchedy	überführen; Schluss	3	dchedy|schedy|tchedy	HARD_D_T_ENTRY|S_FLOW_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC026	choky	einsetzen	3	choky|oky|qoky	BARE_OR_INTERNAL|OPEN_CH_ENTRY|Q_CELL_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC028	olchedy	weiterführen; Schluss	2	olchedy|qolchedy	BARE_OR_INTERNAL|Q_CELL_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC032	cheeky	länger bearbeiten	1	cheeky	BARE_OR_INTERNAL	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC033	oiiin	Arbeitsstufe	2	oiiin|soiiin	BARE_OR_INTERNAL|S_FLOW_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC034	cho	weitere Zutat	2	cho|sho	HARD_D_T_ENTRY|S_FLOW_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC035	chckhy	durchleiten	2	chckhy|shckhy	HARD_D_T_ENTRY|S_FLOW_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
MC039	aiin	Sollmaß	5	aiin|chaiin|daiin|saiin|taiin	BARE_OR_INTERNAL|HARD_D_T_ENTRY|OPEN_CH_ENTRY|S_FLOW_ENTRY	LEARN_ONE_MASTER_CARD_THEN_CHOOSE_ONLY_A_REGISTERED_ENTRY_HABIT	NONE
