visible_surface	master_card_id	master_form	card_value_de	old_renderer_gesture	five_habit_class	old_family_class
okeey	MC002	okeey	lange einwirken	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
qokeey	MC002	okeey	lange einwirken	Q_ENTRY	Q_CELL_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
ldy	MC004	ldy	abziehen; Schluss	ZERO	BARE_OR_INTERNAL	SINGLE_REGISTERED_FORM
okchedy	MC005	okchedy	einführen; Schluss	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
qokchedy	MC005	okchedy	einführen; Schluss	Q_ENTRY	Q_CELL_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
okey	MC007	okey	kurz einwirken	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
qokey	MC007	okey	kurz einwirken	Q_ENTRY	Q_CELL_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
dl	MC012	dl	Zusatz	ZERO	BARE_OR_INTERNAL	SINGLE_REGISTERED_FORM
otchor	MC013	otchor	Folgeansatz	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
qotchor	MC013	otchor	Folgeansatz	Q_ENTRY	Q_CELL_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
okain	MC017	okain	Anteil zugeben	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
qokain	MC017	okain	Anteil zugeben	Q_ENTRY	Q_CELL_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
oldy	MC019	oldy	fertig	ZERO	BARE_OR_INTERNAL	SINGLE_REGISTERED_FORM
dchedy	MC025	dchedy	überführen; Schluss	D_ENTRY	HARD_D_T_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
schedy	MC025	dchedy	überführen; Schluss	S_ENTRY	S_FLOW_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
tchedy	MC025	dchedy	überführen; Schluss	T_ENTRY	HARD_D_T_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
choky	MC026	choky	einsetzen	CH_ENTRY	OPEN_CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
oky	MC026	choky	einsetzen	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
qoky	MC026	choky	einsetzen	Q_ENTRY	Q_CELL_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
olchedy	MC028	olchedy	weiterführen; Schluss	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
qolchedy	MC028	olchedy	weiterführen; Schluss	Q_ENTRY	Q_CELL_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
cheeky	MC032	cheeky	länger bearbeiten	ZERO	BARE_OR_INTERNAL	SINGLE_REGISTERED_FORM
oiiin	MC033	oiiin	Arbeitsstufe	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
soiiin	MC033	oiiin	Arbeitsstufe	S_ENTRY	S_FLOW_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES
cho	MC034	cho	weitere Zutat	OTHER_ENTRY	HARD_D_T_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
sho	MC034	cho	weitere Zutat	S_ENTRY	S_FLOW_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
chckhy	MC035	chckhy	durchleiten	OTHER_ENTRY	HARD_D_T_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
shckhy	MC035	chckhy	durchleiten	S_ENTRY	S_FLOW_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES
aiin	MC039	aiin	Sollmaß	ZERO	BARE_OR_INTERNAL	FREE_STABLE_HOST_PLUS_ENTRIES
