component_recipe	card_types	card_ids	events	invariant_chd_value	composed_reading_de	endpoint
AL+CHD+DY	1	PROC144	1	UMSETZEN	ZIELSTELLE · UMSETZEN; SCHLUSS	CLOSED
CHD+AIN	1	PROC151	1	UMSETZEN	UMSETZEN · PORTION	ACTIVE_OR_ARGUMENT_BEARING
CHD+AIR	1	PROC150	1	UMSETZEN	UMSETZEN · FLUESSIGKEITSLAUF	ACTIVE_OR_ARGUMENT_BEARING
CHD+AL	1	PROC168	1	UMSETZEN	UMSETZEN · ZIELSTELLE	ACTIVE_OR_ARGUMENT_BEARING
CHD+DY	2	PROC076|PROC094	5	UMSETZEN	UMSETZEN; SCHLUSS	CLOSED
CHD+Y	2	PROC042|PROC133	12	UMSETZEN	UMSETZEN · ARBEITSPOSTEN	ACTIVE_OR_ARGUMENT_BEARING
L+CHD	1	PROC102	1	UMSETZEN	WEITERLEITEN · UMSETZEN	ACTIVE_OR_ARGUMENT_BEARING
L+CHD+AL	1	PROC088	1	UMSETZEN	WEITERLEITEN · UMSETZEN · ZIELSTELLE	ACTIVE_OR_ARGUMENT_BEARING
L+CHD+AR	1	PROC123	1	UMSETZEN	WEITERLEITEN · UMSETZEN · VORRAT	ACTIVE_OR_ARGUMENT_BEARING
L+CHD+DY	1	PROC120	8	UMSETZEN	WEITERLEITEN · UMSETZEN; SCHLUSS	CLOSED
L+O+CHD+DY	1	PROC130	1	UMSETZEN	WEITERLEITEN · ARBEITSGANG · UMSETZEN; SCHLUSS	CLOSED
OK+CHD+DY	2	PROC082|PROC091	5	UMSETZEN	ANSETZEN · UMSETZEN; SCHLUSS	CLOSED
OL+CHD+DY	1	PROC079	3	UMSETZEN	FORTSETZEN · UMSETZEN; SCHLUSS	CLOSED
OT+CHD+DY	2	PROC145|PROC166	3	UMSETZEN	DANACH · UMSETZEN; SCHLUSS	CLOSED
P+CHD+AL	1	PROC134	1	UMSETZEN	EINFUELLEN · UMSETZEN · ZIELSTELLE	ACTIVE_OR_ARGUMENT_BEARING
P+CHD+DY	1	PROC125	1	UMSETZEN	EINFUELLEN · UMSETZEN; SCHLUSS	CLOSED
SH+E+CTH+CHD+Y	1	PROC136	1	UMSETZEN	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN	ACTIVE_OR_ARGUMENT_BEARING
SH+K+CHD+DY	1	PROC077	1	UMSETZEN	HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS	CLOSED
