event_id	page	record	statement_id	card_no	surface	component_recipe	composed_reading_de	contains_close	statement_final
E062	f55v	H4	H4-S002	PROC042	chedy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	NO	NO
E120	f81v	B1	B1-S002	PROC076	schedy	CHD+DY	UMSETZEN; SCHLUSS	YES	YES
E122	f81v	B1	B1-S003	PROC077	sshkchdy	SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS	YES	YES
E123	f81v	B1	B1-S004	PROC042	chedy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	NO	NO
E126	f81v	B1	B1-S005	PROC079	qolchedy	OL+CHD+DY	FORTSETZEN · UMSETZEN; SCHLUSS	YES	YES
E131	f81v	B1	B1-S007	PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	YES	YES
E145	f81v	B1	B1-S014	PROC042	chedy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	NO	NO
E147	f81v	B1	B1-S014	PROC088	lchedal	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIELSTELLE	NO	NO
E151	f81v	B1	B1-S015	PROC091	okchedy	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	YES	YES
E158	f81v	B1	B1-S017	PROC094	dchdy	CHD+DY	UMSETZEN; SCHLUSS	YES	YES
E167	f82r	B2	B2-S001	PROC076	dchedy	CHD+DY	UMSETZEN; SCHLUSS	YES	YES
E168	f82r	B2	B2-S002	PROC079	qolchedy	OL+CHD+DY	FORTSETZEN · UMSETZEN; SCHLUSS	YES	YES
E174	f82r	B2	B2-S004	PROC102	lched	L+CHD	WEITERLEITEN · UMSETZEN	NO	NO
E210	f82r	B2	B2-S013	PROC120	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN; SCHLUSS	YES	YES
E215	f82r	B2	B2-S016	PROC123	lchedar	L+CHD+AR	WEITERLEITEN · UMSETZEN · VORRAT	NO	NO
E221	f82r	B2	B2-S016	PROC125	pchedy	P+CHD+DY	EINFUELLEN · UMSETZEN; SCHLUSS	YES	YES
E228	f82r	B2	B2-S022	PROC130	lochedy	L+O+CHD+DY	WEITERLEITEN · ARBEITSGANG · UMSETZEN; SCHLUSS	YES	YES
E235	f83r	B3	B3-S003	PROC120	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN; SCHLUSS	YES	YES
E239	f83r	B3	B3-S005	PROC076	schedy	CHD+DY	UMSETZEN; SCHLUSS	YES	YES
E240	f83r	B3	B3-S006	PROC133	chedchy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	NO	NO
E242	f83r	B3	B3-S006	PROC079	olchedy	OL+CHD+DY	FORTSETZEN · UMSETZEN; SCHLUSS	YES	YES
E244	f83r	B3	B3-S007	PROC042	chedy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	NO	NO
E246	f83r	B3	B3-S008	PROC120	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN; SCHLUSS	YES	YES
E248	f83r	B3	B3-S010	PROC134	pchedal	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIELSTELLE	NO	NO
E250	f83r	B3	B3-S011	PROC136	shecthedchy	SH+E+CTH+CHD+Y	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN	NO	NO
E252	f83r	B3	B3-S011	PROC042	chedy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	NO	NO
E262	f83r	B3	B3-S015	PROC120	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN; SCHLUSS	YES	YES
E264	f83r	B3	B3-S016	PROC091	qokchedy	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	YES	YES
E269	f83r	B3	B3-S020	PROC120	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN; SCHLUSS	YES	YES
E280	f83r	B3	B3-S021	PROC144	dalchdy	AL+CHD+DY	ZIELSTELLE · UMSETZEN; SCHLUSS	YES	YES
E281	f83r	B3	B3-S022	PROC145	qotchedy	OT+CHD+DY	DANACH · UMSETZEN; SCHLUSS	YES	YES
E282	f83r	B3	B3-S023	PROC120	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN; SCHLUSS	YES	YES
E283	f83r	B3	B3-S024	PROC076	tchedy	CHD+DY	UMSETZEN; SCHLUSS	YES	YES
E284	f83r	B3	B3-S025	PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	YES	YES
E287	f83r	B3	B3-S026	PROC042	chedy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	NO	NO
E300	f83r	B3	B3-S030	PROC150	schedair	CHD+AIR	UMSETZEN · FLUESSIGKEITSLAUF	NO	NO
E301	f83r	B3	B3-S030	PROC145	otchedy	OT+CHD+DY	DANACH · UMSETZEN; SCHLUSS	YES	YES
E303	f83r	B3	B3-S032	PROC151	chedain	CHD+AIN	UMSETZEN · PORTION	NO	NO
E304	f83r	B3	B3-S032	PROC042	chedy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	NO	NO
E319	f83r	B4	B4-S003	PROC042	chedy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	NO	NO
E328	f83r	B4	B4-S005	PROC042	chedy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	NO	NO
E342	f83r	B4	B4-S011	PROC042	chdy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	NO	NO
E345	f83r	B4	B4-S012	PROC120	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN; SCHLUSS	YES	YES
E357	f83r	B4	B4-S015	PROC120	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN; SCHLUSS	YES	YES
E362	f83r	B5	B5-S001	PROC166	otchdy	OT+CHD+DY	DANACH · UMSETZEN; SCHLUSS	YES	YES
E363	f83r	B5	B5-S002	PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	YES	YES
E368	f83r	B5	B5-S003	PROC168	chdal	CHD+AL	UMSETZEN · ZIELSTELLE	NO	NO
E372	f83r	B5	B5-S003	PROC042	chedy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	NO	YES
