card_no	surfaces	component_recipe	composed_reading_de	events	pages	contains_close	statement_final_events	invariant_chd_value
PROC042	chdy|chedy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	11	f55v|f81v|f83r	NO	1	YES
PROC076	dchedy|schedy|tchedy	CHD+DY	UMSETZEN; SCHLUSS	4	f81v|f82r|f83r	YES	4	YES
PROC077	sshkchdy	SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS	1	f81v	YES	1	YES
PROC079	olchedy|qolchedy	OL+CHD+DY	FORTSETZEN · UMSETZEN; SCHLUSS	3	f81v|f82r|f83r	YES	3	YES
PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	3	f81v|f83r	YES	3	YES
PROC088	lchedal	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIELSTELLE	1	f81v	NO	0	YES
PROC091	okchedy|qokchedy	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	2	f81v|f83r	YES	2	YES
PROC094	dchdy	CHD+DY	UMSETZEN; SCHLUSS	1	f81v	YES	1	YES
PROC102	lched	L+CHD	WEITERLEITEN · UMSETZEN	1	f82r	NO	0	YES
PROC120	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN; SCHLUSS	8	f82r|f83r	YES	8	YES
PROC123	lchedar	L+CHD+AR	WEITERLEITEN · UMSETZEN · VORRAT	1	f82r	NO	0	YES
PROC125	pchedy	P+CHD+DY	EINFUELLEN · UMSETZEN; SCHLUSS	1	f82r	YES	1	YES
PROC130	lochedy	L+O+CHD+DY	WEITERLEITEN · ARBEITSGANG · UMSETZEN; SCHLUSS	1	f82r	YES	1	YES
PROC133	chedchy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	1	f83r	NO	0	YES
PROC134	pchedal	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIELSTELLE	1	f83r	NO	0	YES
PROC136	shecthedchy	SH+E+CTH+CHD+Y	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN	1	f83r	NO	0	YES
PROC144	dalchdy	AL+CHD+DY	ZIELSTELLE · UMSETZEN; SCHLUSS	1	f83r	YES	1	YES
PROC145	otchedy|qotchedy	OT+CHD+DY	DANACH · UMSETZEN; SCHLUSS	2	f83r	YES	2	YES
PROC150	schedair	CHD+AIR	UMSETZEN · FLUESSIGKEITSLAUF	1	f83r	NO	0	YES
PROC151	chedain	CHD+AIN	UMSETZEN · PORTION	1	f83r	NO	0	YES
PROC166	otchdy	OT+CHD+DY	DANACH · UMSETZEN; SCHLUSS	1	f83r	YES	1	YES
PROC168	chdal	CHD+AL	UMSETZEN · ZIELSTELLE	1	f83r	NO	0	YES
