tablet_id	master_card_id	master_form	registered_surfaces	semantic_atoms	short_default_de	event_count	records	event_serials	common_left_cues	common_right_cues	learning_rule
SETTLE_COLLECT	MC003	sheedy	sheedy	SHED+EE+CLOSE	absetzen+länger+Schluss	1	B3	261	ansetzen+Lauf:1	STATEMENT_END	memorize whole card; use atoms only where the registered card already licenses them
EXTRACT_FILTER_VESSEL	MC006	chokcheo	chokcheo	OK+CHEO	ansetzen+Auszug	1	H5	92	ansetzen+Posten:1	bearbeiten+Ziel:1	memorize whole card; use atoms only where the registered card already licenses them
HERBAL_MATERIAL	MC010	chodaly	chodaly	HO+AL+Y	Zutat+Ziel+Posten	1	H5	76	Zutat:1	Sollmaß:1	memorize whole card; use atoms only where the registered card already licenses them
RARE_LOCAL_VALUE	MC012	dl	dl	LOCAL_WHOLE	Zusatz	2	B1	112|129	weiter:1|Durchlass+Posten:1	weiter+Ansatz:1|Ziel:1	memorize whole card; use atoms only where the registered card already licenses them
SETTLE_COLLECT	MC020	solkeey	solkeey	SOLK+EE+Y	sammeln+länger+Posten	1	B6	373	STATEMENT_ENTRY	bearbeiten+kurz+Posten:1	memorize whole card; use atoms only where the registered card already licenses them
HERBAL_MATERIAL	MC034	cho	cho|sho	HO	Zutat	4	H5	75|78|88|94	Zutat+Ansatz:1|Sollmaß:1|halten:1	Zutat+Ziel+Posten:1|bearbeiten+weiter:1|bearbeiten+kurz+Posten:1	memorize whole card; use atoms only where the registered card already licenses them
SETTLE_COLLECT	MC036	solkaiin	solkaiin	SOLK+AIIN	sammeln+Sollmaß	1	B2	178	ansetzen+Ziel+Posten:1	Durchlass+Posten:1	memorize whole card; use atoms only where the registered card already licenses them
HERBAL_MATERIAL	MC037	tchody	tchody	HO+CLOSE	Zutat+Schluss	1	H3	45	Ergebnis:1	STATEMENT_END	memorize whole card; use atoms only where the registered card already licenses them
WASH_APPLY_TRANSFER	MC038	lshedy	lshedy	WASH+CLOSE	waschen+Schluss	2	B1	143|144	ansetzen+kurz+Posten:1	STATEMENT_END	memorize whole card; use atoms only where the registered card already licenses them
SETTLE_COLLECT	MC045	olkeedy	olkeedy|solkeedy	SOLK+EE+CLOSE	sammeln+länger+Schluss	3	B1|B3	162|229|291	Stufe:1|Ziel+Ansatz:1	STATEMENT_END	memorize whole card; use atoms only where the registered card already licenses them
HERBAL_MATERIAL	MC049	schoal	schoal	HO+AL	Zutat+Ziel	1	H3	40	Zutat+abführen:1	auswringen+Posten:1	memorize whole card; use atoms only where the registered card already licenses them
SETTLE_COLLECT	MC050	solkey	solkey	SOLK+E+Y	sammeln+kurz+Posten	1	B4	356	Durchlass+Ziel:1	abführen+umsetzen+Schluss:1	memorize whole card; use atoms only where the registered card already licenses them
EXTRACT_FILTER_VESSEL	MC059	dain	dain	DAIN	Tuch	2	B4|B6	327|379	weiter:1	umsetzen+Posten:1|Posten:1	memorize whole card; use atoms only where the registered card already licenses them
HERBAL_MATERIAL	MC062	shoyty	shoyty	HO+Y+TY	Zutat+Posten+Teil	1	H3	46	STATEMENT_ENTRY	STATEMENT_END	memorize whole card; use atoms only where the registered card already licenses them
WASH_APPLY_TRANSFER	MC068	sotodan	sotodan	OT+DAN	danach+anwenden	1	H5	97	Auszug+Quelle:1	STATEMENT_END	memorize whole card; use atoms only where the registered card already licenses them
WASH_APPLY_TRANSFER	MC070	pchedy	pchedy	P+CHD+CLOSE	zuführen+umsetzen+Schluss	1	B2	221	ansetzen+kurz+Posten:1	STATEMENT_END	memorize whole card; use atoms only where the registered card already licenses them
HERBAL_MATERIAL	MC071	dchey	dchey	DCHE+Y	Wurzel+Posten	1	H1	1	STATEMENT_ENTRY	bereit+Ansatz:1	memorize whole card; use atoms only where the registered card already licenses them
EXTRACT_FILTER_VESSEL	MC075	ycheor	ycheor	Y+CHEO+OR	Posten+Auszug+Ansatz	1	H2	15	STATEMENT_ENTRY	bereit+Posten:1	memorize whole card; use atoms only where the registered card already licenses them
WASH_APPLY_TRANSFER	MC084	rshedy	rshedy	WASH+CLOSE	waschen+Schluss	1	B2	225	STATEMENT_ENTRY	STATEMENT_END	memorize whole card; use atoms only where the registered card already licenses them
EXTRACT_FILTER_VESSEL	MC085	cheoar	cheoar	CHEO+AR	Auszug+Quelle	1	H4	65	Posten+Sollmaß:1	wärmen+länger+Posten:1	memorize whole card; use atoms only where the registered card already licenses them
HERBAL_MATERIAL	MC087	chodaiin	chodaiin	HO+AIIN	Zutat+Sollmaß	1	H2	38	Posten:1	STATEMENT_END	memorize whole card; use atoms only where the registered card already licenses them
WASH_APPLY_TRANSFER	MC089	skar	skar	SK+AR	ausgießen+Quelle	1	B4	360	Ziel:1	absetzen+kurz+Schluss:1	memorize whole card; use atoms only where the registered card already licenses them
RARE_LOCAL_VALUE	MC094	cheeety	cheeety	EEE+TY	vollständig+Teil	1	B3	296	weiter:1	ansetzen+kurz+Schluss:1	memorize whole card; use atoms only where the registered card already licenses them
HERBAL_MATERIAL	MC098	tshol	tshol	HO+L	Zutat+abführen	1	H3	39	STATEMENT_ENTRY	Zutat+Ziel:1	memorize whole card; use atoms only where the registered card already licenses them
HERBAL_MATERIAL	MC099	cheeckhody	cheeckhody	EE+CKH+HO+CLOSE	länger+Durchlass+Zutat+Schluss	1	H5	86	ansetzen+Posten:1	STATEMENT_END	memorize whole card; use atoms only where the registered card already licenses them
WASH_APPLY_TRANSFER	MC100	ody	ody	ODY	kühlen	1	H4	60	Posten+Anteil:1	STATEMENT_END	memorize whole card; use atoms only where the registered card already licenses them
SETTLE_COLLECT	MC113	shedal	shedal	SHED+AL	absetzen+Ziel	2	B3|B5	275|364	Sollmaß:1	bereit+kurz+Posten:1|Ziel:1	memorize whole card; use atoms only where the registered card already licenses them
HERBAL_MATERIAL	MC125	chochor	chochor	HO+OR	Zutat+Ansatz	1	H5	74	STATEMENT_ENTRY	Zutat:1	memorize whole card; use atoms only where the registered card already licenses them
WASH_APPLY_TRANSFER	MC126	pchedal	pchedal	P+CHD+AL	zuführen+umsetzen+Ziel	1	B3	248	STATEMENT_ENTRY	danach+kurz+Schluss:1	memorize whole card; use atoms only where the registered card already licenses them
SETTLE_COLLECT	MC128	cheedy	cheedy|shedy|tedy	SHED+E+CLOSE	absetzen+kurz+Schluss	12	B1|B2|B3|B4	125|136|155|163|192|255|266|314|325|336|347|361	weiter:4|ansetzen+Quelle:1|Ansatz:1	STATEMENT_END	memorize whole card; use atoms only where the registered card already licenses them
EXTRACT_FILTER_VESSEL	MC129	cfhy	cfhy	CFH+Y	auswringen+Posten	1	H3	41	Zutat+Ziel:1	halten+Sollmaß:1	memorize whole card; use atoms only where the registered card already licenses them
WASH_APPLY_TRANSFER	MC130	lsho	lsho	WASH	waschen	1	B1	141	STATEMENT_ENTRY	ansetzen+kurz+Posten:1	memorize whole card; use atoms only where the registered card already licenses them
HERBAL_MATERIAL	MC131	choy	choy	HO+Y	Zutat+Posten	1	H5	84	vorher:1	ansetzen+Posten:1	memorize whole card; use atoms only where the registered card already licenses them
EXTRACT_FILTER_VESSEL	MC133	lcheckhedy	lcheckhedy	L+CKHE+CLOSE	abführen+trennen+Schluss	1	B2	176	ansetzen+länger+Posten:1	STATEMENT_END	memorize whole card; use atoms only where the registered card already licenses them
EXTRACT_FILTER_VESSEL	MC136	kchoar	kchoar	CHEO+AR	Auszug+Quelle	1	H5	96	ansetzen+Posten:1	danach+anwenden:1	memorize whole card; use atoms only where the registered card already licenses them
SETTLE_COLLECT	MC138	dshedy	dshedy	SHED+E+CLOSE	absetzen+kurz+Schluss	1	B2	189	STATEMENT_ENTRY	STATEMENT_END	memorize whole card; use atoms only where the registered card already licenses them
RARE_LOCAL_VALUE	MC140	qokeeedy	qokeeedy	OK+EEE+CLOSE	ansetzen+vollständig+Schluss	1	B2	209	Posten:1	STATEMENT_END	memorize whole card; use atoms only where the registered card already licenses them
HERBAL_MATERIAL	MC142	dchol	dchol|schol	DCHOL	vorher	2	H3|H5	47|83	STATEMENT_ENTRY	Posten:1|Zutat+Posten:1	memorize whole card; use atoms only where the registered card already licenses them
EXTRACT_FILTER_VESSEL	MC143	shckhedy	shckhedy	CKHE+CLOSE	trennen+Schluss	3	B1|B4	165|330|331	wärmen+kurz+Posten:1	STATEMENT_END	memorize whole card; use atoms only where the registered card already licenses them
SETTLE_COLLECT	MC144	chldaiin	chldaiin	SHED+AIIN	absetzen+Sollmaß	1	B3	286	umsetzen+Quelle:1	umsetzen+Posten:1	memorize whole card; use atoms only where the registered card already licenses them
SETTLE_COLLECT	MC149	solshedy	solshedy	OL+SHED+CLOSE	weiter+absetzen+Schluss	1	B2	193	STATEMENT_ENTRY	STATEMENT_END	memorize whole card; use atoms only where the registered card already licenses them
SETTLE_COLLECT	MC151	qokshedy	qokshedy	OK+SHED+CLOSE	ansetzen+absetzen+Schluss	1	B3	267	STATEMENT_ENTRY	STATEMENT_END	memorize whole card; use atoms only where the registered card already licenses them
EXTRACT_FILTER_VESSEL	MC156	cphy	cphy	CPH+Y	nachseihen+Posten	1	H3	43	halten+Sollmaß:1	Ergebnis:1	memorize whole card; use atoms only where the registered card already licenses them
EXTRACT_FILTER_VESSEL	MC159	os	os	OS	Gefäß	1	H1	5	teilen+Teil:1	Lauf:1	memorize whole card; use atoms only where the registered card already licenses them
EXTRACT_FILTER_VESSEL	MC160	talam	talam	AL+AM	Ziel+verwahren	1	H4	63	umsetzen+Posten:1	STATEMENT_END	memorize whole card; use atoms only where the registered card already licenses them
