order_mark_id	component_recipe	identity	surface	order_id	master_section	page	stage	unit	unit_position	position_index	unit_length	left_surface	right_surface	q_carrier	selector_feature_set	selector_key	predicted_surface	selector_match	renderer_microfunction	intended_trigger_de	revised_selector	revised_selector_key	revised_predicted_surface	revised_match
WH01-R003	AR	PROC003	char	WH01	WHAT	f10r	MAKE_A.G2	H1-S001	MIDDLE	3	10	cthoor	chety	NO	MASTER_SECTION	WHAT	char	YES	ACTIVE_SOURCE	die aktiv benutzte Quelle einer Prosaoperation	INTENDED_MICROFUNCTION	ACTIVE_SOURCE	char	YES
WH01-R008	OK+Y	PROC008	qoky	WH01	WHAT	f10r	MAKE_A.G2	H1-S001	MIDDLE	8	10	otytchol	daiin	YES	SECTION_PLUS_POSITION	WHAT|MIDDLE	qoky	YES	DEFAULT_CURRENT_START	den gewöhnlichen aktuellen Posten ansetzen	INTENDED_MICROFUNCTION	DEFAULT_CURRENT_START	qoky	YES
WH01-R009	AIIN	PROC009	daiin	WH01	WHAT	f10r	MAKE_A.G2	H1-S001	MIDDLE	9	10	qoky	etyd	NO	MASTER_SECTION	WHAT	daiin	YES	OPERATIONAL_MEASURE	das Maß innerhalb einer Prosaoperation	INTENDED_MICROFUNCTION	OPERATIONAL_MEASURE	daiin	YES
WH01-R011	OK+Y	PROC011	qokchy	WH01	WHAT	f10r	MAKE_A.G2	H1-S002	FIRST	1	4	UNIT_START	qotchol	YES	SECTION_PLUS_POSITION	WHAT|FIRST	qokchy	YES	ARTICLE_INITIAL_CURRENT_START	den ersten aktuellen Posten eines Herstellungsartikels ansetzen	INTENDED_MICROFUNCTION	ARTICLE_INITIAL_CURRENT_START	qokchy	YES
WH01-R019	AR	PROC003	char	WH01	HOW	f81v	APPLY_B1	B1-S002	MIDDLE	4	19	qokal	ol	NO	MASTER_SECTION	HOW	char	YES	ACTIVE_SOURCE	die aktiv benutzte Quelle einer Prosaoperation	INTENDED_MICROFUNCTION	ACTIVE_SOURCE	char	YES
WH01-R030	AIIN	PROC009	daiin	WH01	HOW	f81v	APPLY_B1	B1-S002	MIDDLE	15	19	sheckhal	qokeedal	NO	MASTER_SECTION	HOW	daiin	YES	OPERATIONAL_MEASURE	das Maß innerhalb einer Prosaoperation	INTENDED_MICROFUNCTION	OPERATIONAL_MEASURE	daiin	YES
WH01-R032	AIIN	PROC009	daiin	WH01	HOW	f81v	APPLY_B1	B1-S002	MIDDLE	17	19	qokeedal	chckhy	NO	MASTER_SECTION	HOW	daiin	YES	OPERATIONAL_MEASURE	das Maß innerhalb einer Prosaoperation	INTENDED_MICROFUNCTION	OPERATIONAL_MEASURE	daiin	YES
WH01-R037	CHD+Y	PROC042	chedy	WH01	HOW	f81v	APPLY_B1	B1-S004	FIRST	1	3	UNIT_START	ol	NO	STAGE_PLUS_POSITION	APPLY_B1|FIRST	chedy	YES	DEFAULT_OPEN_TRANSFER	den laufenden Posten gewöhnlich umsetzen	INTENDED_MICROFUNCTION	DEFAULT_OPEN_TRANSFER	chedy	YES
WH01-R045	OK+CHD+DY	PROC082	qokchdy	WH01	HOW	f81v	APPLY_B1	B1-S007	ONLY	1	1	UNIT_START	UNIT_END	YES	UNIT_POSITION	ONLY	qokchdy	YES	STANDALONE_TRANSFER_CLOSE	einen alleinstehenden Umsetzschritt ansetzen und schließen	INTENDED_MICROFUNCTION	STANDALONE_TRANSFER_CLOSE	qokchdy	YES
WH01-R054	OK+Y	PROC008	qoky	WH01	HOW	f81v	APPLY_B1	B1-S011	LAST	2	2	chckhy	UNIT_END	YES	SECTION_PLUS_POSITION	HOW|LAST	qoky	YES	DEFAULT_CURRENT_START	den gewöhnlichen aktuellen Posten ansetzen	INTENDED_MICROFUNCTION	DEFAULT_CURRENT_START	qoky	YES
WH01-R059	CHD+Y	PROC042	chedy	WH01	HOW	f81v	APPLY_B1	B1-S014	FIRST	1	5	UNIT_START	qolky	NO	STAGE_PLUS_POSITION	APPLY_B1|FIRST	chedy	YES	DEFAULT_OPEN_TRANSFER	den laufenden Posten gewöhnlich umsetzen	INTENDED_MICROFUNCTION	DEFAULT_OPEN_TRANSFER	chedy	YES
