component_recipe	surface_family	identities	identity_list	occurrence_marks	selector_feature_set	selector_rules	selector_portability	q_carrier_surfaces	non_q_surfaces	selection_accuracy	microfunction_choices	identity_memorization_removed	raw_context_selector_removed
AIIN	aiin | daiin	2	A3:G054 | PROC009	19	INTENDED_MICROFUNCTION	2	FUNCTIONAL_ALLOGRAPH_SELECTOR	NONE	aiin | daiin	EXACT_ON_CURRENT_DECK	BARE_CONDITION_MEASURE->aiin | OPERATIONAL_MEASURE->daiin	YES	YES
AL	cheal | dal	5	A3:G044 | A3:G058 | A3:G073 | A3:G105 | PROC055	14	INTENDED_MICROFUNCTION	2	FUNCTIONAL_ALLOGRAPH_SELECTOR	NONE	cheal | dal	EXACT_ON_CURRENT_DECK	EMBEDDED_TARGET->cheal | DEFAULT_TARGET->dal	YES	YES
AR	ar | char	3	A3:G084 | A3:G092 | PROC003	7	INTENDED_MICROFUNCTION	2	FUNCTIONAL_ALLOGRAPH_SELECTOR	NONE	ar | char	EXACT_ON_CURRENT_DECK	BARE_CONDITION_SOURCE->ar | ACTIVE_SOURCE->char	YES	YES
CHD+DY	dchdy | schedy	2	PROC076 | PROC094	5	INTENDED_MICROFUNCTION	2	FUNCTIONAL_ALLOGRAPH_SELECTOR	NONE	dchdy | schedy	EXACT_ON_CURRENT_DECK	DIRECT_TARGET_CLOSE->dchdy | DEFAULT_TRANSFER_CLOSE->schedy	YES	YES
CHD+Y	chdy | chedchy | chedy	3	A3:G082 | PROC042 | PROC133	13	INTENDED_MICROFUNCTION	3	FUNCTIONAL_ALLOGRAPH_SELECTOR	NONE	chdy | chedchy | chedy	EXACT_ON_CURRENT_DECK	CONDITION_STATE_TRANSFER->chdy | MARKED_STATION_OPEN_TRANSFER->chedchy | DEFAULT_OPEN_TRANSFER->chedy	YES	YES
CHK+EE+Y	cheeky | chkeey	2	PROC046 | PROC107	3	INTENDED_MICROFUNCTION	2	FUNCTIONAL_ALLOGRAPH_SELECTOR	NONE	cheeky | chkeey	EXACT_ON_CURRENT_DECK	MATERIAL_LONG_WARM->cheeky | APPARATUS_LONG_WARM->chkeey	YES	YES
NONE	daiial | iokeeor	2	A3:G046 | A3:G056	2	INTENDED_MICROFUNCTION	2	LOCAL_WHOLE_WORD_SELECTOR	NONE	daiial | iokeeor	EXACT_ON_CURRENT_DECK	MOISTURE_STAGE_WHOLE_WORD->daiial | WEATHER_CLASS_WHOLE_WORD->iokeeor	NO_LOCAL_WHOLE_WORDS_REMAIN	YES
OK+CHD+DY	okchedy | qokchdy	2	PROC082 | PROC091	5	INTENDED_MICROFUNCTION	2	FUNCTIONAL_ALLOGRAPH_SELECTOR	qokchdy	okchedy	EXACT_ON_CURRENT_DECK	CHAIN_FINAL_TRANSFER_CLOSE->okchedy | STANDALONE_TRANSFER_CLOSE->qokchdy	YES	YES
OK+OL	okchol | qokol	2	PROC037 | PROC160	2	INTENDED_MICROFUNCTION	2	FUNCTIONAL_ALLOGRAPH_SELECTOR	qokol	okchol	EXACT_ON_CURRENT_DECK	PRODUCTION_CONTINUATION_START->okchol | APPLICATION_CONTINUATION_START->qokol	YES	YES
OK+Y	choky | qokchy | qoky	3	A3:G076 | PROC008 | PROC011	14	INTENDED_MICROFUNCTION	3	FUNCTIONAL_ALLOGRAPH_SELECTOR	qokchy | qoky	choky	EXACT_ON_CURRENT_DECK	CONDITION_CURRENT_START->choky | ARTICLE_INITIAL_CURRENT_START->qokchy | DEFAULT_CURRENT_START->qoky	YES	YES
OL	chol | ls | ol	5	A3:G042 | A3:G067 | A3:G069 | PROC013 | PROC115	22	INTENDED_MICROFUNCTION	3	FUNCTIONAL_ALLOGRAPH_SELECTOR	NONE	chol | ls | ol	EXACT_ON_CURRENT_DECK	ATTACHED_OR_RING_CONTINUATION->chol | TRANSFER_CONTINUATION->ls | GENERAL_CONTINUATION->ol	YES	YES
OL+Y	choly | qolchey	2	A3:G048 | PROC154	2	INTENDED_MICROFUNCTION	2	FUNCTIONAL_ALLOGRAPH_SELECTOR	qolchey	choly	EXACT_ON_CURRENT_DECK	CONDITION_CURRENT_CONTINUATION->choly | APPLICATION_CURRENT_CONTINUATION->qolchey	YES	YES
OT+CHD+DY	otchdy | otchedy | qotchedy	2	PROC145 | PROC166	3	INTENDED_MICROFUNCTION	3	FUNCTIONAL_ALLOGRAPH_SELECTOR	qotchedy	otchdy | otchedy	EXACT_ON_CURRENT_DECK	COMPACT_FOLLOW_CLOSE->otchdy | CHAIN_FINAL_FOLLOW_CLOSE->otchedy | STANDALONE_FOLLOW_CLOSE->qotchedy	YES	YES
OT+Y	otchey | qotchy	2	PROC036 | PROC065	2	INTENDED_MICROFUNCTION	2	FUNCTIONAL_ALLOGRAPH_SELECTOR	qotchy	otchey	EXACT_ON_CURRENT_DECK	APPLICATION_FOLLOW_REFERENT->otchey | PRODUCTION_FOLLOW_REFERENT->qotchy	YES	YES
SH+EE+Y	cheey | sheey	3	A3:G053 | PROC031 | PROC157	7	INTENDED_MICROFUNCTION	2	FUNCTIONAL_ALLOGRAPH_SELECTOR	NONE	cheey | sheey	EXACT_ON_CURRENT_DECK	GENERAL_LONG_HOLD->cheey | MARKED_LONG_HOLD->sheey	YES	YES
Y	chey | chy | dy | y	11	A3:G055 | A3:G061 | A3:G062 | A3:G065 | A3:G066 | A3:G070 | A3:G072 | A3:G078 | A3:G085 | A3:G103 | PROC019	23	INTENDED_MICROFUNCTION	4	FUNCTIONAL_ALLOGRAPH_SELECTOR	NONE	chey | chy | dy | y	EXACT_ON_CURRENT_DECK	MATERIAL_OR_QUALITY_REFERENT->chey | STATE_OR_BODY_REFERENT->chy | ECHOED_CURRENT_REFERENT->dy | BARE_CURRENT_REFERENT->y	YES	YES
